ProgramomraadeNivaa;UtdanningstypeKode;Utdanningsprogramkode;Programomraadekode;UtdanningstypeNavn;UtdanningsprogramNavn;ProgramomraadeNavn;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
2;YRK;SR;SR;Yrkesfaglig;Salg, service og reiseliv;Salg, service og reiseliv;Vg2;2023;63,8;0;26,3;34,4;2,5;0,6
3;YRK;SR;SRSRL2;Yrkesfaglig;Salg, service og reiseliv;SRSRL2 - Salg og reiseliv;Vg2;2023;61,6;0;30,4;27,5;2,9;0,7
3;YRK;SR;SRSSH2;Yrkesfaglig;Salg, service og reiseliv;SRSSH2 - Service, sikkerhet og administrasjon;Vg2;2023;77,3;0;0;77,3;0;0
2;YRK;TP;TP;Yrkesfaglig;Teknologi- og industrifag;Teknologi- og industrifag;Vg2;2023;75,4;0;2,9;69,8;1,3;1,3
3;YRK;TP;TPAMK2;Yrkesfaglig;Teknologi- og industrifag;TPAMK2 - Arbeidsmaskiner;Vg2;2023;83,3;0;4,2;66,7;0;12,5
3;YRK;TP;TPBLK2;Yrkesfaglig;Teknologi- og industrifag;TPBLK2 - Bilskade, lakk og karosseri;Vg2;2023;74,1;0;3,7;70,4;0;0
3;YRK;TP;TPKJT2;Yrkesfaglig;Teknologi- og industrifag;TPKJT2 - Kjøretøy;Vg2;2023;75,8;0;2,1;69,5;3,2;1,1
3;YRK;TP;TPKPL2;Yrkesfaglig;Teknologi- og industrifag;TPKPL2 - Kjemiprosess- og laboratoriefag;Vg2;2023;84,4;0;1,3;81,8;1,3;0
3;YRK;TP;TPMAR2;Yrkesfaglig;Teknologi- og industrifag;TPMAR2 - Maritime fag;Vg2;2023;78,6;0;0;78,6;0;0
3;YRK;TP;TPPIN2;Yrkesfaglig;Teknologi- og industrifag;TPPIN2 - Industriteknologi;Vg2;2023;77,2;0;4,1;69,9;1,6;1,6
3;YRK;TP;TPTOL2;Yrkesfaglig;Teknologi- og industrifag;TPTOL2 - Transport og logistikk;Vg2;2023;54,2;0;5,1;49,2;0;0
