ProgramomraadeNivaa;UtdanningstypeKode;Utdanningsprogramkode;Programomraadekode;UtdanningstypeNavn;UtdanningsprogramNavn;ProgramomraadeNavn;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
3;YRK;TP;TPKJP2;Yrkesfaglig;Teknologi- og industrifag;TPKJP2 - Kjemiprosess;Vg2;2021;90,6;0;0;90,6;0;0
3;YRK;TP;TPKJT2;Yrkesfaglig;Teknologi- og industrifag;TPKJT2 - Kjøretøy;Vg2;2021;69,9;0;3,2;61,3;5,4;0
3;YRK;TP;TPMAR2;Yrkesfaglig;Teknologi- og industrifag;TPMAR2 - Maritime fag;Vg2;2021;100;0;0;100;0;0
3;YRK;TP;TPPIN2;Yrkesfaglig;Teknologi- og industrifag;TPPIN2 - Industriteknologi;Vg2;2021;67,1;0;5,2;60,6;1,3;0
0;Alle;;Alle;Alle utdanningsprogram;Alle utdanningsprogram;Alle programområder;Vg2;2022;85,5;49,5;10;22,4;0,9;2,8
1;SFB;;SFB;Studieforberedende;Alle utdanningsprogram;Studieforberedende;Vg2;2022;94,8;94,6;0,1;0,1;0;0
2;SFB;ID;ID;Studieforberedende;Idrettsfag;Idrettsfag;Vg2;2022;96,1;96,1;0;0;0;0
3;SFB;ID;IDIDR2;Studieforberedende;Idrettsfag;IDIDR2 - Idrettsfag vg2;Vg2;2022;96,1;96,1;0;0;0;0
2;SFB;KD;KD;Studieforberedende;Kunst, design og arkitektur;Kunst, design og arkitektur;Vg2;2022;92,1;92,1;0;0;0;0
3;SFB;KD;KDKDA2;Studieforberedende;Kunst, design og arkitektur;KDKDA2 - Kunst, design og arkitektur vg2;Vg2;2022;92,1;92,1;0;0;0;0
2;SFB;ME;ME;Studieforberedende;Medier og kommunikasjon;Medier og kommunikasjon;Vg2;2022;86,7;86,7;0;0;0;0
3;SFB;ME;MEMOK2;Studieforberedende;Medier og kommunikasjon;MEMOK2 - Medier og kommunikasjon vg2;Vg2;2022;86,7;86,7;0;0;0;0
2;SFB;MD;MD;Studieforberedende;Musikk, dans og drama;Musikk, dans og drama;Vg2;2022;95,1;95,1;0;0;0;0
3;SFB;MD;MDDAN2;Studieforberedende;Musikk, dans og drama;MDDAN2 - Dans vg2;Vg2;2022;100;100;0;0;0;0
3;SFB;MD;MDDRA2;Studieforberedende;Musikk, dans og drama;MDDRA2 - Drama vg2;Vg2;2022;92;92;0;0;0;0
3;SFB;MD;MDMUS2;Studieforberedende;Musikk, dans og drama;MDMUS2 - Musikk vg2;Vg2;2022;94,8;94,8;0;0;0;0
2;SFB;ST;ST;Studieforberedende;Studiespesialisering;Studiespesialisering;Vg2;2022;95,2;94,9;0,2;0,2;0;0
3;SFB;ST;STREA2;Studieforberedende;Studiespesialisering;STREA2 - Realfag vg2;Vg2;2022;95,1;94,9;0,2;0;0;0
3;SFB;ST;STSSA2;Studieforberedende;Studiespesialisering;STSSA2 - Språk, samfunnsfag og økonomi vg2;Vg2;2022;96,2;95,8;0,2;0,3;0;0
3;SFB;ST;STUSP2;Studieforberedende;Studiespesialisering;STUSP2 - Studiespesialisering;Vg2;2022;87,8;87,8;0;0;0;0
1;YRK;;YRK;Yrkesfaglig;Alle utdanningsprogram;Yrkesfaglig;Vg2;2022;75,3;0;20,8;46,8;1,8;5,9
2;YRK;BA;BA;Yrkesfaglig;Bygg- og anleggsteknikk;Bygg- og anleggsteknikk;Vg2;2022;74,8;0;7,3;63,9;2,6;1
3;YRK;BA;BABMO2;Yrkesfaglig;Bygg- og anleggsteknikk;BABMO2 - Betong og mur;Vg2;2022;50;0;11,1;33,3;0;5,6
3;YRK;BA;BAKEM2;Yrkesfaglig;Bygg- og anleggsteknikk;BAKEM2 - Klima, energi og miljøteknikk;Vg2;2022;100;0;0;80;0;20
3;YRK;BA;BARLF2;Yrkesfaglig;Bygg- og anleggsteknikk;BARLF2 - Rørlegger;Vg2;2022;73,9;0;0;63;10,9;0
3;YRK;BA;BATMF2;Yrkesfaglig;Bygg- og anleggsteknikk;BATMF2 - Tømrer;Vg2;2022;75,6;0;11,7;61,1;2,8;0
