EnhetNivaa;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Nasjonalt;Fylke;EnhetNavn;Utdanningsprogram;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Yrkesfag;Vg2;2019;;;;;;
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Yrkesfag;Vg2;2019;74,7;0;5,1;65,2;0;4,5
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Yrkesfag;Vg2;2019;76,2;0;38,1;38,1;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Yrkesfag;Vg2;2019;77,9;0;13,2;54,4;4,4;5,9
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Yrkesfag;Vg2;2019;70,6;0;29,4;35,3;5,9;0
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Yrkesfag;Vg2;2019;;;;;;
3;I;38;994309153;Hele landet;Vestfold og Telemark;Kompetansebyggeren;Yrkesfag;Vg2;2019;;;;;;
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Yrkesfag;Vg2;2019;93,5;0;58,1;3,2;0;32,3
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Yrkesfag;Vg2;2019;87,3;0;47,6;23,8;4,8;11,1
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Yrkesfag;Vg2;2019;88,2;0;30,3;57,1;0,8;0
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Yrkesfag;Vg2;2019;83,7;0;36,7;46,9;0;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Yrkesfag;Vg2;2019;69,9;0;22,3;35,3;4,1;8,2
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Yrkesfag;Vg2;2019;74,7;0;19,4;51,4;2,4;1,6
1;I;;I;Hele landet;Alle fylker;Hele landet;Alle utdanningsprogram;Vg2;2020;86,5;51,3;10,5;20,3;0,8;3,5
2;I;07;07;Hele landet;Vestfold;Vestfold;Alle utdanningsprogram;Vg2;2020;;;;;;
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Alle utdanningsprogram;Vg2;2020;85,9;50,5;10,2;21,1;1,2;2,9
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Alle utdanningsprogram;Vg2;2020;77,3;12,1;9,2;53,6;1,4;1
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Alle utdanningsprogram;Vg2;2020;78,6;0;45,2;33,3;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Alle utdanningsprogram;Vg2;2020;84;63;4,3;15,3;1,3;0
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Alle utdanningsprogram;Vg2;2020;91,9;66,2;9,5;16,2;0;0
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Alle utdanningsprogram;Vg2;2020;85,3;52,5;13,5;13,5;2,6;3,2
3;I;38;994309153;Hele landet;Vestfold og Telemark;Kompetansebyggeren;Alle utdanningsprogram;Vg2;2020;;;;;;
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Alle utdanningsprogram;Vg2;2020;85,2;49,2;21,3;3,3;0;11,5
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Alle utdanningsprogram;Vg2;2020;95,4;58,8;13,7;10,5;3,9;8,5
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Alle utdanningsprogram;Vg2;2020;92,4;54;16,9;21,2;0,3;0
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Alle utdanningsprogram;Vg2;2020;91,4;58,3;11,3;19,9;2;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Alle utdanningsprogram;Vg2;2020;85,8;52,9;8,8;16,2;1,7;6,1
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Alle utdanningsprogram;Vg2;2020;92,5;92,5;0;0;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Alle utdanningsprogram;Vg2;2020;100;100;0;0;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Alle utdanningsprogram;Vg2;2020;87,5;47,7;10,1;27;1,9;0,8
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Alle utdanningsprogram;Vg2;2020;100;100;0;0;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Studieforberedende;Vg2;2020;95,7;95,6;0;0;0;0
2;I;07;07;Hele landet;Vestfold;Vestfold;Studieforberedende;Vg2;2020;;;;;;
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Studieforberedende;Vg2;2020;94,9;94,8;0;0;0;0
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Studieforberedende;Vg2;2020;96,2;96,2;0;0;0;0
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Studieforberedende;Vg2;2020;;;;;;
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Studieforberedende;Vg2;2020;89,5;89,5;0;0;0;0
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Studieforberedende;Vg2;2020;96,1;96,1;0;0;0;0
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Studieforberedende;Vg2;2020;96,2;96,2;0;0;0;0
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Studieforberedende;Vg2;2020;90,9;90,9;0;0;0;0
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Studieforberedende;Vg2;2020;98,9;98,9;0;0;0;0
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Studieforberedende;Vg2;2020;96,4;96,4;0;0;0;0
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Studieforberedende;Vg2;2020;98,9;98,9;0;0;0;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Studieforberedende;Vg2;2020;94,8;94,8;0;0;0;0
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Studieforberedende;Vg2;2020;92,5;92,5;0;0;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Studieforberedende;Vg2;2020;100;100;0;0;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Studieforberedende;Vg2;2020;93,7;93,3;0;0,4;0;0
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Studieforberedende;Vg2;2020;100;100;0;0;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Yrkesfag;Vg2;2020;75,8;0;22,7;43,8;1,8;7,5
2;I;07;07;Hele landet;Vestfold;Vestfold;Yrkesfag;Vg2;2020;;;;;;
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Yrkesfag;Vg2;2020;75,6;0,1;21,9;44,9;2,6;6,1
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Yrkesfag;Vg2;2020;74,6;0;10,5;61,3;1,7;1,1
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Yrkesfag;Vg2;2020;78,6;0;45,2;33,3;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Yrkesfag;Vg2;2020;71,1;1,1;14,4;51,1;4,4;0
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Yrkesfag;Vg2;2020;82,6;0;30,4;52,2;0;0
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Yrkesfag;Vg2;2020;72,3;0;29,7;29,7;5,8;7,1
3;I;38;994309153;Hele landet;Vestfold og Telemark;Kompetansebyggeren;Yrkesfag;Vg2;2020;;;;;;
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Yrkesfag;Vg2;2020;78,6;0;46,4;7,1;0;25
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Yrkesfag;Vg2;2020;90,3;0;33,9;25,8;9,7;21
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Yrkesfag;Vg2;2020;87,2;0;38,3;48,1;0,8;0
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Yrkesfag;Vg2;2020;80,6;0;27,4;48,4;4,8;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Yrkesfag;Vg2;2020;74,4;0;20;36,7;3,9;13,8
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Yrkesfag;Vg2;2020;80,9;0;20,6;54,9;3,9;1,6
1;I;;I;Hele landet;Alle fylker;Hele landet;Alle utdanningsprogram;Vg2;2021;87,4;51,9;10,3;21,2;0,5;3,5
2;I;07;07;Hele landet;Vestfold;Vestfold;Alle utdanningsprogram;Vg2;2021;;;;;;
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Alle utdanningsprogram;Vg2;2021;86,1;49,7;10,8;21,7;1;3
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Alle utdanningsprogram;Vg2;2021;76;12;8,7;53,7;0,4;1,2
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Alle utdanningsprogram;Vg2;2021;72,3;0;29,2;43,1;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Alle utdanningsprogram;Vg2;2021;84,5;62,6;6,1;15,8;0;0
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Alle utdanningsprogram;Vg2;2021;82,6;65,2;4,3;10,1;1,4;1,4
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Alle utdanningsprogram;Vg2;2021;89,2;54,5;16,7;14,3;0,5;3,2
3;I;38;994309153;Hele landet;Vestfold og Telemark;Kompetansebyggeren;Alle utdanningsprogram;Vg2;2021;100;0;0;0;100;0
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Alle utdanningsprogram;Vg2;2021;89,2;35,1;29,7;2,7;0;21,6
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Alle utdanningsprogram;Vg2;2021;94,7;68,3;12,5;7,7;1,4;4,8
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Alle utdanningsprogram;Vg2;2021;92,6;50,7;12,8;28,7;0,3;0
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Alle utdanningsprogram;Vg2;2021;88,2;55,6;13,9;17,4;1,4;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Alle utdanningsprogram;Vg2;2021;83,4;48;11,7;16,9;0,4;6,3
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Alle utdanningsprogram;Vg2;2021;87,5;87,5;0;0;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Alle utdanningsprogram;Vg2;2021;95,8;95,8;0;0;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Alle utdanningsprogram;Vg2;2021;82,8;46,3;10,6;23,9;0,6;1,5
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Alle utdanningsprogram;Vg2;2021;100;100;0;0;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Studieforberedende;Vg2;2021;96,2;96,1;0;0;0;0
2;I;07;07;Hele landet;Vestfold;Vestfold;Studieforberedende;Vg2;2021;;;;;;
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Studieforberedende;Vg2;2021;94,6;94,6;0;0;0;0
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Studieforberedende;Vg2;2021;90,9;87,9;0;3;0;0
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Studieforberedende;Vg2;2021;;;;;;
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Studieforberedende;Vg2;2021;95,1;95,1;0;0;0;0
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Studieforberedende;Vg2;2021;93,8;93,8;0;0;0;0
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Studieforberedende;Vg2;2021;96,3;96,3;0;0;0;0
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Studieforberedende;Vg2;2021;92,9;92,9;0;0;0;0
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Studieforberedende;Vg2;2021;97,3;97,3;0;0;0;0
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Studieforberedende;Vg2;2021;97,4;97,4;0;0;0;0
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Studieforberedende;Vg2;2021;96,4;96,4;0;0;0;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Studieforberedende;Vg2;2021;91,2;91,2;0;0;0;0
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Studieforberedende;Vg2;2021;87,5;87,5;0;0;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Studieforberedende;Vg2;2021;95,8;95,8;0;0;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Studieforberedende;Vg2;2021;95,4;95,4;0;0;0;0
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Studieforberedende;Vg2;2021;100;100;0;0;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Yrkesfag;Vg2;2021;77,1;0;22,3;46,2;1;7,7
2;I;07;07;Hele landet;Vestfold;Vestfold;Yrkesfag;Vg2;2021;;;;;;
