EnhetNivaa;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Nasjonalt;Fylke;EnhetNavn;Utdanningsprogram;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til opplæring i bedrift;Overgang til yrkesfaglig utdanningsprogram
1;I;00;I;Hele landet;Alle fylker;Alle skoler;Alle utdanningsprogram;Vg1;2025;87,6;44,6;1,2;41,7
2;I;39;39;Hele landet;Vestfold;Alle skoler;Alle utdanningsprogram;Vg1;2025;87;42,1;3;42
3;I;39;974575086;Hele landet;Vestfold;Færder videregående skole ;Alle utdanningsprogram;Vg1;2025;79,8;10,5;7;62,4
3;I;39;990745277;Hele landet;Vestfold;Gjennestad videregående skole ;Alle utdanningsprogram;Vg1;2025;89,6;0;1,5;88,1
3;I;39;974574993;Hele landet;Vestfold;Greveskogen videregående skole ;Alle utdanningsprogram;Vg1;2025;87,7;55,6;1,1;31
3;I;39;874575062;Hele landet;Vestfold;Holmestrand videregående skole ;Alle utdanningsprogram;Vg1;2025;79;31,5;3,5;44,1
3;I;39;923261354;Hele landet;Vestfold;Horten videregående skole ;Alle utdanningsprogram;Vg1;2025;86,1;42,2;2;41,9
3;I;39;974575051;Hele landet;Vestfold;Melsom videregående skole ;Alle utdanningsprogram;Vg1;2025;79,7;18,8;5,5;55,5
3;I;39;974575000;Hele landet;Vestfold;Nøtterøy videregående skole ;Alle utdanningsprogram;Vg1;2025;86,8;65,1;0,5;21,2
3;I;39;874575232;Hele landet;Vestfold;Re videregående skole ;Alle utdanningsprogram;Vg1;2025;94,4;50,9;3;40,5
3;I;39;974575116;Hele landet;Vestfold;Sande videregående skole ;Alle utdanningsprogram;Vg1;2025;85,1;32,6;0;52,5
3;I;39;974575019;Hele landet;Vestfold;Sandefjord videregående skole ;Alle utdanningsprogram;Vg1;2025;87,6;41,7;4;41,9
3;I;39;998666783;Hele landet;Vestfold;Signo Grunn- og videregående skole AS ;Alle utdanningsprogram;Vg1;2025;100;0;0;100
3;I;39;973488783;Hele landet;Vestfold;Skagerak International School Sti ;Alle utdanningsprogram;Vg1;2025;80,7;80,7;0;0
3;I;39;973141805;Hele landet;Vestfold;Slottsfjellet videregående ;Alle utdanningsprogram;Vg1;2025;81,5;81,5;0;0
3;I;39;974575027;Hele landet;Vestfold;Thor Heyerdahl videregående skole ;Alle utdanningsprogram;Vg1;2025;88,1;39,5;3,8;44,8
3;I;39;995354071;Hele landet;Vestfold;Wang Tønsberg AS ;Alle utdanningsprogram;Vg1;2025;100;100;0;0
1;I;00;I;Hele landet;Alle fylker;Alle skoler;Studieforberedende;Vg1;2025;91,9;91,5;0,1;0,3
2;I;39;39;Hele landet;Vestfold;Alle skoler;Studieforberedende;Vg1;2025;91,5;91,2;0,1;0,2
3;I;39;974575086;Hele landet;Vestfold;Færder videregående skole ;Studieforberedende;Vg1;2025;92,9;92,9;0;0
3;I;39;974574993;Hele landet;Vestfold;Greveskogen videregående skole ;Studieforberedende;Vg1;2025;91,3;90,9;0;0,5
3;I;39;874575062;Hele landet;Vestfold;Holmestrand videregående skole ;Studieforberedende;Vg1;2025;86,5;84,6;0;1,9
3;I;39;923261354;Hele landet;Vestfold;Horten videregående skole ;Studieforberedende;Vg1;2025;91,8;91,8;0;0
3;I;39;974575051;Hele landet;Vestfold;Melsom videregående skole ;Studieforberedende;Vg1;2025;75,8;72,7;0;3
3;I;39;974575000;Hele landet;Vestfold;Nøtterøy videregående skole ;Studieforberedende;Vg1;2025;90,8;90,8;0;0
3;I;39;874575232;Hele landet;Vestfold;Re videregående skole ;Studieforberedende;Vg1;2025;95,6;95;0,6;0
3;I;39;974575116;Hele landet;Vestfold;Sande videregående skole ;Studieforberedende;Vg1;2025;92,2;92,2;0;0
3;I;39;974575019;Hele landet;Vestfold;Sandefjord videregående skole ;Studieforberedende;Vg1;2025;92,4;92,4;0;0
3;I;39;973488783;Hele landet;Vestfold;Skagerak International School Sti ;Studieforberedende;Vg1;2025;80,7;80,7;0;0
3;I;39;973141805;Hele landet;Vestfold;Slottsfjellet videregående ;Studieforberedende;Vg1;2025;81,5;81,5;0;0
3;I;39;974575027;Hele landet;Vestfold;Thor Heyerdahl videregående skole ;Studieforberedende;Vg1;2025;91,2;90,9;0;0,3
3;I;39;995354071;Hele landet;Vestfold;Wang Tønsberg AS ;Studieforberedende;Vg1;2025;100;100;0;0
1;I;00;I;Hele landet;Alle fylker;Alle skoler;Yrkesfag;Vg1;2025;83,6;0,4;2,3;80,8
2;I;39;39;Hele landet;Vestfold;Alle skoler;Yrkesfag;Vg1;2025;83,2;0,1;5,5;77,6
3;I;39;974575086;Hele landet;Vestfold;Færder videregående skole ;Yrkesfag;Vg1;2025;78,3;0,4;7,8;70
3;I;39;990745277;Hele landet;Vestfold;Gjennestad videregående skole ;Yrkesfag;Vg1;2025;89,6;0;1,5;88,1
3;I;39;974574993;Hele landet;Vestfold;Greveskogen videregående skole ;Yrkesfag;Vg1;2025;82;0;2,9;79,1
3;I;39;874575062;Hele landet;Vestfold;Holmestrand videregående skole ;Yrkesfag;Vg1;2025;74,7;1,1;5,5;68,1
3;I;39;923261354;Hele landet;Vestfold;Horten videregående skole ;Yrkesfag;Vg1;2025;81,2;0;3,7;77,6
3;I;39;974575051;Hele landet;Vestfold;Melsom videregående skole ;Yrkesfag;Vg1;2025;81,1;0;7,4;73,7
3;I;39;974575000;Hele landet;Vestfold;Nøtterøy videregående skole ;Yrkesfag;Vg1;2025;76,7;0;1,7;75
3;I;39;874575232;Hele landet;Vestfold;Re videregående skole ;Yrkesfag;Vg1;2025;93;0,6;5,7;86,7
3;I;39;974575116;Hele landet;Vestfold;Sande videregående skole ;Yrkesfag;Vg1;2025;81,2;0;0;81,2
3;I;39;974575019;Hele landet;Vestfold;Sandefjord videregående skole ;Yrkesfag;Vg1;2025;83,7;0;7,4;76,3
3;I;39;998666783;Hele landet;Vestfold;Signo Grunn- og videregående skole AS ;Yrkesfag;Vg1;2025;100;0;0;100
3;I;39;974575027;Hele landet;Vestfold;Thor Heyerdahl videregående skole ;Yrkesfag;Vg1;2025;85,8;0;6,7;79
