EnhetNivaa;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Nasjonalt;Fylke;EnhetNavn;Utdanningsprogram;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
1;I;00;I;Hele landet;Alle fylker;Alle skoler;Alle utdanningsprogram;Vg2;2025;88,6;50,8;11,7;22,3;0,3;3,5
2;I;39;39;Hele landet;Vestfold;Alle skoler;Alle utdanningsprogram;Vg2;2025;87;50,9;12,4;20,6;0,3;2,7
3;I;39;974575086;Hele landet;Vestfold;Færder videregående skole ;Alle utdanningsprogram;Vg2;2025;80,9;11,5;14;53,6;0;1,7
3;I;39;990745277;Hele landet;Vestfold;Gjennestad videregående skole ;Alle utdanningsprogram;Vg2;2025;63,5;0;18,9;44,6;0;0
3;I;39;974574993;Hele landet;Vestfold;Greveskogen videregående skole ;Alle utdanningsprogram;Vg2;2025;88,8;67,1;3,5;16,9;1,3;0
3;I;39;874575062;Hele landet;Vestfold;Holmestrand videregående skole ;Alle utdanningsprogram;Vg2;2025;88,5;57,7;15,4;15,4;0;0
3;I;39;923261354;Hele landet;Vestfold;Horten videregående skole ;Alle utdanningsprogram;Vg2;2025;85,9;53,8;17,5;11,8;0,3;2,5
3;I;39;974575051;Hele landet;Vestfold;Melsom videregående skole ;Alle utdanningsprogram;Vg2;2025;72,3;29,2;32,3;1,5;0;9,2
3;I;39;974575000;Hele landet;Vestfold;Nøtterøy videregående skole ;Alle utdanningsprogram;Vg2;2025;91,8;69,6;8,7;7,6;0;6
3;I;39;874575232;Hele landet;Vestfold;Re videregående skole ;Alle utdanningsprogram;Vg2;2025;91,3;49,6;15,9;25,4;0;0,4
3;I;39;974575116;Hele landet;Vestfold;Sande videregående skole ;Alle utdanningsprogram;Vg2;2025;90,1;52,7;16;20,6;0;0,8
3;I;39;974575019;Hele landet;Vestfold;Sandefjord videregående skole ;Alle utdanningsprogram;Vg2;2025;85,9;50,3;10,4;17,3;0,5;7,4
3;I;39;973488783;Hele landet;Vestfold;Skagerak International School Sti ;Alle utdanningsprogram;Vg2;2025;88,2;88,2;0;0;0;0
3;I;39;973141805;Hele landet;Vestfold;Slottsfjellet videregående ;Alle utdanningsprogram;Vg2;2025;95;95;0;0;0;0
3;I;39;974575027;Hele landet;Vestfold;Thor Heyerdahl videregående skole ;Alle utdanningsprogram;Vg2;2025;89,5;48,6;14,5;25,7;0,2;0,4
3;I;39;995354071;Hele landet;Vestfold;Wang Tønsberg AS ;Alle utdanningsprogram;Vg2;2025;100;100;0;0;0;0
1;I;00;I;Hele landet;Alle fylker;Alle skoler;Studieforberedende;Vg2;2025;96,2;96;0,2;0;0;0
2;I;39;39;Hele landet;Vestfold;Alle skoler;Studieforberedende;Vg2;2025;95,1;94,8;0,2;0,1;0;0
3;I;39;974575086;Hele landet;Vestfold;Færder videregående skole ;Studieforberedende;Vg2;2025;96,6;93,1;3,4;0;0;0
3;I;39;974574993;Hele landet;Vestfold;Greveskogen videregående skole ;Studieforberedende;Vg2;2025;95,1;94,2;0,4;0,4;0;0
3;I;39;874575062;Hele landet;Vestfold;Holmestrand videregående skole ;Studieforberedende;Vg2;2025;93,8;93,8;0;0;0;0
3;I;39;923261354;Hele landet;Vestfold;Horten videregående skole ;Studieforberedende;Vg2;2025;94,6;94,6;0;0;0;0
3;I;39;974575051;Hele landet;Vestfold;Melsom videregående skole ;Studieforberedende;Vg2;2025;86,4;86,4;0;0;0;0
3;I;39;974575000;Hele landet;Vestfold;Nøtterøy videregående skole ;Studieforberedende;Vg2;2025;94,2;93,4;0;0,7;0;0
3;I;39;874575232;Hele landet;Vestfold;Re videregående skole ;Studieforberedende;Vg2;2025;96,3;96,3;0;0;0;0
3;I;39;974575116;Hele landet;Vestfold;Sande videregående skole ;Studieforberedende;Vg2;2025;95,8;95,8;0;0;0;0
3;I;39;974575019;Hele landet;Vestfold;Sandefjord videregående skole ;Studieforberedende;Vg2;2025;94,9;94,6;0,3;0;0;0
3;I;39;973488783;Hele landet;Vestfold;Skagerak International School Sti ;Studieforberedende;Vg2;2025;88,2;88,2;0;0;0;0
3;I;39;973141805;Hele landet;Vestfold;Slottsfjellet videregående ;Studieforberedende;Vg2;2025;95;95;0;0;0;0
3;I;39;974575027;Hele landet;Vestfold;Thor Heyerdahl videregående skole ;Studieforberedende;Vg2;2025;96,7;96,7;0;0;0;0
3;I;39;995354071;Hele landet;Vestfold;Wang Tønsberg AS ;Studieforberedende;Vg2;2025;100;100;0;0;0;0
1;I;00;I;Hele landet;Alle fylker;Alle skoler;Yrkesfag;Vg2;2025;80;0;24,7;47,2;0,7;7,4
2;I;39;39;Hele landet;Vestfold;Alle skoler;Yrkesfag;Vg2;2025;77,7;0;26,6;44,4;0,7;5,9
3;I;39;974575086;Hele landet;Vestfold;Færder videregående skole ;Yrkesfag;Vg2;2025;78,6;0;15,5;61,2;0;1,9
3;I;39;990745277;Hele landet;Vestfold;Gjennestad videregående skole ;Yrkesfag;Vg2;2025;63,5;0;18,9;44,6;0;0
3;I;39;974574993;Hele landet;Vestfold;Greveskogen videregående skole ;Yrkesfag;Vg2;2025;73,3;0;11,1;57,8;4,4;0
3;I;39;874575062;Hele landet;Vestfold;Holmestrand videregående skole ;Yrkesfag;Vg2;2025;80;0;40;40;0;0
3;I;39;923261354;Hele landet;Vestfold;Horten videregående skole ;Yrkesfag;Vg2;2025;74,5;0;40,5;27,5;0,7;5,9
3;I;39;974575051;Hele landet;Vestfold;Melsom videregående skole ;Yrkesfag;Vg2;2025;65,1;0;48,8;2,3;0;14
3;I;39;974575000;Hele landet;Vestfold;Nøtterøy videregående skole ;Yrkesfag;Vg2;2025;85,1;0;34;27,7;0;23,4
3;I;39;874575232;Hele landet;Vestfold;Re videregående skole ;Yrkesfag;Vg2;2025;85,9;0;32,8;52,3;0;0,8
3;I;39;974575116;Hele landet;Vestfold;Sande videregående skole ;Yrkesfag;Vg2;2025;83,1;0;35,6;45,8;0;1,7
3;I;39;974575019;Hele landet;Vestfold;Sandefjord videregående skole ;Yrkesfag;Vg2;2025;75,7;0;21,9;37;1;15,8
3;I;39;974575027;Hele landet;Vestfold;Thor Heyerdahl videregående skole ;Yrkesfag;Vg2;2025;82,2;0;29,2;51,7;0,4;0,8
