CAR_ID;Adresse;RENTAL_ID;DRIVER_ID;STARTS_AT;IS_BUSINESS_TRIP;CURRENT_AGE;CITY;;
978878;Jernbanegaten 2, Tønsberg, Norge;7425447;4100560;17.04.2023;no;34;OSLO;;
978878;Jernbanegaten 2, Tønsberg, Norge;8103923;5699027;11.02.2024;yes;22;Torp;;
978878;Jernbanegaten 2, Tønsberg, Norge;8211719;4625071;21.03.2024;no;60;Duken;;
978878;Jernbanegaten 2, Tønsberg, Norge;8138167;4900337;27.02.2024;yes;66;Tønsberg;;
978878;Jernbanegaten 2, Tønsberg, Norge;7529731;5210326;01.06.2023;yes;45;Husøysund;;
978878;Jernbanegaten 2, Tønsberg, Norge;8028738;5607477;09.01.2024;yes;21;Stokke;;
978878;Jernbanegaten 2, Tønsberg, Norge;8036675;5607477;15.01.2024;yes;21;Stokke;;
978878;Jernbanegaten 2, Tønsberg, Norge;6587154;4282426;18.03.2022;not specified;29;Tønsberg;;
978878;Jernbanegaten 2, Tønsberg, Norge;7394979;4286249;04.04.2023;no;28;Hamresanden;;
978878;Jernbanegaten 2, Tønsberg, Norge;8165623;4294997;05.03.2024;no;39;Holmestrand;;
978878;Jernbanegaten 2, Tønsberg, Norge;6587767;4293176;18.03.2022;not specified;33;Tønsberg;;
978878;Jernbanegaten 2, Tønsberg, Norge;7844635;4294009;07.10.2023;no;29;Horten;;
978878;Jernbanegaten 2, Tønsberg, Norge;7911206;4424391;10.11.2023;no;35;Tønsberg;;
978878;Jernbanegaten 2, Tønsberg, Norge;8126473;5672415;19.02.2024;no;20;Tolvsrød;;
978878;Jernbanegaten 2, Tønsberg, Norge;7948441;4740911;07.12.2023;no;70;Tønsberg;;
978878;Jernbanegaten 2, Tønsberg, Norge;8199129;4740911;18.03.2024;no;70;Tønsberg;;
978878;Jernbanegaten 2, Tønsberg, Norge;7870947;4740911;21.10.2023;no;70;Tønsberg;;
978878;Jernbanegaten 2, Tønsberg, Norge;7516135;5163824;26.05.2023;dismissed;54;Nøtterøy;;
978878;Jernbanegaten 2, Tønsberg, Norge;7481348;5163824;11.05.2023;no;54;Nøtterøy;;
978878;Jernbanegaten 2, Tønsberg, Norge;7544851;5163824;07.06.2023;no;54;Nøtterøy;;
978878;Jernbanegaten 2, Tønsberg, Norge;7509304;5163824;24.05.2023;dismissed;54;Nøtterøy;;
978878;Jernbanegaten 2, Tønsberg, Norge;7530591;5163824;01.06.2023;no;54;Nøtterøy;;
978878;Jernbanegaten 2, Tønsberg, Norge;8204988;5796415;19.03.2024;no;26;Nøtterøy;;
978878;Jernbanegaten 2, Tønsberg, Norge;8205639;5343339;24.03.2024;yes;46;Nøtterøy;;
978878;Jernbanegaten 2, Tønsberg, Norge;8159463;5581512;03.03.2024;yes;30;Oslo;;
978878;Jernbanegaten 2, Tønsberg, Norge;7982759;5569893;14.12.2023;no;32;larvik;;
978878;Jernbanegaten 2, Tønsberg, Norge;7260982;5002890;12.02.2023;not specified;51;Nøtterøy;;
