SpoersmaalNivaa;Avgiver_Fylkekode;Spoersmaalgruppekode;Spoersmaalkode;SvaralternativKode;Avgiver_Fylkenavn;Spoersmaalgruppe;Spoersmaalnavn;SvaralternativNavn;2023-24.Alle utdanningsprogram.Alle aldersgrupper.Alle kjønn.Prosent;2023-24.Alle utdanningsprogram.Alle aldersgrupper.Gutt.Prosent;2023-24.Alle utdanningsprogram.Alle aldersgrupper.Jente.Prosent;2024-25.Alle utdanningsprogram.Alle aldersgrupper.Alle kjønn.Prosent;2024-25.Alle utdanningsprogram.Alle aldersgrupper.Gutt.Prosent;2024-25.Alle utdanningsprogram.Alle aldersgrupper.Jente.Prosent;2025-26.Alle utdanningsprogram.Alle aldersgrupper.Alle kjønn.Prosent;2025-26.Alle utdanningsprogram.Alle aldersgrupper.Gutt.Prosent;2025-26.Alle utdanningsprogram.Alle aldersgrupper.Jente.Prosent
2;39;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;trives du på arbeidsplassen?;Alle svar;100;100;100;100;100;100;100;100;100
2;39;LLUIndeks_4;LLUSpoersmaal_Q10701;1;Vestfold;Trivsel;trives du på arbeidsplassen?;I svært liten grad;*;3,2;*;2,1;*;*;*;*;*
2;39;LLUIndeks_4;LLUSpoersmaal_Q10701;2;Vestfold;Trivsel;trives du på arbeidsplassen?;I nokså liten grad;6,2;4,9;8,7;3,3;*;*;*;*;*
2;39;LLUIndeks_4;LLUSpoersmaal_Q10701;3;Vestfold;Trivsel;trives du på arbeidsplassen?;Verken eller;*;9,8;*;10,2;10,2;10,4;11,3;11;11,7
2;39;LLUIndeks_4;LLUSpoersmaal_Q10701;4;Vestfold;Trivsel;trives du på arbeidsplassen?;I nokså stor grad;34,4;34,1;34,8;39,1;40;36,8;33,3;32,4;34,6
2;39;LLUIndeks_4;LLUSpoersmaal_Q10701;5;Vestfold;Trivsel;trives du på arbeidsplassen?;I svært stor grad;45,7;48;41,1;45,3;45,2;45,6;51;53,8;46,4
1;39;LLUIndeks_5;LLUIndeks_5;Alle;Vestfold;Trygt miljø;Alle;Alle svar;;;;;;;;;
2;39;LLUIndeks_5;LLUSpoersmaal_Q10705;Alle;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Alle svar;100;100;100;100;100;100;100;100;100
2;39;LLUIndeks_5;LLUSpoersmaal_Q10705;1;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Flere ganger i uken;*;*;*;*;*;*;*;*;*
2;39;LLUIndeks_5;LLUSpoersmaal_Q10705;2;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Omtrent en gang i uken;1,4;*;*;*;*;*;*;*;*
