Gruppe / kommune,Kommune-nummer,Innb. totalt pr. 1. januar,Besøk totalt,Besøk pr. innb.,Arr. totalt,Arr. frammøtte,Arr. frammøtte pr. 100 innb.,Egne arr. totalt,Egne arr. frammøtte,Egne arr. frammøtte pr. 100 innb.,Eksternes arr. totalt,Eksternes arr. frammøtte,Eksternes arr frammøtte pr. 100 innb.
"Smøla,1 573,2 159,21 050,""9,7"",30,1 407,65,27,1 207,56,3,200,9"
"Aure,1 576,3 408,5 968,""1,8"",19,510,15,19,510,15,,,"
"Volda,1 577,11 093,32 669,""2,9"",123,2 357,21,117,2 264,20,6,93,1"
"Fjord,1 578,2 492,4 424,""1,8"",132,1 693,68,44,598,24,88,1 095,44"
"Hustadvika,1 579,13 437,21 608,""1,6"",86,1 406,10,78,1 307,10,8,99,1"
"Haram,1 580,9 357,29 881,""3,2"",140,3 400,36,137,3 386,36,3,14,0"
"Trondheim - Tråante,5 001,214 565,1 035 237,""4,8"",1 570,56 060,26,1 409,42 303,20,161,13 757,6"
"Steinkjer,5 006,24 032,181 735,""7,6"",659,10 719,45,607,10 213,42,52,506,2"
"Namsos - Nåavmesjenjaelmie,5 007,15 083,39 000,""2,6"",494,11 464,76,488,11 366,75,6,98,1"
"Frøya,5 014,5 453,22 832,""4,2"",47,1 441,26,39,928,17,8,513,9"
"Osen,5 020,898,314,""0,3"",7,111,12,7,111,12,,,"
"Oppdal,5 021,7 389,32 200,""4,4"",170,4 730,64,152,4 300,58,18,430,6"
"Rennebu,5 022,2 484,15 405,""6,2"",33,875,35,33,875,35,,,"
"Røros - Rosse,5 025,5 685,39 000,""6,9"",159,6 917,122,159,6 917,122,,,"
"Holtålen,5 026,2 035,23 776,""11,7"",201,3 185,157,201,3 185,157,,,"
"Midtre Gauldal,5 027,6 140,21 257,""3,5"",85,1 556,25,45,1 176,19,40,380,6"
"Melhus,5 028,17 560,77 067,""4,4"",224,5 516,31,224,5 516,31,,,"
"Skaun,5 029,8 484,35 000,""4,1"",117,4 615,54,117,4 615,54,,,"
"Malvik,5 031,14 783,43 136,""2,9"",116,2 670,18,112,2 533,17,4,137,1"
"Selbu,5 032,4 216,16 598,""3,9"",35,558,13,35,558,13,,,"
Tydal,5 033,773,15 447,20,211,2 443,316,211,2 443,316,,,
Meråker,5 034,2 454,61 280,25,67,1 807,74,29,1 265,52,38,542,22
"Stjørdal,5 035,24 717,104 747,""4,2"",219,4 891,20,203,4 571,18,16,320,1"
"Frosta,5 036,2 645,15 604,""5,9"",54,1 619,61,42,1 274,48,12,345,13"
Levanger - Levangke,5 037,20 574,60 918,3,235,3 677,18,198,2 839,14,37,838,4
"Verdal,5 038,15 193,54 360,""3,6"",282,5 344,35,279,5 292,35,3,52,0"
Snåase - Snåsa,5 041,2 114,8 415,4,49,808,38,23,420,20,26,388,18
Lierne,5 042,1 301,6 500,5,44,888,68,43,876,67,1,12,1
"Raarvihke - Røyrvik,5 043,423,2 413,""5,7"",55,563,133,55,563,133,,,"
"Namsskogan,5 044,810,500,""0,6"",1,50,6,1,50,6,,,"
"Grong,5 045,2 322,22 162,""9,5"",59,2 320,100,58,2 264,98,1,56,2"
"Høylandet,5 046,1 222,16 475,""13,5"",120,2 199,180,119,2 174,178,1,25,2"
"Overhalla,5 047,3 924,29 698,""7,6"",71,1 686,43,71,1 686,43,,,"
Flatanger,5 049,1 116,3 400,3,129,1 233,110,129,1 233,110,,,
"Leka,5 052,604,3 308,""5,5"",16,287,48,13,218,36,3,69,11"
"Inderøy,5 053,6 938,70 770,""10,2"",146,1 693,24,78,1 188,17,68,505,7"
"Indre Fosen,5 054,10 023,43 000,""4,3"",20,448,4,6,281,3,14,167,2"
"Heim,5 055,6 093,16 127,""2,6"",49,2 213,36,40,1 903,31,9,310,5"
"Hitra,5 056,5 323,28 399,""5,3"",239,2 919,55,180,2 714,51,59,205,4"
"Ørland,5 057,10 522,70 788,""6,7"",180,6 136,58,141,5 316,51,39,820,8"
Åfjord,5 058,4 339,,,98,2 125,49,94,1 938,45,4,187,4
"Orkland,5 059,18 793,46 609,""2,5"",217,3 698,20,124,2 720,14,93,978,5"
"Nærøysund,5 060,9 968,35 000,""3,5"",192,5 407,54,189,5 042,51,3,365,4"
"Rindal,5 061,1 958,12 500,""6,4"",3,95,5,3,95,5,,,"
"Bodø,1 804,53 712,360 000,""6,7"",1 015,39 231,73,822,29 402,55,193,9 829,18"
"Narvik,1 806,21 580,155 527,""7,2"",321,10 765,50,253,8 218,38,68,2 547,12"
Bindal,1 811,1 399,,,15,150,11,13,125,9,2,25,2
"Sømna,1 812,1 976,2 300,""1,2"",4,145,7,4,145,7,,,"
"Brønnøy,1 813,7 826,13 319,""1,7"",34,689,9,34,689,9,,,"
"Vega,1 815,1 208,10 000,""8,3"",37,553,46,34,409,34,3,144,12"
"Vevelstad,1 816,480,1 152,""2,4"",25,382,80,19,351,73,6,31,6"
"Herøy (Nordland),1 818,1 842,12 500,""6,8"",375,5 820,316,335,5 670,308,40,150,8"
"Alstahaug,1 820,7 421,120 500,""16,2"",137,5 691,77,114,4 182,56,23,1 509,20"
"Leirfjord,1 822,2 352,3 200,""1,4"",21,667,28,21,667,28,,,"
"Vefsn,1 824,13 469,32 866,""2,4"",85,2 934,22,72,2 284,17,13,650,5"
"Grane,1 825,1 447,2 797,""1,9"",42,612,42,42,612,42,,,"
Aarborte - Hattfjelldal,1 826,1 284,1 266,1,25,318,25,25,318,25,,,
"Dønna,1 827,1 427,9 420,""6,6"",206,2 863,201,189,2 483,174,17,380,27"
Nesna,1 828,1 808,10 780,6,165,2 785,154,164,2 765,153,1,20,1
"Hemnes,1 832,4 485,2 748,""0,6"",17,905,20,17,905,20,,,"
"Rana - Raane,1 833,25 994,85 000,""3,3"",121,4 013,15,94,3 707,14,27,306,1"
"Lurøy,1 834,1 886,500,""0,3"",,,,,,,,,"
"Træna,1 835,442,1 500,""3,4"",25,457,103,25,457,103,,,"
"Rødøy,1 836,1 139,1 344,""1,2"",19,316,28,16,164,14,3,152,13"
"Meløy,1 837,6 180,15 886,""2,6"",94,2 453,40,90,2 355,38,4,98,2"
"Gildeskål,1 838,1 958,7 028,""3,6"",21,974,50,21,974,50,,,"
"Beiarn,1 839,1 062,1 000,""0,9"",39,459,43,38,454,43,1,5,0"
"Saltdal,1 840,4 880,18 346,""3,8"",97,2 414,49,97,2 414,49,,,"
"Fauske - Fuossko,1 841,9 827,4 544,""0,5"",38,898,9,30,731,7,8,167,2"
"Sørfold - Fuolldá,1 845,1 858,1 973,""1,1"",26,477,26,18,387,21,8,90,5"
"Steigen,1 848,2 672,4 110,""1,5"",133,2 168,81,105,1 794,67,28,374,14"
"Lødingen,1 851,2 060,5 406,""2,6"",49,320,16,48,310,15,1,10,0"
"Evenes - Evenássi,1 853,1 330,1 100,""0,8"",2,40,3,2,40,3,,,"
"Røst,1 856,460,500,""1,1"",6,85,18,6,85,18,,,"
"Værøy,1 857,683,864,""1,3"",28,227,33,28,227,33,,,"
"Flakstad,1 859,1 229,958,""0,8"",6,109,9,4,74,6,2,35,3"
"Vestvågøy,1 860,11 619,119 222,""10,3"",167,6 992,60,157,6 151,53,10,841,7"
"Vågan,1 865,9 793,31 112,""3,2"",128,2 528,26,108,2 323,24,20,205,2"
"Hadsel,1 866,8 236,10 000,""1,2"",47,278,3,46,248,3,1,30,0"
"Bø,1 867,2 634,7 590,""2,9"",65,502,19,65,502,19,,,"
Øksnes,1 868,4 569,8 948,2,20,806,18,10,615,13,10,191,4
"Sortland - Suortá,1 870,10 618,63 000,""5,9"",455,12 804,121,203,4 704,44,252,8 100,76"
"Andøy,1 871,4 553,19 000,""4,2"",121,2 100,46,121,2 100,46,,,"
"Moskenes,1 874,954,750,""0,8"",10,35,4,10,35,4,,,"
"Hábmer - Hamarøy,1 875,2 729,10 057,""3,7"",20,484,18,20,484,18,,,"
"Tromsø,5 501,78 745,506 491,""6,4"",1 051,23 229,29,939,19 849,25,112,3 380,4"
"Harstad - Hárstták,5 503,25 056,111 385,""4,4"",521,32 274,129,358,8 022,32,163,24 252,97"
"Kvæfjord,5 510,2 845,7 640,""2,7"",114,1 983,70,114,1 983,70,,,"
"Dielddanuorri - Tjeldsund,5 512,4 281,11 615,""2,7"",39,533,12,39,533,12,,,"
"Ibestad,5 514,1 311,4 000,""3,1"",76,1 029,78,73,1 012,77,3,17,1"
"Gratangen - Rivtták,5 516,1 070,932,""0,9"",11,304,28,11,304,28,,,"
Loabák - Lavangen,5 518,986,,,15,333,34,15,333,34,,,
"Bardu,5 520,3 986,6 750,""1,7"",41,979,25,15,329,8,26,650,16"
"Salangen,5 522,2 069,5 723,""2,8"",46,314,15,2,51,2,44,263,13"
"Målselv,5 524,6 714,32 428,""4,8"",23,1 356,20,23,1 356,20,,,"
"Sørreisa,5 526,3 485,17 000,""4,9"",27,623,18,27,623,18,,,"
"Dyrøy,5 528,1 073,3 782,""3,5"",25,793,74,25,793,74,,,"
"Senja,5 530,14 894,69 200,""4,6"",253,3 748,25,174,3 230,22,79,518,3"
"Balsfjord,5 532,5 571,3 951,""0,7"",52,1 006,18,52,1 006,18,,,"
"Karlsøy,5 534,2 237,10 023,""4,5"",2,75,3,2,75,3,,,"
"Lyngen,5 536,2 743,4 129,""1,5"",113,230,8,93,230,8,20,,"
"Storfjord - Omasvuotna - Omasvuono,5 538,1 825,3 524,""1,9"",109,1 132,62,96,1 034,57,13,98,5"
"Gáivuotna - Kåfjord - Kaivuono,5 540,1 974,4 200,""2,1"",64,1 741,88,58,1 567,79,6,174,9"
"Skjervøy,5 542,2 794,6 581,""2,4"",89,1 286,46,84,1 257,45,5,29,1"
"Nordreisa - Ráisa - Raisi,5 544,4 794,15 578,""3,2"",83,2 815,59,74,2 531,53,9,284,6"
Kvænangen,5 546,1 157,,,47,785,68,45,743,64,2,42,4
"Alta,5 601,21 708,70 857,""3,3"",313,6 208,29,286,5 821,27,27,387,2"
"Hammerfest - Hámmerfeasta,5 603,11 338,40 363,""3,6"",204,2 568,23,85,1 830,16,119,738,7"
"Sør-Varanger,5 605,10 063,46 362,""4,6"",171,4 844,48,121,4 311,43,50,533,5"
"Vadsø,5 607,5 807,26 125,""4,5"",88,3 404,59,77,2 970,51,11,434,7"
"Kárásjohka - Karasjok,5 610,2 565,3 000,""1,2"",25,312,12,14,242,9,11,70,3"
"Guovdageaidnu - Kautokeino,5 612,2 848,4 005,""1,4"",84,901,32,84,901,32,,,"
Loppa,5 614,864,835,1,10,206,24,1,19,2,9,187,22
"Hasvik,5 616,979,700,""0,7"",15,80,8,6,30,3,9,50,5"
"Måsøy,5 618,1 113,3 778,""3,4"",58,1 038,93,54,953,86,4,85,8"
Nordkapp,5 620,2 951,17 670,6,20,417,14,18,413,14,2,4,0
"Porsanger - Porsángu - Porsanki,5 622,3 889,9 723,""2,5"",83,2 161,56,71,1 541,40,12,620,16"
"Lebesby,5 624,1 215,1 836,""1,5"",162,2 546,210,115,1 242,102,47,1 304,107"
"Gamvik,5 626,1 070,4 456,""4,2"",32,828,77,32,828,77,,,"
"Deatnu - Tana,5 628,2 807,3 829,""1,4"",54,487,17,49,452,16,5,35,1"
"Berlevåg,5 630,892,809,""0,9"",11,15,2,11,15,2,,,"
"Båtsfjord,5 632,2 113,7 453,""3,5"",3,111,5,3,111,5,,,"
"Vardø,5 634,1 972,1 028,""0,5"",5,100,5,5,100,5,,,"
"Unjárga - Nesseby,5 636,859,1 461,""1,7"",26,419,49,10,213,25,16,206,24"
"Longyearbyen,2 100,2 617,31 189,""11,9"",191,5 120,196,147,4 783,183,44,337,13"
