"Fylke";"2025"
"Østfold";"2,2"
"Akershus";"2,3"
"Oslo - Oslove";"2,5"
"Innlandet";"2,5"
"Buskerud";"2,2"
"Vestfold";"3,2"
"Telemark";"2,3"
"Agder";"2,7"
"Rogaland";"3,1"
"Vestland";"2,5"
"Møre og Romsdal";"1,9"
"Trøndelag - Trööndelage";"2,7"
"Nordland - Nordlánnda";"1,8"
"Troms - Romsa - Tromssa";"2,3"
"Finnmark - Finnmárku - Finmarkku";"1,4"
