År,Fylke,Kommune,Grovfor antall dekar,Grovfor antall søkere,Korn antall dekar,Korn antall søkere,Potet antall dekar,Potet antall søkere,Grønnsaker antall dekar,Grønnsaker antall søkere,Frukt antall dekar,Frukt antall søkere,Bær antall dekar,Bær antall søkere
2023,Viken (30),Råde (3017),2 372 ,26 ,29 109 ,89 ,1 207 ,14 ,547 ,13 ,130 ,1 ,19 ,2 
2023,Viken (30),Sarpsborg (3003),17 514 ,112 ,56 737 ,197 ,217 ,8 ,9 ,4 ,53 ,2 ,31 ,4 
2023,Viken (30),Sigdal (3045),16 330 ,92 ,15 786 ,96 ,49 ,3 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Viken (30),Skiptvet (3015),5 881 ,41 ,23 359 ,79 ,0 ,0 ,0 ,0 ,3 ,1 ,0 ,0 
2023,Viken (30),Ullensaker (3033),10 345 ,50 ,69 774 ,160 ,160 ,2 ,3 ,3 ,0 ,0 ,628 ,2 
2023,Viken (30),Vestby (3019),2 340 ,25 ,30 063 ,59 ,25 ,3 ,11 ,1 ,3 ,1 ,63 ,2 
2023,Viken (30),Våler (Østf.) (3018),5 733 ,39 ,27 984 ,86 ,0 ,0 ,0 ,0 ,6 ,2 ,2 ,1 
2023,Viken (30),Øvre Eiker (3048),14 733 ,72 ,31 352 ,136 ,3 ,1 ,92 ,4 ,987 ,18 ,245 ,10 
2023,Viken (30),Ål (3043),36 076 ,142 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Viken (30),Ås (3021),4 621 ,15 ,35 345 ,65 ,164 ,5 ,152 ,5 ,38 ,3 ,131 ,5 
