Gruppe / kommune,Bøker for barn pr. barn,Skjønn-litteratur for voksne pr. voksen,Fag-litteratur for voksne pr. voksen
Vestfold og Telemark,9.463296062226544,1.0268098021582734,0.5332230925785687
Tønsberg og Færder,16.93515895498898,1.3790536406281868,0.8059147460738324
Sandefjord,10.735714285714286,0.9767492791181516,0.5665036317845019
Larvik,7.46877900039772,1.0446650124069479,0.500847603370759
Horten,6.871626378784323,1.1822296229879168,0.6821228811750139
Holmestrand,9.711962833914054,1.0953837724304827,0.4482443724030866
