Kommunenummer;Kommune;Kjønn;År;Innvandringsgrunn;Enhet;Antall
1851;Lødingen;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;118
3430;Os (Hedm.);Alle;2025;Uoppgitt;Personer;31
4646;Fjaler;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;44
1124;Sola;Menn;2025;Flyktninger og deres familieinnvandrede;Prosent;10.2
3425;Engerdal;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;64.3
5620;Nordkapp;Menn;2025;Alle;Prosent;50.2
1812;Sømna;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;4
1866;Hadsel;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;359
4601;Bergen;Menn;2025;Alle;Prosent;52.0
3312;Lier;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;1936
1135;Sauda;Menn;2025;Uoppgitt;Personer;17
3417;Grue;Alle;2025;Familieinnvandrede;Personer;115
1535;Vestnes;Alle;2025;Alle;Prosent;100.0
1578;Fjord;Kvinner;2025;Uoppgitt;Prosent;5.5
3414;Nord-Odal;Alle;2025;Familieinnvandrede;Prosent;22.1
4010;Siljan;Kvinner;2025;Uoppgitt;Prosent;7.4
4625;Austevoll;Kvinner;2025;Alle;Prosent;49.5
4639;Vik;Menn;2025;Arbeidsinnvandrere;Prosent;22.3
4646;Fjaler;Alle;2025;Arbeidsinnvandrere;Prosent;9.9
3240;Eidsvoll;Menn;2025;Alle;Personer;2738
5035;Stjørdal;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;715
5546;Kvænangen;Kvinner;2025;Arbeidsinnvandrere;Personer;10
1112;Lund;Alle;2025;Uoppgitt;Prosent;10.3
3441;Gausdal;Kvinner;2025;Familieinnvandrede;Prosent;14.2
4629;Modalen;Menn;2025;Arbeidsinnvandrere;Prosent;8.8
4635;Gulen;Kvinner;2025;Alle;Prosent;48.8
1101;Eigersund;Kvinner;2025;Alle;Personer;1048
1119;Hå;Kvinner;2025;Uoppgitt;Personer;74
3242;Hurdal;Alle;2025;Arbeidsinnvandrere;Personer;114
3434;Lom;Menn;2025;Alle;Personer;64
5007;Namsos (f.o.m. 2020);Menn;2025;Flyktninger og deres familieinnvandrede;Personer;396
5044;Namsskogan;Menn;2025;Arbeidsinnvandrere;Personer;7
5512;Tjeldsund (f.o.m. 2020);Menn;2025;Uoppgitt;Personer;13
5626;Gamvik;Kvinner;2025;Arbeidsinnvandrere;Personer;52
3419;Våler (Hedm.);Menn;2025;Arbeidsinnvandrere;Prosent;16.1
3907;Sandefjord (f.o.m. 2017);Menn;2025;Uoppgitt;Prosent;6.0
4010;Siljan;Alle;2025;Familieinnvandrede;Prosent;23.9
5536;Lyngen;Alle;2025;Familieinnvandrede;Prosent;19.8
4202;Grimstad;Menn;2025;Arbeidsinnvandrere;Personer;524
4629;Modalen;Menn;2025;Uoppgitt;Personer;0
5054;Indre Fosen;Alle;2025;Arbeidsinnvandrere;Personer;240
1554;Averøy;Alle;2025;Uoppgitt;Prosent;4.6
4635;Gulen;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;4.7
1816;Vevelstad;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;15
3431;Dovre;Alle;2025;Arbeidsinnvandrere;Personer;66
4639;Vik;Menn;2025;Uoppgitt;Personer;6
5607;Vadsø;Menn;2025;Uoppgitt;Personer;41
4028;Kviteseid;Menn;2025;Uoppgitt;Prosent;6.2
1108;Sandnes (f.o.m. 2020);Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;2585
3116;Skiptvet;Menn;2025;Uoppgitt;Personer;36
3118;Indre Østfold;Alle;2025;Familieinnvandrede;Personer;2291
3218;Ås;Menn;2025;Uoppgitt;Personer;365
4213;Tvedestrand;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;12
5622;Porsanger;Alle;2025;Familieinnvandrede;Personer;115
3240;Eidsvoll;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.7
3421;Trysil;Menn;2025;Arbeidsinnvandrere;Personer;151
4640;Sogndal (f.o.m. 2020);Alle;2025;Alle;Personer;1728
4651;Stryn;Kvinner;2025;Alle;Personer;630
3222;Lørenskog;Kvinner;2025;Arbeidsinnvandrere;Prosent;5.3
5540;Kåfjord;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.0
1836;Rødøy;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;8
4635;Gulen;Alle;2025;Alle;Personer;342
1806;Narvik (f.o.m. 2020);Alle;2025;Uoppgitt;Prosent;15.8
3442;Østre Toten;Menn;2025;Flyktninger og deres familieinnvandrede;Prosent;15.7
4612;Sveio;Alle;2025;Uoppgitt;Prosent;10.6
3228;Nes;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;118
3322;Nesbyen;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;62
3434;Lom;Alle;2025;Familieinnvandrede;Personer;17
4014;Kragerø;Alle;2025;Alle;Personer;1334
4625;Austevoll;Alle;2025;Alle;Personer;769
3411;Ringsaker;Kvinner;2025;Arbeidsinnvandrere;Prosent;7.7
4216;Birkenes;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;24.2
4022;Seljord;Kvinner;2025;Uoppgitt;Personer;15
3232;Nittedal;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.0
3310;Hole;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;19.7
1130;Strand;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;28
1833;Rana;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;48
3419;Våler (Hedm.);Menn;2025;Uoppgitt;Personer;24
1121;Time;Menn;2025;Familieinnvandrede;Prosent;7.3
1528;Sykkylven;Kvinner;2025;Familieinnvandrede;Prosent;19.0
1532;Giske;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;11.5
1579;Hustadvika;Menn;2025;Familieinnvandrede;Prosent;7.9
5034;Meråker;Kvinner;2025;Arbeidsinnvandrere;Prosent;3.6
3422;Åmot;Kvinner;2025;Arbeidsinnvandrere;Personer;30
3429;Folldal;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;6
5612;Kautokeino;Kvinner;2025;Arbeidsinnvandrere;Personer;17
5626;Gamvik;Menn;2025;Familieinnvandrede;Personer;29
1856;Røst;Menn;2025;Flyktninger og deres familieinnvandrede;Prosent;9.8
3214;Frogn;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;14.1
3431;Dovre;Menn;2025;Familieinnvandrede;Personer;10
4617;Kvinnherad;Alle;2025;Familieinnvandrede;Personer;316
4211;Gjerstad;Alle;2025;Familieinnvandrede;Prosent;15.4
5605;Sør-Varanger;Menn;2025;Alle;Personer;744
1827;Dønna;Menn;2025;Uoppgitt;Prosent;2.9
4643;Årdal;Alle;2025;Arbeidsinnvandrere;Prosent;27.7
5622;Porsanger;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;25.1
1114;Bjerkreim;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;87
1135;Sauda;Kvinner;2025;Arbeidsinnvandrere;Personer;36
1560;Tingvoll;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;12
1547;Aukra;Alle;2025;Uoppgitt;Prosent;5.1
4641;Aurland;Alle;2025;Uoppgitt;Prosent;11.1
5526;Sørreisa;Alle;2025;Alle;Prosent;100.0
1515;Herøy (Møre og Romsdal);Menn;2025;Alle;Personer;686
1532;Giske;Kvinner;2025;Uoppgitt;Personer;39
3412;Løten;Alle;2025;Familieinnvandrede;Personer;230
5059;Orkland;Kvinner;2025;Alle;Personer;1120
3433;Skjåk;Kvinner;2025;Arbeidsinnvandrere;Prosent;9.0
3449;Sør-Aurdal;Menn;2025;Familieinnvandrede;Prosent;7.5
1804;Bodø;Menn;2025;Alle;Personer;3234
1856;Røst;Menn;2025;Uoppgitt;Personer;3
4611;Etne;Kvinner;2025;Familieinnvandrede;Personer;74
1560;Tingvoll;Menn;2025;Arbeidsinnvandrere;Prosent;11.7
3310;Hole;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.0
1835;Træna;Kvinner;2025;Alle;Personer;73
3230;Gjerdrum;Menn;2025;Arbeidsinnvandrere;Personer;324
4032;Fyresdal;Kvinner;2025;Uoppgitt;Personer;7
4636;Solund;Kvinner;2025;Familieinnvandrede;Personer;24
1517;Hareid;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.4
3114;Våler (Østf.);Menn;2025;Familieinnvandrede;Prosent;7.9
3423;Stor-Elvdal;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;12.2
4016;Drangedal;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;25.0
0301;Oslo;Kvinner;2025;Arbeidsinnvandrere;Personer;12408
1506;Molde (f.o.m. 2020);Menn;2025;Alle;Personer;2285
1875;Hamarøy (f.o.m. 2020);Menn;2025;Alle;Personer;224
3432;Lesja;Kvinner;2025;Familieinnvandrede;Personer;25
4626;Øygarden (f.o.m. 2020);Kvinner;2025;Familieinnvandrede;Personer;995
5503;Harstad;Menn;2025;Arbeidsinnvandrere;Personer;452
1554;Averøy;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.8
4228;Sirdal;Menn;2025;Arbeidsinnvandrere;Prosent;29.4
5014;Frøya;Kvinner;2025;Arbeidsinnvandrere;Prosent;18.3
4215;Lillesand;Alle;2025;Arbeidsinnvandrere;Personer;212
1853;Evenes;Menn;2025;Flyktninger og deres familieinnvandrede;Prosent;16.7
1860;Vestvågøy;Alle;2025;Alle;Prosent;100.0
4619;Eidfjord;Menn;2025;Alle;Prosent;42.5
4626;Øygarden (f.o.m. 2020);Alle;2025;Alle;Prosent;100.0
5047;Overhalla;Menn;2025;Uoppgitt;Prosent;2.8
1554;Averøy;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;23
3454;Vang;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;5
5532;Balsfjord;Kvinner;2025;Arbeidsinnvandrere;Personer;66
4636;Solund;Alle;2025;Alle;Prosent;100.0
1130;Strand;Kvinner;2025;Familieinnvandrede;Personer;294
3405;Lillehammer;Kvinner;2025;Arbeidsinnvandrere;Personer;242
3433;Skjåk;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;43
4001;Porsgrunn;Kvinner;2025;Arbeidsinnvandrere;Personer;230
5052;Leka;Alle;2025;Arbeidsinnvandrere;Personer;13
4010;Siljan;Menn;2025;Alle;Prosent;41.5
1145;Bokn;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;29.0
1806;Narvik (f.o.m. 2020);Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;3.9
3905;Tønsberg (f.o.m. 2020);Menn;2025;Flyktninger og deres familieinnvandrede;Personer;1617
1812;Sømna;Kvinner;2025;Familieinnvandrede;Prosent;15.2
4018;Nome;Menn;2025;Uoppgitt;Prosent;3.8
1122;Gjesdal;Kvinner;2025;Alle;Personer;992
3314;Øvre Eiker;Menn;2025;Arbeidsinnvandrere;Personer;757
5042;Lierne;Menn;2025;Arbeidsinnvandrere;Personer;10
1516;Ulstein;Alle;2025;Alle;Prosent;100.0
3421;Trysil;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;4.8
3432;Lesja;Menn;2025;Arbeidsinnvandrere;Prosent;22.5
4203;Arendal;Menn;2025;Alle;Prosent;49.0
1145;Bokn;Alle;2025;Uoppgitt;Personer;9
3413;Stange;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;1280
1531;Sula;Alle;2025;Uoppgitt;Prosent;6.7
1839;Beiarn;Kvinner;2025;Familieinnvandrede;Prosent;8.8
1840;Saltdal;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;67.4
3316;Modum;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.9
4647;Sunnfjord;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;6.8
3305;Ringerike;Kvinner;2025;Alle;Personer;2556
3441;Gausdal;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;22
3905;Tønsberg (f.o.m. 2020);Kvinner;2025;Familieinnvandrede;Personer;1294
1840;Saltdal;Menn;2025;Arbeidsinnvandrere;Prosent;4.5
3328;Ål;Menn;2025;Familieinnvandrede;Prosent;5.2
3413;Stange;Alle;2025;Arbeidsinnvandrere;Prosent;19.8
5526;Sørreisa;Kvinner;2025;Alle;Prosent;54.0
1149;Karmøy;Menn;2025;Familieinnvandrede;Personer;350
3120;Rakkestad;Alle;2025;Uoppgitt;Personer;97
3234;Lunner;Menn;2025;Arbeidsinnvandrere;Personer;214
5512;Tjeldsund (f.o.m. 2020);Kvinner;2025;Arbeidsinnvandrere;Personer;18
3414;Nord-Odal;Menn;2025;Alle;Prosent;42.6
3905;Tønsberg (f.o.m. 2020);Alle;2025;Alle;Prosent;100.0
4227;Kvinesdal;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;29.4
3440;Øyer;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;45.0
3441;Gausdal;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;3.0
4012;Bamble;Alle;2025;Alle;Prosent;100.0
5001;Trondheim (f.o.m. 2020);Menn;2025;Uoppgitt;Prosent;4.7
5528;Dyrøy;Kvinner;2025;Familieinnvandrede;Prosent;19.5
1848;Steigen;Kvinner;2025;Alle;Personer;212
3312;Lier;Kvinner;2025;Arbeidsinnvandrere;Personer;538
4226;Hægebostad;Alle;2025;Familieinnvandrede;Personer;34
4647;Sunnfjord;Alle;2025;Alle;Personer;2565
5053;Inderøy;Menn;2025;Alle;Personer;280
5624;Lebesby;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;5
1112;Lund;Menn;2025;Arbeidsinnvandrere;Prosent;6.6
1857;Værøy;Menn;2025;Alle;Prosent;55.5
1856;Røst;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;11
3220;Enebakk;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;241
3403;Hamar;Menn;2025;Arbeidsinnvandrere;Personer;481
5501;Tromsø;Kvinner;2025;Uoppgitt;Personer;938
1511;Vanylven;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.3
3118;Indre Østfold;Menn;2025;Uoppgitt;Prosent;6.0
3201;Bærum;Alle;2025;Familieinnvandrede;Prosent;22.8
5043;Røyrvik;Alle;2025;Alle;Prosent;100.0
1517;Hareid;Menn;2025;Alle;Personer;545
3420;Elverum;Menn;2025;Familieinnvandrede;Personer;189
4649;Stad;Menn;2025;Uoppgitt;Personer;63
3103;Moss (f.o.m. 2020);Menn;2025;Familieinnvandrede;Prosent;8.5
3312;Lier;Kvinner;2025;Alle;Prosent;45.9
3332;Sigdal;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;37.3
1149;Karmøy;Alle;2025;Alle;Personer;4690
1806;Narvik (f.o.m. 2020);Menn;2025;Flyktninger og deres familieinnvandrede;Personer;461
3101;Halden;Kvinner;2025;Familieinnvandrede;Personer;676
0301;Oslo;Alle;2025;Arbeidsinnvandrere;Prosent;20.7
1122;Gjesdal;Kvinner;2025;Familieinnvandrede;Prosent;15.6
1135;Sauda;Kvinner;2025;Arbeidsinnvandrere;Prosent;6.5
3120;Rakkestad;Menn;2025;Flyktninger og deres familieinnvandrede;Prosent;21.6
5616;Hasvik;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;1.2
1560;Tingvoll;Alle;2025;Uoppgitt;Personer;24
4630;Osterøy;Alle;2025;Alle;Personer;924
4641;Aurland;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;50
3417;Grue;Menn;2025;Uoppgitt;Prosent;7.3
3450;Etnedal;Alle;2025;Alle;Prosent;100.0
4020;Midt-Telemark;Kvinner;2025;Familieinnvandrede;Prosent;11.1
4628;Vaksdal;Kvinner;2025;Arbeidsinnvandrere;Prosent;5.5
5524;Målselv;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.9
4620;Ulvik;Alle;2025;Alle;Personer;188
5624;Lebesby;Kvinner;2025;Uoppgitt;Personer;27
1874;Moskenes;Kvinner;2025;Alle;Prosent;51.2
3201;Bærum;Kvinner;2025;Uoppgitt;Prosent;9.1
3226;Aurskog-Høland (f.o.m. 2020);Menn;2025;Familieinnvandrede;Prosent;9.6
3312;Lier;Alle;2025;Alle;Prosent;100.0
5536;Lyngen;Menn;2025;Arbeidsinnvandrere;Prosent;15.5
3414;Nord-Odal;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;43
3907;Sandefjord (f.o.m. 2017);Kvinner;2025;Familieinnvandrede;Personer;1912
4218;Iveland;Menn;2025;Arbeidsinnvandrere;Personer;31
5616;Hasvik;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;11
5516;Gratangen;Menn;2025;Uoppgitt;Prosent;6.0
1563;Sunndal;Kvinner;2025;Alle;Personer;533
1840;Saltdal;Alle;2025;Uoppgitt;Personer;68
4226;Hægebostad;Kvinner;2025;Arbeidsinnvandrere;Personer;3
3414;Nord-Odal;Menn;2025;Arbeidsinnvandrere;Prosent;15.1
4030;Nissedal;Kvinner;2025;Familieinnvandrede;Prosent;14.9
4618;Ullensvang (f.o.m. 2020);Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.4
1866;Hadsel;Alle;2025;Familieinnvandrede;Prosent;17.3
4617;Kvinnherad;Menn;2025;Uoppgitt;Prosent;5.8
5636;Nesseby;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;20.6
1112;Lund;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;103
3122;Marker;Alle;2025;Familieinnvandrede;Personer;90
3303;Kongsberg;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;160
3332;Sigdal;Alle;2025;Uoppgitt;Personer;22
3448;Nordre Land;Alle;2025;Arbeidsinnvandrere;Prosent;19.0
4224;Åseral;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.9
4623;Samnanger;Alle;2025;Alle;Prosent;100.0
1576;Aure;Kvinner;2025;Arbeidsinnvandrere;Personer;54
3205;Lillestrøm;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;1217
5618;Måsøy;Alle;2025;Uoppgitt;Personer;18
1820;Alstahaug;Menn;2025;Familieinnvandrede;Prosent;5.1
4020;Midt-Telemark;Alle;2025;Uoppgitt;Prosent;13.2
4633;Fedje;Alle;2025;Alle;Prosent;100.0
5501;Tromsø;Menn;2025;Familieinnvandrede;Prosent;7.1
1520;Ørsta;Alle;2025;Alle;Personer;1148
1813;Brønnøy;Menn;2025;Uoppgitt;Personer;23
3110;Hvaler;Kvinner;2025;Familieinnvandrede;Personer;59
4005;Notodden;Menn;2025;Arbeidsinnvandrere;Personer;263
5045;Grong;Kvinner;2025;Familieinnvandrede;Personer;39
1865;Vågan;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;35.2
4030;Nissedal;Alle;2025;Uoppgitt;Prosent;13.3
5057;Ørland (f.o.m. 2020);Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;5.0
1868;Øksnes;Alle;2025;Familieinnvandrede;Personer;160
3205;Lillestrøm;Kvinner;2025;Arbeidsinnvandrere;Personer;1393
3448;Nordre Land;Alle;2025;Familieinnvandrede;Personer;123
5526;Sørreisa;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;275
5616;Hasvik;Kvinner;2025;Uoppgitt;Personer;25
5628;Tana;Menn;2025;Arbeidsinnvandrere;Prosent;9.2
1870;Sortland;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;403
3901;Horten;Alle;2025;Alle;Personer;4454
5061;Rindal;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;0
5636;Nesseby;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;3
3414;Nord-Odal;Menn;2025;Uoppgitt;Prosent;8.7
5046;Høylandet;Kvinner;2025;Uoppgitt;Prosent;2.1
5526;Sørreisa;Alle;2025;Arbeidsinnvandrere;Prosent;15.6
1824;Vefsn;Menn;2025;Familieinnvandrede;Personer;74
3201;Bærum;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;3399
4026;Tinn;Alle;2025;Familieinnvandrede;Personer;169
5022;Rennebu;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;0
1811;Bindal;Alle;2025;Uoppgitt;Prosent;6.9
1866;Hadsel;Kvinner;2025;Uoppgitt;Prosent;2.6
3316;Modum;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.1
4636;Solund;Alle;2025;Arbeidsinnvandrere;Prosent;34.0
5516;Gratangen;Menn;2025;Arbeidsinnvandrere;Prosent;23.5
1554;Averøy;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;148
4036;Vinje;Alle;2025;Familieinnvandrede;Personer;83
5022;Rennebu;Menn;2025;Arbeidsinnvandrere;Personer;26
1122;Gjesdal;Alle;2025;Uoppgitt;Prosent;10.2
3419;Våler (Hedm.);Alle;2025;Uoppgitt;Prosent;13.4
4619;Eidfjord;Menn;2025;Arbeidsinnvandrere;Prosent;13.7
4626;Øygarden (f.o.m. 2020);Alle;2025;Arbeidsinnvandrere;Prosent;30.1
5536;Lyngen;Menn;2025;Uoppgitt;Prosent;5.8
5616;Hasvik;Menn;2025;Familieinnvandrede;Prosent;11.6
5630;Berlevåg;Kvinner;2025;Arbeidsinnvandrere;Prosent;17.9
1868;Øksnes;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;192
3214;Frogn;Kvinner;2025;Alle;Personer;1204
4602;Kinn;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;69
3435;Vågå;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;5.1
4612;Sveio;Alle;2025;Alle;Prosent;100.0
5610;Karasjok;Kvinner;2025;Arbeidsinnvandrere;Prosent;7.4
1135;Sauda;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;260
1576;Aure;Alle;2025;Arbeidsinnvandrere;Personer;175
4001;Porsgrunn;Menn;2025;Familieinnvandrede;Personer;401
4201;Risør;Kvinner;2025;Arbeidsinnvandrere;Prosent;2.3
4211;Gjerstad;Menn;2025;Uoppgitt;Prosent;3.1
4614;Stord;Menn;2025;Uoppgitt;Prosent;6.1
5058;Åfjord (f.o.m. 2020);Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;4.8
1813;Brønnøy;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;10
1868;Øksnes;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;22.9
4629;Modalen;Menn;2025;Alle;Prosent;40.4
4223;Vennesla;Kvinner;2025;Familieinnvandrede;Personer;306
3401;Kongsvinger;Kvinner;2025;Familieinnvandrede;Prosent;13.8
4639;Vik;Menn;2025;Alle;Prosent;46.8
4645;Askvoll;Alle;2025;Arbeidsinnvandrere;Prosent;18.2
4646;Fjaler;Alle;2025;Alle;Prosent;100.0
5025;Røros;Menn;2025;Uoppgitt;Prosent;6.4
1865;Vågan;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;303
3440;Øyer;Menn;2025;Uoppgitt;Personer;42
3401;Kongsvinger;Menn;2025;Arbeidsinnvandrere;Prosent;8.5
3426;Tolga;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.4
5032;Selbu;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;6.9
5060;Nærøysund;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.7
4643;Årdal;Kvinner;2025;Familieinnvandrede;Personer;109
5049;Flatanger;Alle;2025;Arbeidsinnvandrere;Personer;40
5636;Nesseby;Kvinner;2025;Uoppgitt;Personer;14
1135;Sauda;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;46.6
1865;Vågan;Kvinner;2025;Arbeidsinnvandrere;Prosent;10.4
3416;Eidskog;Menn;2025;Flyktninger og deres familieinnvandrede;Prosent;18.4
4650;Gloppen;Kvinner;2025;Arbeidsinnvandrere;Prosent;6.4
5059;Orkland;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.9
4226;Hægebostad;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;0
5510;Kvæfjord;Kvinner;2025;Alle;Personer;188
4645;Askvoll;Kvinner;2025;Arbeidsinnvandrere;Prosent;8.2
5636;Nesseby;Menn;2025;Familieinnvandrede;Prosent;5.6
4218;Iveland;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;4
1121;Time;Kvinner;2025;Familieinnvandrede;Personer;407
1135;Sauda;Alle;2025;Uoppgitt;Personer;39
1579;Hustadvika;Kvinner;2025;Familieinnvandrede;Personer;334
1860;Vestvågøy;Menn;2025;Familieinnvandrede;Personer;72
4646;Fjaler;Kvinner;2025;Familieinnvandrede;Personer;55
1811;Bindal;Menn;2025;Alle;Prosent;52.9
1874;Moskenes;Alle;2025;Alle;Prosent;100.0
3301;Drammen (f.o.m. 2020);Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;3.8
4030;Nissedal;Menn;2025;Arbeidsinnvandrere;Prosent;18.5
5007;Namsos (f.o.m. 2020);Menn;2025;Alle;Prosent;48.2
1554;Averøy;Kvinner;2025;Familieinnvandrede;Prosent;20.3
4020;Midt-Telemark;Menn;2025;Arbeidsinnvandrere;Prosent;10.7
4032;Fyresdal;Alle;2025;Arbeidsinnvandrere;Prosent;19.0
4036;Vinje;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;24.2
5607;Vadsø;Menn;2025;Flyktninger og deres familieinnvandrede;Prosent;30.1
4228;Sirdal;Menn;2025;Arbeidsinnvandrere;Personer;72
1838;Gildeskål;Menn;2025;Alle;Prosent;46.2
1866;Hadsel;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.9
3907;Sandefjord (f.o.m. 2017);Menn;2025;Familieinnvandrede;Prosent;7.8
4022;Seljord;Alle;2025;Arbeidsinnvandrere;Prosent;18.1
5035;Stjørdal;Kvinner;2025;Arbeidsinnvandrere;Prosent;3.7
1505;Kristiansund;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;643
3326;Hemsedal;Menn;2025;Uoppgitt;Prosent;15.7
5514;Ibestad;Menn;2025;Uoppgitt;Prosent;3.2
3436;Nord-Fron;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;8
4036;Vinje;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;41
4216;Birkenes;Alle;2025;Familieinnvandrede;Personer;133
4226;Hægebostad;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;95
5028;Melhus;Menn;2025;Familieinnvandrede;Personer;144
4028;Kviteseid;Menn;2025;Familieinnvandrede;Prosent;8.9
4221;Valle;Alle;2025;Uoppgitt;Prosent;12.6
5043;Røyrvik;Alle;2025;Arbeidsinnvandrere;Prosent;4.3
3122;Marker;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;3
3332;Sigdal;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;87
3338;Nore og Uvdal;Kvinner;2025;Familieinnvandrede;Personer;43
4026;Tinn;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;27
1133;Hjelmeland;Kvinner;2025;Uoppgitt;Prosent;1.8
1825;Grane;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.6
4223;Vennesla;Alle;2025;Arbeidsinnvandrere;Personer;399
