Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever;Elevgrunnlag for totalfravær;Totalfravær (%);Antall fraværsdager;Antall fraværstimer
2020/21;EL;vg2;Sande videregående skole;16;16;3,0%;0,9;24,9
2020/21;EL;vg2;Sandefjord videregående skole;29;26;2,4%;3,0;7,5
2020/21;EL;vg2;Thor Heyerdahl videregående skole;46;44;1,5%;1,3;8,1
2020/21;EL;vg3;Færder videregående skole;16;15;4,4%;3,5;24,7
2020/21;EL;vg3;Horten videregående skole;9;8;1,1%;0,8;6,6
2020/21;EL;vg3;Sandefjord videregående skole;10;6;1,6%;2,5;2,5
2020/21;FD;vg1;Horten videregående skole;30;25;2,7%;2,1;15,5
2020/21;FD;vg1;Sandefjord videregående skole;27;24;10,0%;11,9;35,4
2020/21;HS;vg1;Holmestrand videregående skole;16;15;4,9%;4,7;24,0
2020/21;HS;vg1;Horten videregående skole;79;77;2,0%;1,2;12,7
2020/21;HS;vg1;Nøtterøy videregående skole;57;51;2,3%;1,9;12,5
2020/21;HS;vg1;Re videregående skole;70;64;1,7%;2,2;5,5
2020/21;HS;vg1;Sande videregående skole;34;34;0,9%;0,9;3,9
2020/21;HS;vg1;Sandefjord videregående skole;113;96;5,6%;7,4;16,5
2020/21;HS;vg1;Thor Heyerdahl videregående skole;75;72;6,6%;9,0;17,3
2020/21;HS;vg2;Holmestrand videregående skole;13;12;7,5%;10,8;16,8
2020/21;HS;vg2;Horten videregående skole;62;60;2,0%;1,2;13,7
2020/21;HS;vg2;Nøtterøy videregående skole;59;58;1,7%;1,0;11,2
2020/21;HS;vg2;Re videregående skole;62;58;1,9%;1,8;9,6
2020/21;HS;vg2;Sande videregående skole;31;31;1,5%;0,9;10,4
2020/21;HS;vg2;Sandefjord videregående skole;108;103;5,5%;6,1;21,9
2020/21;HS;vg2;Thor Heyerdahl videregående skole;75;73;3,0%;3,6;10,7
2020/21;HS;vg3;Nøtterøy videregående skole;16;16;2,4%;3,1;7,3
2020/21;HS;vg3;Sandefjord videregående skole;24;23;8,3%;12,6;15,4
2020/21;ID;vg1;Horten videregående skole;31;31;1,6%;0,7;12,0
2020/21;ID;vg1;Re videregående skole;59;56;1,2%;0,6;8,3
2020/21;ID;vg1;Sande videregående skole;24;24;1,5%;0,7;11,0
2020/21;ID;vg1;Sandefjord videregående skole;30;29;1,9%;2,2;7,2
2020/21;ID;vg1;Thor Heyerdahl videregående skole;63;56;2,3%;1,5;14,7
2020/21;ID;vg2;Horten videregående skole;29;29;2,9%;2,0;17,3
2020/21;ID;vg2;Re videregående skole;59;58;2,2%;1,9;11,7
2020/21;ID;vg2;Sande videregående skole;20;20;3,8%;3,6;18,4
2020/21;ID;vg2;Sandefjord videregående skole;32;32;1,8%;1,1;12,6
2020/21;ID;vg2;Thor Heyerdahl videregående skole;64;64;2,3%;1,2;16,3
2020/21;ID;vg3;Horten videregående skole;28;28;2,6%;1,4;17,8
2020/21;ID;vg3;Re videregående skole;46;46;1,6%;0,8;11,2
2020/21;ID;vg3;Sande videregående skole;22;22;3,7%;2,4;24,2
2020/21;ID;vg3;Sandefjord videregående skole;29;29;2,2%;1,3;14,8
2020/21;ID;vg3;Thor Heyerdahl videregående skole;55;55;3,3%;1,4;25,5
2020/21;IM;vg1;Greveskogen videregående skole;14;14;0,6%;0,2;5,1
2020/21;IM;vg1;Horten videregående skole;15;14;0,7%;0,2;6,0
2020/21;IM;vg1;Sandefjord videregående skole;31;31;3,3%;3,8;12,6
2020/21;KD;vg1;Færder videregående skole;32;32;0,7%;0,2;6,1
2020/21;KD;vg1;Sandefjord videregående skole;27;24;7,2%;8,1;28,2
2020/21;KD;vg2;Færder videregående skole;32;32;1,4%;1,3;7,6
2020/21;KD;vg2;Sandefjord videregående skole;22;19;3,9%;4,3;15,4
2020/21;KD;vg3;Færder videregående skole;24;24;0,7%;0,9;2,1
2020/21;KD;vg3;Sandefjord videregående skole;19;19;7,6%;9,8;22,8
2020/21;MD;vg1;Greveskogen videregående skole;27;27;1,0%;0,4;7,4
2020/21;MD;vg1;Sandefjord videregående skole;39;39;2,6%;2,7;11,4
2020/21;MD;vg1;Thor Heyerdahl videregående skole;32;30;1,9%;0,7;14,6
2020/21;MD;vg2;Greveskogen videregående skole;30;29;4,5%;4,6;20,2
2020/21;MD;vg2;Sandefjord videregående skole;45;44;1,6%;0,7;11,9
2020/21;MD;vg2;Thor Heyerdahl videregående skole;21;21;3,4%;3,3;16,4
2020/21;MD;vg3;Greveskogen videregående skole;29;29;4,0%;3,7;20,0
2020/21;MD;vg3;Sandefjord videregående skole;43;41;2,2%;1,9;12,0
2020/21;MD;vg3;Thor Heyerdahl videregående skole;24;23;2,7%;0,7;22,9
2020/21;ME;vg1;Horten videregående skole;30;30;3,4%;2,6;19,1
2020/21;ME;vg1;Melsom videregående skole;14;12;1,6%;0,8;12,0
2020/21;ME;vg1;Sande videregående skole;12;12;1,8%;1,4;10,2
2020/21;ME;vg1;Thor Heyerdahl videregående skole;27;22;1,5%;0,8;10,8
2020/21;ME;vg2;Holmestrand videregående skole;8;8;1,9%;0,5;16,3
2020/21;ME;vg2;Horten videregående skole;30;30;1,4%;0,4;12,1
2020/21;ME;vg2;Melsom videregående skole;8;8;5,6%;2,1;44,0
2020/21;ME;vg2;Sande videregående skole;10;10;4,1%;5,8;9,4
2020/21;ME;vg2;Thor Heyerdahl videregående skole;32;30;4,7%;1,7;37,4
2020/21;ME;vg3;Holmestrand videregående skole;7;7;1,3%;0,1;12,1
2020/21;ME;vg3;Horten videregående skole;26;26;1,6%;0,8;11,3
2020/21;ME;vg3;Melsom videregående skole;14;14;4,0%;2,6;25,4
2020/21;ME;vg3;Sande videregående skole;16;16;5,4%;4,8;27,6
2020/21;ME;vg3;Thor Heyerdahl videregående skole;26;26;2,4%;1,3;16,3
2020/21;NA;vg1;Melsom videregående skole;53;49;2,9%;1,5;20,2
2020/21;NA;vg2;Melsom videregående skole;22;21;5,5%;5,4;26,1
2020/21;NA;vg3;Melsom videregående skole;11;11;3,8%;1,7;28,5
2020/21;PB;vg3;Færder videregående skole;179;172;2,9%;2,3;11,8
2020/21;PB;vg3;Holmestrand videregående skole;28;26;10,9%;8,8;60,6
2020/21;PB;vg3;Horten videregående skole;52;51;2,2%;0,8;17,2
2020/21;PB;vg3;Melsom videregående skole;25;24;8,9%;8,0;34,2
2020/21;PB;vg3;Nøtterøy videregående skole;15;15;2,0%;2,0;9,1
2020/21;PB;vg3;Re videregående skole;29;26;2,0%;1,7;10,8
2020/21;PB;vg3;Sande videregående skole;15;15;1,5%;1,3;8,2
2020/21;PB;vg3;Sandefjord videregående skole;77;74;3,8%;3,1;18,3
2020/21;PB;vg3;Thor Heyerdahl videregående skole;84;80;5,6%;4,2;32,6
2020/21;RM;vg1;Greveskogen videregående skole;39;35;6,6%;8,4;21,0
2020/21;RM;vg1;Holmestrand videregående skole;11;11;2,8%;3,2;10,9
2020/21;RM;vg1;Sandefjord videregående skole;28;25;6,0%;9,6;8,0
2020/21;RM;vg1;Thor Heyerdahl videregående skole;22;20;8,0%;9,2;29,9
2020/21;RM;vg2;Greveskogen videregående skole;25;25;3,1%;4,4;7,8
2020/21;RM;vg2;Holmestrand videregående skole;7;7;14,5%;16,9;53,6
2020/21;RM;vg2;Sandefjord videregående skole;13;13;12,9%;19,9;22,4
2020/21;RM;vg2;Thor Heyerdahl videregående skole;25;22;4,9%;5,8;18,0
2020/21;SR;vg1;Greveskogen videregående skole;34;32;5,5%;4,8;29,0
2020/21;SR;vg1;Horten videregående skole;19;17;5,0%;2,1;38,2
2020/21;SR;vg1;Sandefjord videregående skole;70;66;6,2%;6,9;24,8
2020/21;SR;vg1;Thor Heyerdahl videregående skole;47;45;5,3%;5,5;23,0
2020/21;SS;vg2;Greveskogen videregående skole;69;68;9,3%;7,7;50,9
2020/21;SS;vg2;Horten videregående skole;29;27;10,1%;10,8;42,4
2020/21;SS;vg2;Sandefjord videregående skole;118;116;5,7%;6,8;20,8
2020/21;SS;vg2;Thor Heyerdahl videregående skole;33;33;7,1%;4,1;48,0
2020/21;ST;vg1;Greveskogen videregående skole;174;169;1,3%;0,5;9,2
2020/21;ST;vg1;Holmestrand videregående skole;25;25;1,5%;1,0;8,0
2020/21;ST;vg1;Horten videregående skole;178;177;0,9%;0,4;5,9
2020/21;ST;vg1;Melsom videregående skole;15;13;3,3%;0,8;23,6
2020/21;ST;vg1;Nøtterøy videregående skole;130;126;1,0%;0,3;6,8
2020/21;ST;vg1;Re videregående skole;107;100;1,4%;1,0;7,1
2020/21;ST;vg1;Sande videregående skole;38;32;0,3%;0,1;2,2
2020/21;ST;vg1;Sandefjord videregående skole;287;279;2,2%;2,0;10,0
2020/21;ST;vg1;Thor Heyerdahl videregående skole;127;112;1,2%;0,6;7,4
2020/21;ST;vg2;Greveskogen videregående skole;148;146;2,5%;1,2;15,7
2020/21;ST;vg2;Holmestrand videregående skole;43;41;1,6%;0,4;11,2
2020/21;ST;vg2;Horten videregående skole;149;148;1,8%;0,6;12,7
2020/21;ST;vg2;Melsom videregående skole;5;5;3,1%;2,8;13,2
2020/21;ST;vg2;Nøtterøy videregående skole;147;144;1,8%;0,8;11,9
2020/21;ST;vg2;Re videregående skole;92;91;2,7%;1,5;16,5
2020/21;ST;vg2;Sande videregående skole;52;51;2,4%;1,6;13,6
2020/21;ST;vg2;Sandefjord videregående skole;222;217;4,0%;3,2;19,5
2020/21;ST;vg2;Thor Heyerdahl videregående skole;136;127;1,9%;0,7;13,2
2020/21;ST;vg3;Greveskogen videregående skole;187;184;6,4%;5,6;28,5
2020/21;ST;vg3;Holmestrand videregående skole;43;43;2,5%;2,8;8,3
2020/21;ST;vg3;Horten videregående skole;130;128;3,4%;2,6;16,8
2020/21;ST;vg3;Melsom videregående skole;15;15;4,4%;2,6;25,5
2020/21;ST;vg3;Nøtterøy videregående skole;107;105;2,2%;0,8;14,6
2020/21;ST;vg3;Re videregående skole;108;108;3,1%;2,6;14,3
2020/21;ST;vg3;Sande videregående skole;48;48;2,7%;1,3;17,0
2020/21;ST;vg3;Sandefjord videregående skole;288;286;3,4%;2,9;15,7
2020/21;ST;vg3;Thor Heyerdahl videregående skole;151;150;2,2%;0,8;14,6
2020/21;TP;vg1;Færder videregående skole;63;57;3,5%;3,5;15,6
2020/21;TP;vg1;Holmestrand videregående skole;15;15;4,3%;3,2;25,3
2020/21;TP;vg1;Horten videregående skole;17;14;8,7%;8,4;41,2
2020/21;TP;vg1;Sande videregående skole;15;14;2,0%;0,9;14,4
2020/21;TP;vg1;Sandefjord videregående skole;57;48;14,8%;19,1;45,2
2020/21;TP;vg1;Thor Heyerdahl videregående skole;62;54;3,2%;2,8;16,4
2020/21;TP;vg2;Færder videregående skole;94;87;2,0%;1,9;10,1
2020/21;TP;vg2;Horten videregående skole;16;16;2,5%;0,3;22,8
2020/21;TP;vg2;Sande videregående skole;12;11;6,0%;8,1;15,9
2020/21;TP;vg2;Sandefjord videregående skole;32;27;3,3%;3,4;14,0
2020/21;TP;vg2;Thor Heyerdahl videregående skole;42;38;4,5%;3,7;24,8
2019/20;BA;vg1;Færder videregående skole;76;70;4,0%;3,9;19,2
2019/20;BA;vg1;Re videregående skole;76;64;2,2%;2,8;7,1
2019/20;BA;vg1;Thor Heyerdahl videregående skole;62;57;2,5%;3,4;7,2
2019/20;BA;vg2;Færder videregående skole;54;51;3,0%;3,0;13,5
2019/20;BA;vg2;Re videregående skole;69;56;1,5%;0,7;10,6
2019/20;BA;vg2;Thor Heyerdahl videregående skole;42;41;2,3%;2,5;8,8
2019/20;DH;vg1;Færder videregående skole;17;15;8,5%;11,3;24,1
2019/20;DH;vg1;Horten videregående skole;28;24;4,8%;6,1;15,3
2019/20;DH;vg1;Sandefjord videregående skole;43;38;5,9%;7,6;18,4
2019/20;DH;vg2;Færder videregående skole;16;16;8,5%;6,3;50,3
2019/20;DH;vg2;Horten videregående skole;19;19;6,7%;7,1;29,0
2019/20;DH;vg2;Sandefjord videregående skole;24;22;3,8%;4,1;15,5
2019/20;EL;vg1;Færder videregående skole;47;42;1,5%;1,8;5,1
2019/20;EL;vg1;Horten videregående skole;32;32;2,1%;3,4;2,6
2019/20;EL;vg1;Sande videregående skole;30;30;3,8%;5,4;9,0
2019/20;EL;vg1;Sandefjord videregående skole;30;28;4,9%;7,3;10,1
2019/20;EL;vg1;Thor Heyerdahl videregående skole;48;47;1,2%;0,6;8,8
2019/20;EL;vg2;Færder videregående skole;31;24;1,3%;2,0;2,5
2019/20;EL;vg2;Horten videregående skole;40;39;2,4%;3,6;4,9
2019/20;EL;vg2;Sande videregående skole;16;16;2,6%;2,7;11,9
2019/20;EL;vg2;Sandefjord videregående skole;24;17;3,6%;5,3;7,4
2019/20;EL;vg2;Thor Heyerdahl videregående skole;43;43;1,7%;2,3;4,8
2019/20;EL;vg3;Færder videregående skole;15;13;5,7%;7,1;19,2
2019/20;EL;vg3;Horten videregående skole;10;9;1,8%;2,3;5,9
2019/20;EL;vg3;Sandefjord videregående skole;6;3;2,3%;3,7;3,0
2019/20;HS;vg1;Holmestrand videregående skole;18;17;4,7%;5,0;19,8
2019/20;HS;vg1;Horten videregående skole;76;75;3,6%;4,3;13,3
2019/20;HS;vg1;Nøtterøy videregående skole;66;65;6,1%;8,4;16,2
2019/20;HS;vg1;Re videregående skole;61;51;2,6%;3,6;7,0
2019/20;HS;vg1;Sande videregående skole;32;29;5,3%;8,4;8,1
2019/20;HS;vg1;Sandefjord videregående skole;116;106;4,9%;6,8;11,9
2019/20;HS;vg1;Thor Heyerdahl videregående skole;75;67;4,0%;5,4;10,7
2019/20;HS;vg2;Holmestrand videregående skole;13;12;6,2%;8,0;19,1
2019/20;HS;vg2;Horten videregående skole;63;58;5,4%;7,6;13,2
2019/20;HS;vg2;Nøtterøy videregående skole;62;62;7,1%;10,5;14,8
2019/20;HS;vg2;Re videregående skole;60;57;3,0%;3,8;9,7
2019/20;HS;vg2;Sande videregående skole;34;33;5,4%;7,6;12,8
2019/20;HS;vg2;Sandefjord videregående skole;115;110;5,1%;6,2;17,6
2019/20;HS;vg2;Thor Heyerdahl videregående skole;72;65;4,3%;5,9;11,5
2019/20;HS;vg3;Nøtterøy videregående skole;10;10;9,8%;14,8;18,0
2019/20;HS;vg3;Sandefjord videregående skole;11;11;11,9%;15,1;37,7
2019/20;ID;vg1;Horten videregående skole;30;30;2,4%;3,3;6,3
2019/20;ID;vg1;Re videregående skole;60;58;1,7%;2,0;6,4
2019/20;ID;vg1;Sande videregående skole;27;27;3,5%;4,1;13,1
2019/20;ID;vg1;Sandefjord videregående skole;32;32;1,3%;1,4;5,2
2019/20;ID;vg1;Thor Heyerdahl videregående skole;64;64;2,0%;1,8;10,0
2019/20;ID;vg2;Horten videregående skole;29;29;3,3%;2,6;18,7
2019/20;ID;vg2;Re videregående skole;44;42;2,6%;2,6;11,5
2019/20;ID;vg2;Sande videregående skole;22;22;3,8%;4,3;14,5
2019/20;ID;vg2;Sandefjord videregående skole;29;29;3,9%;5,0;11,9
2019/20;ID;vg2;Thor Heyerdahl videregående skole;54;54;2,8%;2,4;14,9
2019/20;ID;vg3;Horten videregående skole;25;25;4,6%;4,0;24,1
2019/20;ID;vg3;Re videregående skole;46;46;3,1%;3,6;11,8
2019/20;ID;vg3;Sande videregående skole;17;17;4,7%;6,0;15,1
2019/20;ID;vg3;Sandefjord videregående skole;31;30;2,1%;1,9;10,5
2019/20;ID;vg3;Thor Heyerdahl videregående skole;59;58;3,5%;2,7;20,3
2019/20;KD;vg1;Færder videregående skole;31;30;3,8%;4,9;12,0
2019/20;KD;vg1;Sandefjord videregående skole;28;23;5,5%;6,5;20,3
2019/20;KD;vg2;Færder videregående skole;26;25;4,4%;6,8;8,0
2019/20;KD;vg2;Sandefjord videregående skole;22;22;8,2%;9,7;29,5
2019/20;KD;vg3;Færder videregående skole;16;16;3,1%;2,4;17,8
2019/20;KD;vg3;Sandefjord videregående skole;11;11;1,9%;2,5;5,7
2019/20;MD;vg1;Greveskogen videregående skole;30;30;2,8%;3,2;10,4
2019/20;MD;vg1;Sandefjord videregående skole;49;48;1,4%;0,7;10,3
2019/20;MD;vg1;Thor Heyerdahl videregående skole;31;30;3,0%;3,5;10,7
2019/20;MD;vg2;Greveskogen videregående skole;28;28;4,1%;3,2;23,1
2019/20;MD;vg2;Sandefjord videregående skole;46;46;2,8%;2,1;16,6
2019/20;MD;vg2;Thor Heyerdahl videregående skole;23;21;4,1%;3,9;19,9
2019/20;MD;vg3;Greveskogen videregående skole;26;25;5,0%;5,5;19,7
2019/20;MD;vg3;Sandefjord videregående skole;26;25;4,2%;4,0;20,3
2019/20;MD;vg3;Thor Heyerdahl videregående skole;18;18;4,8%;6,1;14,8
2019/20;ME;vg1;Holmestrand videregående skole;9;9;4,6%;6,4;11,6
2019/20;ME;vg1;Horten videregående skole;28;27;3,4%;4,6;9,1
2019/20;ME;vg1;Melsom videregående skole;14;13;10,0%;14,5;22,2
2019/20;ME;vg1;Sande videregående skole;13;13;3,0%;2,5;16,8
2019/20;ME;vg1;Thor Heyerdahl videregående skole;30;27;3,1%;3,5;12,1
2019/20;ME;vg2;Holmestrand videregående skole;7;7;3,1%;4,1;8,3
2019/20;ME;vg2;Horten videregående skole;30;29;3,5%;4,3;11,6
2019/20;ME;vg2;Melsom videregående skole;16;15;5,8%;7,8;16,1
2019/20;ME;vg2;Sande videregående skole;15;15;5,9%;7,3;19,1
2019/20;ME;vg2;Thor Heyerdahl videregående skole;33;29;3,2%;2,6;17,7
2019/20;ME;vg3;Holmestrand videregående skole;13;1;0,5%;0,0;5,0
2019/20;ME;vg3;Horten videregående skole;26;25;4,8%;5,2;19,6
2019/20;ME;vg3;Melsom videregående skole;15;14;9,2%;12,8;23,2
2019/20;ME;vg3;Sande videregående skole;20;20;10,2%;15,5;19,4
2019/20;ME;vg3;Thor Heyerdahl videregående skole;26;23;4,8%;4,3;24,7
2019/20;NA;vg1;Melsom videregående skole;31;30;7,1%;8,7;24,0
2019/20;NA;vg2;Melsom videregående skole;27;26;5,6%;6,5;21,2
2019/20;NA;vg3;Melsom videregående skole;25;24;3,7%;4,2;14,5
2019/20;PB;vg3;Færder videregående skole;160;146;5,5%;5,7;13,5
2019/20;PB;vg3;Greveskogen videregående skole;10;10;5,2%;4,1;11,9
2019/20;PB;vg3;Holmestrand videregående skole;20;19;9,1%;11,2;30,5
2019/20;PB;vg3;Horten videregående skole;43;41;8,6%;12,4;19,1
2019/20;PB;vg3;Nøtterøy videregående skole;15;15;3,8%;3,9;16,6
2019/20;PB;vg3;Re videregående skole;35;32;4,1%;5,8;9,5
2019/20;PB;vg3;Sande videregående skole;28;28;6,2%;6,3;24,7
2019/20;PB;vg3;Sandefjord videregående skole;72;70;4,7%;5,5;11,5
2019/20;PB;vg3;Thor Heyerdahl videregående skole;67;60;4,6%;4,6;21,5
2019/20;RM;vg1;Greveskogen videregående skole;25;20;4,5%;6,2;12,0
2019/20;RM;vg1;Holmestrand videregående skole;10;8;6,3%;9,3;13,5
2019/20;RM;vg1;Sandefjord videregående skole;23;18;6,3%;7,6;22,0
2019/20;RM;vg1;Thor Heyerdahl videregående skole;20;17;4,8%;6,4;13,8
2019/20;RM;vg2;Greveskogen videregående skole;23;22;5,7%;8,3;12,0
2019/20;RM;vg2;Holmestrand videregående skole;4;4;2,2%;0,0;22,0
2019/20;RM;vg2;Sandefjord videregående skole;23;20;6,3%;10,1;9,3
2019/20;RM;vg2;Thor Heyerdahl videregående skole;12;12;2,7%;3,9;6,3
2019/20;SS;vg1;Greveskogen videregående skole;72;69;11,3%;12,2;46,6
2019/20;SS;vg1;Horten videregående skole;29;27;6,1%;6,6;25,4
2019/20;SS;vg1;Sandefjord videregående skole;98;96;5,3%;6,3;18,3
2019/20;SS;vg1;Thor Heyerdahl videregående skole;35;33;7,3%;9,6;20,8
2019/20;SS;vg2;Greveskogen videregående skole;61;56;10,1%;6,9;62,8
2019/20;SS;vg2;Horten videregående skole;30;27;4,0%;5,0;12,7
2019/20;SS;vg2;Sandefjord videregående skole;96;86;6,6%;8,7;19,0
2019/20;SS;vg2;Thor Heyerdahl videregående skole;43;40;4,5%;6,7;9,4
2019/20;ST;vg1;Greveskogen videregående skole;146;130;2,4%;2,4;9,4
2019/20;ST;vg1;Holmestrand videregående skole;45;44;3,9%;5,1;9,5
2019/20;ST;vg1;Horten videregående skole;150;149;2,1%;3,2;3,3
2019/20;ST;vg1;Melsom videregående skole;12;11;2,7%;3,4;7,2
2019/20;ST;vg1;Nøtterøy videregående skole;149;143;3,3%;3,9;10,3
2019/20;ST;vg1;Re videregående skole;92;84;2,3%;2,7;7,7
2019/20;ST;vg1;Sande videregående skole;49;47;2,0%;2,8;4,4
2019/20;ST;vg1;Sandefjord videregående skole;245;241;3,2%;4,0;9,1
2019/20;ST;vg1;Thor Heyerdahl videregående skole;123;120;1,0%;1,0;3,7
2019/20;ST;vg2;Greveskogen videregående skole;179;168;6,0%;5,9;23,6
2019/20;ST;vg2;Holmestrand videregående skole;42;40;2,1%;2,6;6,1
2019/20;ST;vg2;Horten videregående skole;132;130;3,9%;5,0;10,1
2019/20;ST;vg2;Melsom videregående skole;17;17;4,4%;3,4;22,4
2019/20;ST;vg2;Nøtterøy videregående skole;90;86;3,5%;3,8;12,7
2019/20;ST;vg2;Re videregående skole;124;123;3,5%;3,1;15,1
2019/20;ST;vg2;Sande videregående skole;51;50;4,5%;5,4;13,7
2019/20;ST;vg2;Sandefjord videregående skole;285;283;4,9%;5,6;16,0
2019/20;ST;vg2;Thor Heyerdahl videregående skole;154;147;2,4%;1,8;12,6
2019/20;ST;vg3;Greveskogen videregående skole;224;222;6,1%;6,0;24,2
2019/20;ST;vg3;Holmestrand videregående skole;27;26;2,1%;2,6;5,7
2019/20;ST;vg3;Horten videregående skole;159;157;3,6%;3,5;14,3
2019/20;ST;vg3;Melsom videregående skole;8;7;9,2%;9,1;36,7
2019/20;ST;vg3;Nøtterøy videregående skole;115;113;5,2%;4,7;23,2
2019/20;ST;vg3;Re videregående skole;97;95;5,7%;7,3;15,1
2019/20;ST;vg3;Sande videregående skole;44;44;3,1%;3,5;10,5
2019/20;ST;vg3;Sandefjord videregående skole;301;295;5,0%;5,5;17,2
2019/20;ST;vg3;Thor Heyerdahl videregående skole;168;167;3,6%;3,3;15,8
2019/20;TP;vg1;Færder videregående skole;67;59;2,1%;2,3;8,5
2019/20;TP;vg1;Holmestrand videregående skole;15;15;4,2%;4,4;18,5
2019/20;TP;vg1;Horten videregående skole;29;27;3,1%;4,6;6,6
2019/20;TP;vg1;Sande videregående skole;14;14;3,4%;4,7;8,4
2019/20;TP;vg1;Sandefjord videregående skole;56;50;7,8%;10,8;19,7
2019/20;TP;vg1;Thor Heyerdahl videregående skole;64;57;3,3%;3,3;15,1
2019/20;TP;vg2;Færder videregående skole;87;81;3,3%;3,9;11,7
2019/20;TP;vg2;Sande videregående skole;11;11;7,0%;12,1;4,8
2019/20;TP;vg2;Sandefjord videregående skole;29;25;3,3%;3,4;14,8
2019/20;TP;vg2;Thor Heyerdahl videregående skole;39;38;2,0%;1,9;9,1
2018/19;BA;vg1;Færder videregående skole;65;64;3,2%;3,6;12,3
2018/19;BA;vg1;Re videregående skole;62;55;3,4%;4,9;7,7
2018/19;BA;vg1;Thor Heyerdahl videregående skole;64;62;5,2%;6,5;17,3
2018/19;BA;vg2;Færder videregående skole;47;46;3,5%;5,0;8,0
2018/19;BA;vg2;Re videregående skole;58;52;3,7%;2,9;21,6
2018/19;BA;vg2;Thor Heyerdahl videregående skole;36;36;2,2%;0,8;17,8
2018/19;DH;vg1;Færder videregående skole;24;22;7,0%;7,8;28,1
2018/19;DH;vg1;Horten videregående skole;26;21;7,4%;8,5;27,6
2018/19;DH;vg1;Sandefjord videregående skole;36;33;8,1%;9,6;29,2
2018/19;DH;vg2;Horten videregående skole;29;27;8,0%;12,7;11,9
2018/19;DH;vg2;Sandefjord videregående skole;24;21;6,6%;6,2;32,1
2018/19;DH;vg3;Færder videregående skole;11;10;5,4%;8,5;8,5
2018/19;EL;vg1;Færder videregående skole;47;45;2,2%;2,5;8,7
2018/19;EL;vg1;Horten videregående skole;31;29;5,2%;7,2;12,8
2018/19;EL;vg1;Sande videregående skole;30;30;7,4%;11,3;13,3
2018/19;EL;vg1;Sandefjord videregående skole;28;28;3,9%;5,1;11,6
2018/19;EL;vg1;Thor Heyerdahl videregående skole;46;43;1,4%;1,3;7,3
2018/19;EL;vg2;Færder videregående skole;48;48;2,6%;3,2;8,3
2018/19;EL;vg2;Horten videregående skole;40;39;2,8%;3,7;7,6
2018/19;EL;vg2;Sande videregående skole;16;16;6,8%;7,4;28,4
2018/19;EL;vg2;Sandefjord videregående skole;24;22;2,6%;2,7;11,5
2018/19;EL;vg2;Thor Heyerdahl videregående skole;45;44;2,1%;2,3;9,1
2018/19;EL;vg3;Færder videregående skole;17;16;2,9%;3,6;10,1
2018/19;EL;vg3;Horten videregående skole;19;16;5,4%;8,9;6,1
2018/19;EL;vg3;Sandefjord videregående skole;7;7;0,4%;0,6;1,1
2018/19;HS;vg1;Holmestrand videregående skole;18;18;10,9%;13,0;38,9
2018/19;HS;vg1;Horten videregående skole;80;72;7,8%;11,3;17,1
2018/19;HS;vg1;Nøtterøy videregående skole;62;58;6,8%;9,7;15,7
2018/19;HS;vg1;Re videregående skole;60;57;5,4%;7,0;16,7
2018/19;HS;vg1;Sande videregående skole;37;37;8,8%;12,2;22,6
2018/19;HS;vg1;Sandefjord videregående skole;113;109;5,0%;5,4;20,3
2018/19;HS;vg1;Thor Heyerdahl videregående skole;81;75;4,9%;6,5;14,1
2018/19;HS;vg2;Holmestrand videregående skole;10;10;8,1%;12,4;14,1
2018/19;HS;vg2;Horten videregående skole;50;48;9,4%;12,5;26,4
2018/19;HS;vg2;Nøtterøy videregående skole;62;62;6,1%;7,1;22,3
2018/19;HS;vg2;Re videregående skole;62;60;4,5%;5,6;15,0
2018/19;HS;vg2;Sande videregående skole;27;27;9,5%;13,2;24,0
2018/19;HS;vg2;Sandefjord videregående skole;102;97;7,9%;10,1;24,7
2018/19;HS;vg2;Thor Heyerdahl videregående skole;74;72;3,7%;4,9;10,5
2018/19;HS;vg3;Nøtterøy videregående skole;6;6;12,4%;19,7;18,3
2018/19;HS;vg3;Sandefjord videregående skole;22;22;17,5%;26,1;34,1
2018/19;ID;vg1;Horten videregående skole;28;28;2,4%;2,1;13,0
2018/19;ID;vg1;Re videregående skole;58;53;3,3%;3,9;12,5
2018/19;ID;vg1;Sande videregående skole;24;24;4,7%;5,2;18,8
2018/19;ID;vg1;Sandefjord videregående skole;33;33;3,0%;3,8;9,4
2018/19;ID;vg1;Thor Heyerdahl videregående skole;60;58;3,3%;2,6;19,2
2018/19;ID;vg2;Horten videregående skole;26;24;4,7%;3,9;26,0
2018/19;ID;vg2;Re videregående skole;48;48;5,9%;7,1;20,3
2018/19;ID;vg2;Sande videregående skole;18;18;8,8%;10,7;30,4
2018/19;ID;vg2;Sandefjord videregående skole;31;31;4,4%;5,1;16,1
2018/19;ID;vg2;Thor Heyerdahl videregående skole;56;56;4,5%;4,3;21,8
2018/19;ID;vg3;Horten videregående skole;19;19;8,0%;9,2;30,4
2018/19;ID;vg3;Re videregående skole;49;47;2,9%;3,1;12,1
2018/19;ID;vg3;Sande videregående skole;27;27;9,4%;9,0;45,0
2018/19;ID;vg3;Sandefjord videregående skole;33;32;5,8%;6,3;23,8
2018/19;ID;vg3;Thor Heyerdahl videregående skole;61;61;3,8%;4,0;16,4
2018/19;KD;vg1;Færder videregående skole;30;29;4,8%;5,8;16,8
