Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever 2023/24;Elevgrunnlag for totalfravær 2023/24;Totalfravær (%) i 2023/24;Antall fraværsdager i 2023/24;Antall fraværtimer i 2023/24
2023/24;ID;vg2;Sande videregående skole;21;21;9,00 %;8,5;43,9
2023/24;ID;vg2;Sandefjord videregående skole;30;30;7,60 %;7,5;35,7
2023/24;ID;vg2;Thor Heyerdahl videregående skole;60;60;6,30 %;5,9;30,9
2023/24;ID;vg3;Vestfold;194;190;5,30 %;5;25,3
2023/24;ID;vg3;Horten videregående skole;31;30;5,20 %;5,3;23,3
2023/24;ID;vg3;Re videregående skole;58;57;5,10 %;5,1;23
2023/24;ID;vg3;Sande videregående skole;19;18;8,00 %;10,5;23,4
2023/24;ID;vg3;Sandefjord videregående skole;31;31;3,30 %;3,9;11,7
2023/24;ID;vg3;Thor Heyerdahl videregående skole;55;54;5,70 %;3,5;37,4
2023/24;IM;Totalt;Vestfold;154;150;6,30 %;6,7;26,3
2023/24;IM;vg1;Vestfold;78;75;5,50 %;6,2;21,2
2023/24;IM;vg1;Greveskogen videregående skole;31;30;6,40 %;9,5;13,3
2023/24;IM;vg1;Horten videregående skole;15;13;4,20 %;5;14,5
2023/24;IM;vg1;Sandefjord videregående skole;32;32;5,10 %;3,5;31,3
2023/24;IM;vg2;Vestfold;76;75;7,00 %;7,2;31,4
2023/24;IM;vg2;Greveskogen videregående skole;32;32;7,10 %;4,3;47,5
2023/24;IM;vg2;Horten videregående skole;16;16;8,40 %;12,4;17,1
2023/24;IM;vg2;Sandefjord videregående skole;28;27;6,20 %;7,6;20,9
2023/24;KD;Totalt;Vestfold;193;184;9,40 %;11,1;33,7
2023/24;KD;vg1;Vestfold;61;56;8,50 %;11,3;24,3
2023/24;KD;vg1;Færder videregående skole;32;30;5,50 %;7,1;17
2023/24;KD;vg1;Sandefjord videregående skole;29;26;12,00 %;16,2;32,7
2023/24;KD;vg2;Vestfold;72;68;8,20 %;8,2;37,6
2023/24;KD;vg2;Færder videregående skole;47;45;8,00 %;10,1;25,2
2023/24;KD;vg2;Sandefjord videregående skole;25;23;8,70 %;4,5;61,7
2023/24;KD;vg3;Vestfold;60;60;11,50 %;14,3;38
2023/24;KD;vg3;Færder videregående skole;31;31;9,20 %;11,7;28,7
2023/24;KD;vg3;Sandefjord videregående skole;29;29;14,00 %;17,1;47,8
2023/24;MD;Totalt;Vestfold;269;259;7,60 %;6,9;38,1
2023/24;MD;vg1;Vestfold;95;87;5,90 %;5,3;30,4
2023/24;MD;vg1;Greveskogen videregående skole;28;23;7,50 %;7,3;35,3
2023/24;MD;vg1;Sandefjord videregående skole;40;38;4,50 %;3,7;24,1
2023/24;MD;vg1;Thor Heyerdahl videregående skole;27;26;6,70 %;5,8;35,3
2023/24;MD;vg2;Vestfold;87;85;8,20 %;7,5;41,4
2023/24;MD;vg2;Greveskogen videregående skole;20;19;11,60 %;11,4;54,2
2023/24;MD;vg2;Sandefjord videregående skole;43;42;6,20 %;4,1;39
2023/24;MD;vg2;Thor Heyerdahl videregående skole;24;24;9,10 %;10,2;35,3
2023/24;MD;vg3;Vestfold;87;87;8,50 %;7,8;42,7
2023/24;MD;vg3;Greveskogen videregående skole;27;27;12,40 %;15,1;42,1
2023/24;MD;vg3;Sandefjord videregående skole;42;42;7,70 %;4,7;51,1
2023/24;MD;vg3;Thor Heyerdahl videregående skole;18;18;4,60 %;4;24,1
2023/24;ME;Totalt;Vestfold;174;167;9,00 %;11,2;29,4
2023/24;ME;vg1;Vestfold;66;63;8,30 %;9,5;31,5
2023/24;ME;vg1;Horten videregående skole;28;27;6,40 %;7,5;23,7
2023/24;ME;vg1;Melsom videregående skole;13;12;14,10 %;22,3;21,4
2023/24;ME;vg1;Thor Heyerdahl videregående skole;25;24;7,40 %;5,2;45,3
2023/24;ME;vg2;Vestfold;51;48;7,40 %;9,5;22,9
