Skoleår;Utdanningsprogram;Nivå;Skole;B;H;I;M;S
2023/24;KD;vg 2;Sandefjord videregående skole;14;3;4;2;2
2023/24;KD;vg 3;Vestfold;46;3;5;6;0
2023/24;KD;vg 3;Færder videregående skole;24;1;3;3;0
2023/24;KD;vg 3;Sandefjord videregående skole;22;2;2;3;0
2023/24;MD;vg 1;Vestfold;75;5;1;6;8
2023/24;MD;vg 1;Greveskogen videregående skole;19;1;1;2;5
2023/24;MD;vg 1;Sandefjord videregående skole;35;1;0;2;2
2023/24;MD;vg 1;Thor Heyerdahl videregående skole;21;3;0;2;1
2023/24;MD;vg 2;Vestfold;67;6;8;4;2
2023/24;MD;vg 2;Greveskogen videregående skole;16;0;2;1;1
2023/24;MD;vg 2;Sandefjord videregående skole;32;6;3;1;1
2023/24;MD;vg 2;Thor Heyerdahl videregående skole;19;0;3;2;0
2023/24;MD;vg 3;Vestfold;74;6;0;7;0
2023/24;MD;vg 3;Greveskogen videregående skole;21;2;0;4;0
2023/24;MD;vg 3;Sandefjord videregående skole;35;4;0;3;0
2023/24;MD;vg 3;Thor Heyerdahl videregående skole;18;0;0;0;0
2023/24;ME;vg 1;Vestfold;50;9;1;3;3
2023/24;ME;vg 1;Horten videregående skole;23;4;0;0;1
2023/24;ME;vg 1;Melsom videregående skole;9;1;1;1;1
2023/24;ME;vg 1;Thor Heyerdahl videregående skole;18;4;0;2;1
2023/24;ME;vg 2;Vestfold;32;0;14;2;3
2023/24;ME;vg 2;Horten videregående skole;14;0;8;1;2
2023/24;ME;vg 2;Melsom videregående skole;4;0;0;0;0
2023/24;ME;vg 2;Thor Heyerdahl videregående skole;14;0;6;1;1
2023/24;ME;vg 3;Vestfold;47;2;5;2;1
2023/24;ME;vg 3;Horten videregående skole;20;0;3;0;0
2023/24;ME;vg 3;Melsom videregående skole;6;1;0;1;1
2023/24;ME;vg 3;Sande videregående skole;6;0;1;0;0
2023/24;ME;vg 3;Thor Heyerdahl videregående skole;15;1;1;1;0
2023/24;NA;vg 1;Vestfold;35;3;2;1;1
2023/24;NA;vg 1;Melsom videregående skole;35;3;2;1;1
2023/24;NA;vg 2;Vestfold;28;1;1;3;0
2023/24;NA;vg 2;Melsom videregående skole;28;1;1;3;0
2023/24;NA;vg 3;Vestfold;2;0;0;0;0
2023/24;NA;vg 3;Melsom videregående skole;2;0;0;0;0
2023/24;PB;vg 3;Vestfold;352;14;53;29;20
2023/24;PB;vg 3;Færder videregående skole;101;3;14;4;9
2023/24;PB;vg 3;Holmestrand videregående skole;18;1;15;2;2
2023/24;PB;vg 3;Horten videregående skole;45;3;5;4;0
2023/24;PB;vg 3;Melsom videregående skole;20;0;4;2;2
2023/24;PB;vg 3;Nøtterøy videregående skole;12;0;0;2;0
2023/24;PB;vg 3;Re videregående skole;29;1;0;0;1
2023/24;PB;vg 3;Sande videregående skole;23;1;2;1;0
2023/24;PB;vg 3;Sandefjord videregående skole;65;2;4;4;3
2023/24;PB;vg 3;Thor Heyerdahl videregående skole;39;3;9;10;3
2023/24;RM;vg 1;Vestfold;52;5;3;14;11
2023/24;RM;vg 1;Greveskogen videregående skole;29;2;2;3;2
2023/24;RM;vg 1;Holmestrand videregående skole;6;0;0;3;3
2023/24;RM;vg 1;Sandefjord videregående skole;11;1;1;3;1
2023/24;RM;vg 1;Thor Heyerdahl videregående skole;6;2;0;5;5
2023/24;RM;vg 2;Vestfold;38;0;4;8;4
2023/24;RM;vg 2;Greveskogen videregående skole;16;0;1;6;3
2023/24;RM;vg 2;Sandefjord videregående skole;12;0;2;1;0
2023/24;RM;vg 2;Thor Heyerdahl videregående skole;10;0;1;1;1
2023/24;SR;vg 1;Vestfold;157;6;6;15;17
2023/24;SR;vg 1;Greveskogen videregående skole;32;1;2;4;8
2023/24;SR;vg 1;Horten videregående skole;14;0;0;3;2
2023/24;SR;vg 1;Sandefjord videregående skole;72;4;3;4;6
2023/24;SR;vg 1;Thor Heyerdahl videregående skole;39;1;1;4;1
2023/24;SR;vg 2;Vestfold;125;1;4;15;4
2023/24;SR;vg 2;Greveskogen videregående skole;26;1;0;2;0
2023/24;SR;vg 2;Horten videregående skole;12;0;0;5;0
2023/24;SR;vg 2;Sandefjord videregående skole;52;0;3;5;2
2023/24;SR;vg 2;Thor Heyerdahl videregående skole;35;0;1;3;2
2023/24;ST;vg 1;Vestfold;941;29;57;34;17
2023/24;ST;vg 1;Greveskogen videregående skole;171;9;13;4;0
2023/24;ST;vg 1;Holmestrand videregående skole;30;3;2;2;2
2023/24;ST;vg 1;Horten videregående skole;143;2;3;1;1
2023/24;ST;vg 1;Melsom videregående skole;15;0;0;1;0
2023/24;ST;vg 1;Nøtterøy videregående skole;120;3;15;6;4
2023/24;ST;vg 1;Re videregående skole;75;3;4;4;2
2023/24;ST;vg 1;Sande videregående skole;48;1;2;5;1
2023/24;ST;vg 1;Sandefjord videregående skole;194;7;16;5;5
2023/24;ST;vg 1;Thor Heyerdahl videregående skole;145;1;2;6;2
2023/24;ST;vg 2;Vestfold;827;24;122;94;13
2023/24;ST;vg 2;Færder videregående skole;0;1;0;0;0
2023/24;ST;vg 2;Greveskogen videregående skole;141;8;24;9;1
2023/24;ST;vg 2;Holmestrand videregående skole;16;1;4;8;1
2023/24;ST;vg 2;Horten videregående skole;113;3;9;20;1
2023/24;ST;vg 2;Melsom videregående skole;8;1;1;1;0
