ProgramomraadeNivaa;Kontraktstype;Fylke;Utdanningsprogramvariantkode;Programomraadekode;UtdanningsprogramvariantNavn;ProgramomraadeNavn;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
2;Fagbrev på jobb;Vestfold og Telemark;SR;SR;Salg, service og reiseliv;Alle programområder;;;;;;;;;1;
2;Fagbrev på jobb;Vestfold og Telemark;SS;SS;Service og samferdsel;Alle programområder;;;;;;;9;8;1;
2;Fagbrev på jobb;Vestfold og Telemark;TP;TP;Teknologi- og industrifag;Alle programområder;;;;;;;5;7;9;
2;Opplæringskontrakt;Vestfold og Telemark;BA;BA;Bygg- og anleggsteknikk;Alle programområder;;;;;;;;;51;
2;Opplæringskontrakt;Vestfold og Telemark;DH;DH;Design og håndverk;Alle programområder;;;;;;;;;7;
2;Opplæringskontrakt;Vestfold og Telemark;EL;EL;Elektro og datateknologi;Alle programområder;;;;;;;;;2;
2;Opplæringskontrakt;Vestfold og Telemark;HS;HS;Helse- og oppvekstfag;Alle programområder;;;;;;;;;11;
2;Opplæringskontrakt;Vestfold og Telemark;DT;DT;Håndverk, design og produktutvikling;Alle programområder;;;;;;;;;2;
2;Opplæringskontrakt;Vestfold og Telemark;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;;;;;;;;;7;
2;Opplæringskontrakt;Vestfold og Telemark;NA;NA;Naturbruk;Alle programområder;;;;;;;;;12;
2;Opplæringskontrakt;Vestfold og Telemark;RM;RM;Restaurant- og matfag;Alle programområder;;;;;;;;;30;
2;Opplæringskontrakt;Vestfold og Telemark;SR;SR;Salg, service og reiseliv;Alle programområder;;;;;;;;;3;
2;Opplæringskontrakt;Vestfold og Telemark;SS;SS;Service og samferdsel;Alle programområder;;;;;;;;;22;
2;Opplæringskontrakt;Vestfold og Telemark;TP;TP;Teknologi- og industrifag;Alle programområder;;;;;;;;;37;
