Skoleår;Utdanningsprogram;Nivå;Skole;B;H;I;M;S
2022/23;Alle utdanningsprogram;Totalt;Vestfold;6 725;216;297;365;252
2022/23;BA;Totalt;Vestfold;308;13;19;28;33
2022/23;BA;vg 1;Vestfold;168;7;14;20;24
2022/23;BA;vg 1;Færder videregående skole;53;2;5;12;4
2022/23;BA;vg 1;Re videregående skole;68;1;1;1;4
2022/23;BA;vg 1;Thor Heyerdahl videregående skole;47;4;8;7;16
2022/23;BA;vg 2;Vestfold;140;5;5;8;9
2022/23;BA;vg 2;Færder videregående skole;42;1;4;2;5
2022/23;BA;vg 2;Re videregående skole;57;3;1;3;2
2022/23;BA;vg 2;Thor Heyerdahl videregående skole;41;1;0;3;2
2022/23;BA;vg 3;Vestfold;0;1;0;0;0
2022/23;BA;vg 3;Vestfold fylkeskommune Privatisteksamen;0;1;0;0;0
2022/23;EL;Totalt;Vestfold;362;7;11;3;9
2022/23;EL;vg 1;Vestfold;192;4;2;2;4
2022/23;EL;vg 1;Færder videregående skole;59;2;0;1;2
2022/23;EL;vg 1;Horten videregående skole;29;1;1;1;1
2022/23;EL;vg 1;Sande videregående skole;27;0;0;0;1
2022/23;EL;vg 1;Sandefjord videregående skole;29;1;1;0;0
2022/23;EL;vg 1;Thor Heyerdahl videregående skole;48;0;0;0;0
2022/23;EL;vg 2;Vestfold;138;3;7;0;4
2022/23;EL;vg 2;Færder videregående skole;32;0;0;0;0
2022/23;EL;vg 2;Horten videregående skole;26;2;0;0;3
2022/23;EL;vg 2;Sande videregående skole;13;0;1;0;0
2022/23;EL;vg 2;Sandefjord videregående skole;21;0;5;0;1
2022/23;EL;vg 2;Thor Heyerdahl videregående skole;46;1;1;0;0
2022/23;EL;vg 3;Vestfold;32;0;2;1;1
2022/23;EL;vg 3;Færder videregående skole;17;0;0;0;0
2022/23;EL;vg 3;Horten videregående skole;8;0;1;0;0
2022/23;EL;vg 3;Sandefjord videregående skole;7;0;1;1;1
2022/23;FD;Totalt;Vestfold;96;10;4;13;17
2022/23;FD;vg 1;Vestfold;42;4;4;7;11
2022/23;FD;vg 1;Horten videregående skole;14;2;1;3;5
2022/23;FD;vg 1;Sandefjord videregående skole;28;2;3;4;6
2022/23;FD;vg 2;Vestfold;46;6;0;5;6
2022/23;FD;vg 2;Horten videregående skole;10;1;0;1;0
2022/23;FD;vg 2;Sandefjord videregående skole;36;5;0;4;6
2022/23;FD;vg 3;Vestfold;8;0;0;1;0
2022/23;FD;vg 3;Sandefjord videregående skole;8;0;0;1;0
2022/23;HS;Totalt;Vestfold;693;27;39;39;43
2022/23;HS;vg 1;Vestfold;322;14;24;22;23
2022/23;HS;vg 1;Holmestrand videregående skole;20;0;1;0;1
2022/23;HS;vg 1;Horten videregående skole;55;8;3;4;2
2022/23;HS;vg 1;Nøtterøy videregående skole;34;0;4;6;2
2022/23;HS;vg 1;Re videregående skole;68;2;1;1;3
2022/23;HS;vg 1;Sande videregående skole;20;2;2;3;4
2022/23;HS;vg 1;Sandefjord videregående skole;71;1;8;7;8
2022/23;HS;vg 1;Thor Heyerdahl videregående skole;54;1;5;1;3
2022/23;HS;vg 2;Vestfold;341;13;13;15;17
2022/23;HS;vg 2;Holmestrand videregående skole;10;0;0;2;2
2022/23;HS;vg 2;Horten videregående skole;56;3;1;1;2
2022/23;HS;vg 2;Nøtterøy videregående skole;47;0;5;3;3
2022/23;HS;vg 2;Re videregående skole;51;5;1;1;2
2022/23;HS;vg 2;Sande videregående skole;46;0;2;0;0
2022/23;HS;vg 2;Sandefjord videregående skole;82;3;3;8;3
2022/23;HS;vg 2;Thor Heyerdahl videregående skole;49;2;1;0;5
2022/23;HS;vg 3;Vestfold;30;0;2;2;3
2022/23;HS;vg 3;Nøtterøy videregående skole;11;0;0;1;2
2022/23;HS;vg 3;Sandefjord videregående skole;19;0;2;1;1
2022/23;ID;Totalt;Vestfold;561;6;15;14;2
2022/23;ID;vg 1;Vestfold;199;2;3;1;1
2022/23;ID;vg 1;Horten videregående skole;30;0;0;0;0
2022/23;ID;vg 1;Re videregående skole;58;0;1;0;0
2022/23;ID;vg 1;Sande videregående skole;21;0;1;0;0
2022/23;ID;vg 1;Sandefjord videregående skole;29;1;1;1;0
2022/23;ID;vg 1;Thor Heyerdahl videregående skole;61;1;0;0;1
2022/23;ID;vg 2;Vestfold;182;2;5;4;0
2022/23;ID;vg 2;Horten videregående skole;27;1;0;3;0
2022/23;ID;vg 2;Re videregående skole;55;1;1;0;0
2022/23;ID;vg 2;Sande videregående skole;17;0;0;1;0
2022/23;ID;vg 2;Sandefjord videregående skole;31;0;0;0;0
2022/23;ID;vg 2;Thor Heyerdahl videregående skole;52;0;4;0;0
2022/23;ID;vg 3;Vestfold;180;2;7;9;1
2022/23;ID;vg 3;Horten videregående skole;25;1;0;3;0
2022/23;ID;vg 3;Re videregående skole;55;0;0;2;1
2022/23;ID;vg 3;Sande videregående skole;16;0;3;4;0
2022/23;ID;vg 3;Sandefjord videregående skole;27;0;0;0;0
2022/23;ID;vg 3;Thor Heyerdahl videregående skole;57;1;4;0;0
2022/23;IM;Totalt;Vestfold;125;3;2;9;4
2022/23;IM;vg 1;Vestfold;69;3;1;5;2
2022/23;IM;vg 1;Greveskogen videregående skole;29;0;0;0;1
2022/23;IM;vg 1;Horten videregående skole;12;2;0;3;0
2022/23;IM;vg 1;Sandefjord videregående skole;28;1;1;2;1
2022/23;IM;vg 2;Vestfold;56;0;1;4;2
2022/23;IM;vg 2;Greveskogen videregående skole;16;0;0;0;1
2022/23;IM;vg 2;Horten videregående skole;14;0;0;2;0
2022/23;IM;vg 2;Sandefjord videregående skole;26;0;1;2;1
2022/23;KD;Totalt;Vestfold;134;22;13;11;1
2022/23;KD;vg 1;Vestfold;61;9;7;6;0
2022/23;KD;vg 1;Færder videregående skole;41;4;4;3;0
2022/23;KD;vg 1;Sandefjord videregående skole;20;5;3;3;0
2022/23;KD;vg 2;Vestfold;37;9;3;4;0
2022/23;KD;vg 2;Færder videregående skole;21;8;1;1;0
2022/23;KD;vg 2;Sandefjord videregående skole;16;1;2;3;0
2022/23;KD;vg 3;Vestfold;36;4;3;1;1
2022/23;KD;vg 3;Færder videregående skole;22;1;3;0;1
2022/23;KD;vg 3;Sandefjord videregående skole;14;3;0;1;0
2022/23;MD;Totalt;Vestfold;239;10;4;10;2
2022/23;MD;vg 1;Vestfold;84;3;2;6;0
2022/23;MD;vg 1;Greveskogen videregående skole;21;0;0;0;0
2022/23;MD;vg 1;Sandefjord videregående skole;41;3;0;2;0
2022/23;MD;vg 1;Thor Heyerdahl videregående skole;22;0;2;4;0
2022/23;MD;vg 2;Vestfold;75;3;2;2;1
2022/23;MD;vg 2;Greveskogen videregående skole;21;1;1;1;0
2022/23;MD;vg 2;Sandefjord videregående skole;37;2;1;1;1
2022/23;MD;vg 2;Thor Heyerdahl videregående skole;17;0;0;0;0
2022/23;MD;vg 3;Vestfold;80;4;0;2;1
2022/23;MD;vg 3;Greveskogen videregående skole;27;0;0;2;0
2022/23;MD;vg 3;Sandefjord videregående skole;31;2;0;0;1
2022/23;MD;vg 3;Thor Heyerdahl videregående skole;22;2;0;0;0
2022/23;ME;Totalt;Vestfold;157;3;12;12;9
2022/23;ME;vg 1;Vestfold;42;1;5;9;6
2022/23;ME;vg 1;Horten videregående skole;15;0;5;7;4
2022/23;ME;vg 1;Melsom videregående skole;4;0;0;1;1
2022/23;ME;vg 1;Thor Heyerdahl videregående skole;23;1;0;1;1
2022/23;ME;vg 2;Vestfold;49;1;5;1;3
2022/23;ME;vg 2;Horten videregående skole;20;1;2;0;0
2022/23;ME;vg 2;Melsom videregående skole;7;0;1;0;0
