Karaktertype;Skoleår;EnhetNivaa;Vurderingsfagkode;Vurderingsfagnavn;Fylke;EnhetNavn;Karakterer;Antall elever
Standpunkt;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Horten videregående skole;4,2;169
Standpunkt;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Melsom videregående skole;4,2;44
Standpunkt;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Nøtterøy videregående skole;3,7;42
Standpunkt;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Re videregående skole;4,4;145
Standpunkt;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Sande videregående skole;3,3;94
Standpunkt;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Sandefjord videregående skole;3,9;309
Standpunkt;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Thor Heyerdahl videregående skole;4;289
Standpunkt;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Færder videregående skole;4;21
Standpunkt;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Greveskogen videregående skole;3,3;145
Standpunkt;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Holmestrand videregående skole;3,2;26
Standpunkt;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Horten videregående skole;3,4;117
Standpunkt;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Melsom videregående skole;3,3;19
Standpunkt;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Nøtterøy videregående skole;3,1;97
Standpunkt;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Re videregående skole;3,7;96
Standpunkt;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Sande videregående skole;3,2;44
Standpunkt;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Sandefjord videregående skole;3,4;212
