Skoleår;Fylke;Kommune;Grunnskole;Antall elever med gsp>0;Grunnskolepoeng
2022;Vestfold;SANDEFJORD;Mokollen skole;5;37,7
2022;Vestfold;SANDEFJORD;Ranvik ungdomsskole;126;42,7
2022;Vestfold;SANDEFJORD;Sandefjord voksenopplæring;1;40,0
2022;Vestfold;SANDEFJORD;Stokke ungdomsskole;94;42,8
2022;Vestfold;SANDEFJORD;Varden ungdomsskole;116;42,7
2022;Vestfold;SANDEFJORD;Wang Ung Sandefjord AS;43;46,4
2022;Vestfold;TØNSBERG;Tønsberg;599;43,8
2022;Vestfold;TØNSBERG;Byskogen Kombinerte skole;57;41,4
2022;Vestfold;TØNSBERG;Elihu Kristne grunnskole;12;44,4
2022;Vestfold;TØNSBERG;Granly skole;20;46,6
2022;Vestfold;TØNSBERG;Kongseik ungdomsskole;88;43,7
2022;Vestfold;TØNSBERG;Presterød ungdomsskole;118;45,1
2022;Vestfold;TØNSBERG;Revetal ungdomsskole;115;43,0
2022;Vestfold;TØNSBERG;Ringshaug ungdomsskole;86;45,9
2022;Vestfold;TØNSBERG;Tønsberg Montessori skole;6;38,5
2022;Vestfold;TØNSBERG;Vear Kombinerte skole;67;39,8
2022;Vestfold;TØNSBERG;Wang Tønsberg AS (grunnskole);30;47,6
2021;Vestfold;Vestfold;Vestfold;2 558;43,2
2021;Vestfold;FÆRDER;Færder;244;43,3
2021;Vestfold;FÆRDER;Borgheim ungdomsskole;114;44,8
2021;Vestfold;FÆRDER;Teigar ungdomsskole;105;42,4
2021;Vestfold;FÆRDER;Tjøme ungdomsskole;25;40,3
2021;Vestfold;HOLMESTRAND;Holmestrand;270;42,5
2021;Vestfold;HOLMESTRAND;Gjøklep ungdomsskole;111;43,4
2021;Vestfold;HOLMESTRAND;Hof skole;50;42,9
2021;Vestfold;HOLMESTRAND;Sande ungdomsskole;109;41,5
2021;Vestfold;HORTEN;Horten;285;42,5
2021;Vestfold;HORTEN;Bakkeåsen skole;4;23,5
2021;Vestfold;HORTEN;Borre ungdomsskole;93;45,3
2021;Vestfold;HORTEN;Holtan ungdomsskole;103;41,3
2021;Vestfold;HORTEN;Horten kommunale voksenopplæring;1;22,9
2021;Vestfold;HORTEN;Orerønningen ungdomsskole;84;42,0
2021;Vestfold;LARVIK;Larvik;474;43,4
2021;Vestfold;LARVIK;Brunla ungdomsskole;59;42,0
2021;Vestfold;LARVIK;Hedrum ungdomsskole;110;43,3
2021;Vestfold;LARVIK;Kongshaugen Kristne grunnskole;2;41,6
2021;Vestfold;LARVIK;Kvelde skole;30;40,3
2021;Vestfold;LARVIK;Lardal skole;23;39,3
2021;Vestfold;LARVIK;Larvik kommune Voksenopplæringa;4;35,7
2021;Vestfold;LARVIK;Mellomhagen ungdomsskole;57;45,8
2021;Vestfold;LARVIK;Mesterfjellet skole;50;42,1
2021;Vestfold;LARVIK;Ra ungdomsskole;94;44,9
2021;Vestfold;LARVIK;Tjodalyng skole;45;45,7
2021;Vestfold;SANDEFJORD;Sandefjord;701;43,1
2021;Vestfold;SANDEFJORD;Andebu ungdomsskole;51;42,8
2021;Vestfold;SANDEFJORD;Breidablikk ungdomsskole;158;43,0
2021;Vestfold;SANDEFJORD;Bugården ungdomsskole;122;42,8
2021;Vestfold;SANDEFJORD;Moe skole;11;46,2
2021;Vestfold;SANDEFJORD;Mokollen skole;6;35,3
2021;Vestfold;SANDEFJORD;Ranvik ungdomsskole;136;44,3
2021;Vestfold;SANDEFJORD;Sandefjord voksenopplæring;1;28,6
2021;Vestfold;SANDEFJORD;Stokke ungdomsskole;94;44,0
2021;Vestfold;SANDEFJORD;Varden ungdomsskole;122;41,7
2021;Vestfold;TØNSBERG;Tønsberg;584;43,8
2021;Vestfold;TØNSBERG;Byskogen Kombinerte skole;58;41,3
2021;Vestfold;TØNSBERG;Elihu Kristne grunnskole;15;48,3
2021;Vestfold;TØNSBERG;Granly skole;28;45,5
2021;Vestfold;TØNSBERG;Kongseik ungdomsskole;80;43,4
2021;Vestfold;TØNSBERG;Presterød ungdomsskole;142;44,0
2021;Vestfold;TØNSBERG;Revetal ungdomsskole;91;44,4
2021;Vestfold;TØNSBERG;Ringshaug ungdomsskole;75;44,6
2021;Vestfold;TØNSBERG;Tønsberg kommune læringssenter;5;27,1
2021;Vestfold;TØNSBERG;Tønsberg Montessori skole;6;50,7
2021;Vestfold;TØNSBERG;Vear Kombinerte skole;51;41,7
2021;Vestfold;TØNSBERG;Wang Tønsberg AS (grunnskole);33;46,2
2020;Vestfold;Vestfold;Vestfold;2 520;42,6
2020;Vestfold;FÆRDER;Færder;262;43,2
2020;Vestfold;FÆRDER;Borgheim ungdomsskole;123;43,9
2020;Vestfold;FÆRDER;Steinerskolen i Vestfold;2;33,2
2020;Vestfold;FÆRDER;Teigar ungdomsskole;96;43,9
2020;Vestfold;FÆRDER;Tjøme ungdomsskole;41;39,7
2020;Vestfold;HOLMESTRAND;Holmestrand;251;41,6
2020;Vestfold;HOLMESTRAND;Gjøklep ungdomsskole;99;41,6
2020;Vestfold;HOLMESTRAND;Hof skole;39;43,9
2020;Vestfold;HOLMESTRAND;Sande ungdomsskole;113;40,9
2020;Vestfold;HORTEN;Horten;284;43,5
2020;Vestfold;HORTEN;Bakkeåsen skole;2;36,0
2020;Vestfold;HORTEN;Borre ungdomsskole;81;46,4
2020;Vestfold;HORTEN;Holtan ungdomsskole;118;42,8
2020;Vestfold;HORTEN;Horten kommunale voksenopplæring;2;27,9
2020;Vestfold;HORTEN;Orerønningen ungdomsskole;81;42,3
2020;Vestfold;LARVIK;Larvik;486;41,9
2020;Vestfold;LARVIK;Brunla ungdomsskole;61;38,0
2020;Vestfold;LARVIK;Hedrum ungdomsskole;95;43,8
2020;Vestfold;LARVIK;Kongshaugen Kristne grunnskole;2;47,3
2020;Vestfold;LARVIK;Kvelde skole;27;41,6
2020;Vestfold;LARVIK;Lardal skole;21;39,8
2020;Vestfold;LARVIK;Larvik kommune Voksenopplæringa;19;26,7
2020;Vestfold;LARVIK;Mellomhagen ungdomsskole;62;43,5
2020;Vestfold;LARVIK;Mesterfjellet skole;48;42,8
2020;Vestfold;LARVIK;Ra ungdomsskole;103;44,2
2020;Vestfold;LARVIK;Tjodalyng skole;48;42,2
2020;Vestfold;SANDEFJORD;Sandefjord;654;42,9
2020;Vestfold;SANDEFJORD;Andebu ungdomsskole;63;43,3
2020;Vestfold;SANDEFJORD;Breidablikk ungdomsskole;128;43,4
2020;Vestfold;SANDEFJORD;Bugården ungdomsskole;102;41,9
2020;Vestfold;SANDEFJORD;Moe skole;12;43,6
2020;Vestfold;SANDEFJORD;Mokollen skole;8;36,1
2020;Vestfold;SANDEFJORD;Ranvik ungdomsskole;135;43,0
2020;Vestfold;SANDEFJORD;Sandefjord voksenopplæring;4;42,9
2020;Vestfold;SANDEFJORD;Stokke ungdomsskole;82;44,1
2020;Vestfold;SANDEFJORD;Varden ungdomsskole;120;42,3
2020;Vestfold;TØNSBERG;Tønsberg;583;42,4
2020;Vestfold;TØNSBERG;Byskogen Kombinerte skole;88;39,0
2020;Vestfold;TØNSBERG;Elihu Kristne grunnskole;15;43,2
2020;Vestfold;TØNSBERG;Granly skole;13;48,2
