Skoleår;Skole;Nivå;Utdanningsprogram;B;H;I;M;S
2020/21;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;87,5%;0,0%;0,0%;6,3%;6,3%
2017/18;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;84,6%;0,0%;0,0%;7,7%;7,7%
2019/20;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;83,3%;0,0%;0,0%;11,1%;5,6%
2021/22;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;77,8%;11,1%;0,0%;5,6%;5,6%
2020/21;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;92,3%;0,0%;0,0%;0,0%;7,7%
2021/22;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;91,7%;0,0%;0,0%;8,3%;0,0%
2017/18;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;90,9%;0,0%;0,0%;0,0%;9,1%
2018/19;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;80,0%;0,0%;10,0%;10,0%;0,0%
2019/20;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;76,9%;0,0%;0,0%;15,4%;7,7%
2022/23;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;71,4%;0,0%;0,0%;14,3%;14,3%
2017/18;Holmestrand videregående skole;vg 1;Medier og kommunikasjon;92,9%;0,0%;0,0%;7,1%;0,0%
2018/19;Holmestrand videregående skole;vg 1;Medier og kommunikasjon;90,0%;0,0%;0,0%;10,0%;0,0%
2019/20;Holmestrand videregående skole;vg 1;Medier og kommunikasjon;88,9%;0,0%;0,0%;11,1%;0,0%
2019/20;Holmestrand videregående skole;vg 2;Medier og kommunikasjon;100,0%;0,0%;0,0%;0,0%;0,0%
2017/18;Holmestrand videregående skole;vg 2;Medier og kommunikasjon;90,9%;0,0%;0,0%;0,0%;9,1%
2020/21;Holmestrand videregående skole;vg 2;Medier og kommunikasjon;87,5%;0,0%;0,0%;12,5%;0,0%
2018/19;Holmestrand videregående skole;vg 2;Medier og kommunikasjon;50,0%;0,0%;33,3%;16,7%;0,0%
2020/21;Holmestrand videregående skole;vg 3;Medier og kommunikasjon;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Holmestrand videregående skole;vg 3;Medier og kommunikasjon;87,5%;0,0%;0,0%;12,5%;0,0%
2019/20;Holmestrand videregående skole;vg 3;Medier og kommunikasjon;76,9%;0,0%;0,0%;7,7%;15,4%
2018/19;Holmestrand videregående skole;vg 3;Medier og kommunikasjon;72,7%;0,0%;9,1%;18,2%;0,0%
2020/21;Holmestrand videregående skole;vg 3;Påbygging;64,3%;10,7%;3,6%;17,9%;3,6%
2017/18;Holmestrand videregående skole;vg 3;Påbygging;57,1%;0,0%;17,9%;21,4%;3,6%
2021/22;Holmestrand videregående skole;vg 3;Påbygging;56,5%;4,3%;4,3%;30,4%;4,3%
2018/19;Holmestrand videregående skole;vg 3;Påbygging;50,0%;0,0%;16,7%;16,7%;16,7%
2019/20;Holmestrand videregående skole;vg 3;Påbygging;45,0%;0,0%;20,0%;30,0%;5,0%
2022/23;Holmestrand videregående skole;vg 3;Påbygging;42,3%;3,8%;11,5%;19,2%;23,1%
2020/21;Holmestrand videregående skole;vg 1;Restaurant- og matfag;90,9%;0,0%;0,0%;9,1%;0,0%
2018/19;Holmestrand videregående skole;vg 1;Restaurant- og matfag;77,8%;0,0%;0,0%;22,2%;0,0%
2019/20;Holmestrand videregående skole;vg 1;Restaurant- og matfag;60,0%;0,0%;10,0%;20,0%;10,0%
2017/18;Holmestrand videregående skole;vg 1;Restaurant- og matfag;50,0%;0,0%;0,0%;37,5%;12,5%
2021/22;Holmestrand videregående skole;vg 1;Restaurant- og matfag;40,0%;0,0%;0,0%;20,0%;40,0%
2022/23;Holmestrand videregående skole;vg 1;Restaurant- og matfag;38,5%;38,5%;0,0%;15,4%;7,7%
2019/20;Holmestrand videregående skole;vg 2;Restaurant- og matfag;100,0%;0,0%;0,0%;0,0%;0,0%
2020/21;Holmestrand videregående skole;vg 2;Restaurant- og matfag;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Holmestrand videregående skole;vg 2;Restaurant- og matfag;85,7%;0,0%;0,0%;14,3%;0,0%
2018/19;Holmestrand videregående skole;vg 2;Restaurant- og matfag;80,0%;0,0%;0,0%;0,0%;20,0%
2017/18;Holmestrand videregående skole;vg 2;Restaurant- og matfag;66,7%;0,0%;16,7%;0,0%;16,7%
2018/19;Holmestrand videregående skole;vg 1;Studiespesialisering;97,6%;0,0%;0,0%;0,0%;2,4%
2020/21;Holmestrand videregående skole;vg 1;Studiespesialisering;96,0%;0,0%;0,0%;4,0%;0,0%
2019/20;Holmestrand videregående skole;vg 1;Studiespesialisering;95,6%;0,0%;2,2%;2,2%;0,0%
2017/18;Holmestrand videregående skole;vg 1;Studiespesialisering;87,5%;0,0%;0,0%;9,4%;3,1%
2022/23;Holmestrand videregående skole;vg 1;Studiespesialisering;83,9%;16,1%;0,0%;0,0%;0,0%
2021/22;Holmestrand videregående skole;vg 1;Studiespesialisering;81,1%;9,4%;0,0%;9,4%;0,0%
2019/20;Holmestrand videregående skole;vg 2;Studiespesialisering;97,6%;0,0%;0,0%;2,4%;0,0%
2020/21;Holmestrand videregående skole;vg 2;Studiespesialisering;93,0%;0,0%;0,0%;2,3%;4,7%
2022/23;Holmestrand videregående skole;vg 2;Studiespesialisering;83,0%;2,1%;10,6%;4,3%;0,0%
2017/18;Holmestrand videregående skole;vg 2;Studiespesialisering;81,3%;0,0%;9,4%;6,3%;3,1%
2021/22;Holmestrand videregående skole;vg 2;Studiespesialisering;79,2%;0,0%;8,3%;8,3%;4,2%
2018/19;Holmestrand videregående skole;vg 2;Studiespesialisering;74,2%;0,0%;25,8%;0,0%;0,0%
2019/20;Holmestrand videregående skole;vg 3;Studiespesialisering;96,3%;0,0%;0,0%;0,0%;3,7%
2020/21;Holmestrand videregående skole;vg 3;Studiespesialisering;93,0%;0,0%;2,3%;4,7%;0,0%
2021/22;Holmestrand videregående skole;vg 3;Studiespesialisering;92,1%;0,0%;0,0%;5,3%;2,6%
2018/19;Holmestrand videregående skole;vg 3;Studiespesialisering;86,8%;0,0%;2,6%;7,9%;2,6%
2017/18;Holmestrand videregående skole;vg 3;Studiespesialisering;82,4%;0,0%;13,7%;2,0%;2,0%
2022/23;Holmestrand videregående skole;vg 3;Studiespesialisering;69,6%;8,7%;13,0%;8,7%;0,0%
2020/21;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;81,3%;0,0%;0,0%;12,5%;6,3%
2019/20;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;80,0%;0,0%;13,3%;6,7%;0,0%
2022/23;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;62,5%;12,5%;0,0%;0,0%;25,0%
2017/18;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;46,2%;0,0%;15,4%;30,8%;7,7%
2018/19;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;38,5%;0,0%;0,0%;53,8%;7,7%
2017/18;Horten videregående skole;vg 1;Design og håndverk;84,6%;0,0%;3,8%;3,8%;7,7%
2019/20;Horten videregående skole;vg 1;Design og håndverk;75,0%;0,0%;7,1%;3,6%;14,3%
2018/19;Horten videregående skole;vg 1;Design og håndverk;61,5%;0,0%;3,8%;15,4%;19,2%
2020/21;Horten videregående skole;vg 2;Design og håndverk;87,0%;0,0%;0,0%;8,7%;4,3%
2019/20;Horten videregående skole;vg 2;Design og håndverk;84,2%;0,0%;0,0%;15,8%;0,0%
2018/19;Horten videregående skole;vg 2;Design og håndverk;82,8%;0,0%;0,0%;10,3%;6,9%
2017/18;Horten videregående skole;vg 2;Design og håndverk;81,8%;0,0%;9,1%;4,5%;4,5%
2019/20;Horten videregående skole;vg 1;Elektro og datateknologi;96,9%;0,0%;0,0%;3,1%;0,0%
2017/18;Horten videregående skole;vg 1;Elektro og datateknologi;95,7%;0,0%;0,0%;2,2%;2,2%
2020/21;Horten videregående skole;vg 1;Elektro og datateknologi;93,5%;0,0%;6,5%;0,0%;0,0%
2022/23;Horten videregående skole;vg 1;Elektro og datateknologi;87,9%;3,0%;3,0%;3,0%;3,0%
2021/22;Horten videregående skole;vg 1;Elektro og datateknologi;86,7%;6,7%;0,0%;0,0%;6,7%
2018/19;Horten videregående skole;vg 1;Elektro og datateknologi;64,5%;0,0%;9,7%;19,4%;6,5%
2020/21;Horten videregående skole;vg 2;Elektro og datateknologi;96,8%;3,2%;0,0%;0,0%;0,0%
2018/19;Horten videregående skole;vg 2;Elektro og datateknologi;87,5%;0,0%;7,5%;2,5%;2,5%
2019/20;Horten videregående skole;vg 2;Elektro og datateknologi;87,5%;0,0%;5,0%;5,0%;2,5%
2021/22;Horten videregående skole;vg 2;Elektro og datateknologi;84,8%;3,0%;0,0%;3,0%;9,1%
2022/23;Horten videregående skole;vg 2;Elektro og datateknologi;83,9%;6,5%;0,0%;0,0%;9,7%
2017/18;Horten videregående skole;vg 2;Elektro og datateknologi;81,8%;0,0%;11,4%;6,8%;0,0%
2022/23;Horten videregående skole;vg 3;Elektro og datateknologi;88,9%;0,0%;11,1%;0,0%;0,0%
2020/21;Horten videregående skole;vg 3;Elektro og datateknologi;88,9%;0,0%;0,0%;0,0%;11,1%
2017/18;Horten videregående skole;vg 3;Elektro og datateknologi;81,0%;0,0%;14,3%;0,0%;4,8%
2019/20;Horten videregående skole;vg 3;Elektro og datateknologi;80,0%;0,0%;10,0%;0,0%;10,0%
2021/22;Horten videregående skole;vg 3;Elektro og datateknologi;77,8%;0,0%;11,1%;0,0%;11,1%
2018/19;Horten videregående skole;vg 3;Elektro og datateknologi;68,4%;0,0%;10,5%;5,3%;15,8%
2021/22;Horten videregående skole;vg 1;Frisør,blomst,int,eksp.design;75,9%;0,0%;6,9%;10,3%;6,9%
2022/23;Horten videregående skole;vg 1;Frisør,blomst,int,eksp.design;56,0%;8,0%;4,0%;12,0%;20,0%
2020/21;Horten videregående skole;vg 1;Frisør,blomst,int,eksp.design;50,0%;0,0%;3,3%;30,0%;16,7%
2022/23;Horten videregående skole;vg 2;Frisør,blomst,int,eksp.design;83,3%;8,3%;0,0%;8,3%;0,0%
2021/22;Horten videregående skole;vg 2;Frisør,blomst,int,eksp.design;42,9%;7,1%;7,1%;21,4%;21,4%
2021/22;Horten videregående skole;vg 1;Helse- og oppvekstfag;85,9%;5,1%;0,0%;6,4%;2,6%
2019/20;Horten videregående skole;vg 1;Helse- og oppvekstfag;85,5%;1,3%;5,3%;6,6%;1,3%
2020/21;Horten videregående skole;vg 1;Helse- og oppvekstfag;84,8%;3,8%;1,3%;8,9%;1,3%
2022/23;Horten videregående skole;vg 1;Helse- og oppvekstfag;76,4%;11,1%;4,2%;5,6%;2,8%
2018/19;Horten videregående skole;vg 1;Helse- og oppvekstfag;72,5%;0,0%;8,8%;8,8%;10,0%
2017/18;Horten videregående skole;vg 1;Helse- og oppvekstfag;70,0%;0,0%;6,7%;10,0%;13,3%
2021/22;Horten videregående skole;vg 2;Helse- og oppvekstfag;90,0%;3,3%;1,7%;3,3%;1,7%
2022/23;Horten videregående skole;vg 2;Helse- og oppvekstfag;88,9%;4,8%;1,6%;1,6%;3,2%
2020/21;Horten videregående skole;vg 2;Helse- og oppvekstfag;82,3%;1,6%;4,8%;8,1%;3,2%
