Skoleår;Utdanningsprogram;Nivå;Skole;B;H;I;M;S
2024/25;Alle utdanningsprogram;Totalt;Vestfold;6 515;318;473;363;254
2024/25;BA;Totalt;Vestfold;325;14;21;12;23
2024/25;EL;Totalt;Vestfold;360;8;17;11;7
2024/25;FD;Totalt;Vestfold;118;10;9;10;13
2024/25;HS;Totalt;Vestfold;689;37;49;35;49
2024/25;ID;Totalt;Vestfold;535;11;28;17;6
2024/25;IM;Totalt;Vestfold;118;11;8;6;9
2024/25;KD;Totalt;Vestfold;129;12;11;12;6
2024/25;MD;Totalt;Vestfold;228;21;9;15;4
2024/25;ME;Totalt;Vestfold;115;5;7;9;3
2024/25;NA;Totalt;Vestfold;71;7;3;11;2
2024/25;PB;Totalt;Vestfold;349;12;56;19;17
2024/25;RM;Totalt;Vestfold;95;9;6;13;11
2024/25;SR;Totalt;Vestfold;313;15;12;22;23
2024/25;ST;Totalt;Vestfold;2 704;116;212;136;49
2024/25;TP;Totalt;Vestfold;366;30;25;35;32
2024/25;BA;vg 1;Vestfold;186;11;13;7;14
2024/25;EL;vg 1;Vestfold;184;3;7;2;3
2024/25;FD;vg 1;Vestfold;58;7;5;1;10
2024/25;HS;vg 1;Vestfold;369;27;31;22;33
2024/25;ID;vg 1;Vestfold;197;7;6;2;1
2024/25;IM;vg 1;Vestfold;54;11;5;3;6
2024/25;KD;vg 1;Vestfold;43;5;2;2;4
2024/25;MD;vg 1;Vestfold;83;8;3;7;3
2024/25;ME;vg 1;Vestfold;36;1;0;8;2
2024/25;NA;vg 1;Vestfold;29;3;2;7;1
2024/25;RM;vg 1;Vestfold;50;9;3;10;9
2024/25;SR;vg 1;Vestfold;165;11;11;16;15
2024/25;ST;vg 1;Vestfold;964;37;57;33;15
2024/25;TP;vg 1;Vestfold;209;23;13;22;23
2024/25;Alle utdanningsprogram;vg 1;Vestfold;2 627;163;158;142;139
2024/25;BA;vg 2;Vestfold;139;3;8;5;9
2024/25;EL;vg 2;Vestfold;144;5;5;8;3
2024/25;FD;vg 2;Vestfold;42;3;4;8;1
2024/25;HS;vg 2;Vestfold;300;10;17;13;13
2024/25;ID;vg 2;Vestfold;161;2;13;8;3
2024/25;IM;vg 2;Vestfold;64;0;3;3;3
2024/25;KD;vg 2;Vestfold;36;2;5;3;1
2024/25;MD;vg 2;Vestfold;69;5;5;3;0
2024/25;ME;vg 2;Vestfold;40;1;4;1;0
2024/25;NA;vg 2;Vestfold;35;4;1;3;0
2024/25;RM;vg 2;Vestfold;45;0;3;3;2
2024/25;SR;vg 2;Vestfold;148;4;1;6;8
2024/25;ST;vg 2;Vestfold;831;46;88;52;15
2024/25;TP;vg 2;Vestfold;157;7;12;13;9
2024/25;Alle utdanningsprogram;vg 2;Vestfold;2 211;92;169;129;67
2024/25;EL;vg 3;Vestfold;32;0;5;1;1
2024/25;FD;vg 3;Vestfold;18;0;0;1;2
2024/25;HS;vg 3;Vestfold;20;0;1;0;3
2024/25;ID;vg 3;Vestfold;177;2;9;7;2
2024/25;KD;vg 3;Vestfold;50;5;4;7;1
2024/25;MD;vg 3;Vestfold;76;8;1;5;1
2024/25;ME;vg 3;Vestfold;39;3;3;0;1
2024/25;NA;vg 3;Vestfold;7;0;0;1;1
2024/25;PB;vg 3;Vestfold;349;12;56;19;17
2024/25;ST;vg 3;Vestfold;909;33;67;51;19
2024/25;Alle utdanningsprogram;vg 3;Vestfold;1 677;63;146;92;48
2024/25;BA;Totalt;Thor Heyerdahl videregående skole;94;3;2;2;8
2024/25;EL;Totalt;Thor Heyerdahl videregående skole;85;2;0;1;0
2024/25;HS;Totalt;Thor Heyerdahl videregående skole;122;2;4;2;9
2024/25;ID;Totalt;Thor Heyerdahl videregående skole;165;3;10;5;2
2024/25;MD;Totalt;Thor Heyerdahl videregående skole;63;5;2;2;0
2024/25;ME;Totalt;Thor Heyerdahl videregående skole;39;1;2;0;1
2024/25;PB;Totalt;Thor Heyerdahl videregående skole;49;0;11;2;2
2024/25;RM;Totalt;Thor Heyerdahl videregående skole;18;2;0;2;4
2024/25;SR;Totalt;Thor Heyerdahl videregående skole;71;5;2;4;6
