Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever 2024/25;Elevgrunnlag for totalfravær 2024/25;Totalfravær (%) i 2024/25;Snitt fraværsdager i 2024/25;Snitt fraværtimer i 2024/25
2024/25;BA;vg 1;Thor Heyerdahl videregående skole;78;71;5,2%;6,2;18,7
2024/25;EL;vg 1;Thor Heyerdahl videregående skole;46;46;3,8%;3,4;19,4
2024/25;HS;vg 1;Thor Heyerdahl videregående skole;79;73;5,8%;7,7;17,3
2024/25;ID;vg 1;Thor Heyerdahl videregående skole;64;63;4,2%;3,4;23,9
2024/25;MD;vg 1;Thor Heyerdahl videregående skole;28;28;4,4%;5,1;16,6
2024/25;ME;vg 1;Thor Heyerdahl videregående skole;9;9;6,0%;7,2;21,1
2024/25;RM;vg 1;Thor Heyerdahl videregående skole;15;12;11,9%;17,1;28,3
2024/25;SR;vg 1;Thor Heyerdahl videregående skole;45;42;10,7%;10,4;51,5
2024/25;ST;vg 1;Thor Heyerdahl videregående skole;172;170;5,1%;4,7;21,8
2024/25;TP;vg 1;Thor Heyerdahl videregående skole;79;76;5,0%;2,2;37,7
2024/25;Alle utdanningsprogram;vg 1;Thor Heyerdahl videregående skole;615;590;5,5%;5,4;24,9
2024/25;BA;vg 2;Thor Heyerdahl videregående skole;31;30;6,2%;8,9;15,1
2024/25;EL;vg 2;Thor Heyerdahl videregående skole;42;42;4,3%;3,5;24,4
2024/25;HS;vg 2;Thor Heyerdahl videregående skole;60;57;6,2%;7,6;21,7
2024/25;ID;vg 2;Thor Heyerdahl videregående skole;59;58;6,1%;4,3;37,8
2024/25;MD;vg 2;Thor Heyerdahl videregående skole;19;19;6,5%;4,9;38,6
2024/25;ME;vg 2;Thor Heyerdahl videregående skole;14;14;4,6%;3,8;25,5
2024/25;RM;vg 2;Thor Heyerdahl videregående skole;11;10;8,9%;14,0;15,5
2024/25;SR;vg 2;Thor Heyerdahl videregående skole;43;40;10,5%;13,9;31,9
2024/25;ST;vg 2;Thor Heyerdahl videregående skole;144;142;6,0%;4,7;29,4
2024/25;TP;vg 2;Thor Heyerdahl videregående skole;42;41;4,3%;4,3;20,5
2024/25;Alle utdanningsprogram;vg 2;Thor Heyerdahl videregående skole;465;453;6,2%;6,1;27,5
2024/25;ID;vg 3;Thor Heyerdahl videregående skole;62;62;6,7%;7,2;27,9
2024/25;MD;vg 3;Thor Heyerdahl videregående skole;25;25;10,9%;13,0;40,1
2024/25;ME;vg 3;Thor Heyerdahl videregående skole;20;19;13,9%;15,3;57,4
2024/25;PB;vg 3;Thor Heyerdahl videregående skole;64;62;11,5%;12,4;41,7
2024/25;ST;vg 3;Thor Heyerdahl videregående skole;150;147;7,0%;6,5;30,0
2024/25;Alle utdanningsprogram;vg 3;Thor Heyerdahl videregående skole;321;315;8,5%;8,9;34,3
2024/25;EL;Totalt;Sandefjord videregående skole;69;67;3,2%;4,0;10,9
2024/25;FD;Totalt;Sandefjord videregående skole;109;101;11,3%;13,0;43,8
2024/25;HS;Totalt;Sandefjord videregående skole;225;209;11,7%;13,7;43,5
2024/25;ID;Totalt;Sandefjord videregående skole;92;91;6,9%;6,5;34,3
2024/25;IM;Totalt;Sandefjord videregående skole;62;57;7,5%;8,2;31,2
2024/25;KD;Totalt;Sandefjord videregående skole;71;67;8,3%;8,6;36,9
2024/25;MD;Totalt;Sandefjord videregående skole;133;129;6,7%;3,4;47,5
2024/25;PB;Totalt;Sandefjord videregående skole;78;75;11,0%;10,3;44,2
2024/25;RM;Totalt;Sandefjord videregående skole;29;28;7,5%;9,8;22,9
2024/25;SR;Totalt;Sandefjord videregående skole;165;156;6,0%;5,6;29,4
2024/25;ST;Totalt;Sandefjord videregående skole;749;739;8,3%;8,1;34,0
2024/25;TP;Totalt;Sandefjord videregående skole;90;81;9,9%;6,9;61,1
2024/25;Alle utdanningsprogram;Totalt;Sandefjord videregående skole;1 872;1 800;8,4%;8,3;36,9
2024/25;EL;vg 1;Sandefjord videregående skole;31;30;3,9%;4,9;13,1
2024/25;FD;vg 1;Sandefjord videregående skole;46;40;9,6%;11,7;34,0
2024/25;HS;vg 1;Sandefjord videregående skole;112;100;11,6%;13,1;46,7
2024/25;ID;vg 1;Sandefjord videregående skole;29;29;9,3%;9,7;40,6
2024/25;IM;vg 1;Sandefjord videregående skole;32;28;6,0%;8,0;18,0
2024/25;KD;vg 1;Sandefjord videregående skole;28;25;6,9%;7,9;27,0
2024/25;MD;vg 1;Sandefjord videregående skole;45;42;6,1%;2,0;49,6
2024/25;RM;vg 1;Sandefjord videregående skole;21;20;6,0%;8,0;18,0
2024/25;SR;vg 1;Sandefjord videregående skole;91;85;6,6%;6,0;34,1
2024/25;ST;vg 1;Sandefjord videregående skole;241;241;7,0%;6,8;28,4
2024/25;TP;vg 1;Sandefjord videregående skole;58;52;12,1%;7,7;79,4
2024/25;Alle utdanningsprogram;vg 1;Sandefjord videregående skole;734;692;8,0%;7,8;36,3
2024/25;EL;vg 2;Sandefjord videregående skole;28;28;2,7%;3,0;10,8
2024/25;FD;vg 2;Sandefjord videregående skole;42;42;11,8%;11,2;57,3
2024/25;HS;vg 2;Sandefjord videregående skole;96;94;11,0%;13,5;38,7
2024/25;ID;vg 2;Sandefjord videregående skole;31;31;4,5%;3,8;23,9
2024/25;IM;vg 2;Sandefjord videregående skole;30;29;8,9%;8,4;44,0
2024/25;KD;vg 2;Sandefjord videregående skole;19;18;8,1%;8,5;35,8
2024/25;MD;vg 2;Sandefjord videregående skole;42;42;7,7%;7,1;38,8
2024/25;RM;vg 2;Sandefjord videregående skole;8;8;11,1%;14,3;35,3
2024/25;SR;vg 2;Sandefjord videregående skole;74;71;5,2%;5,3;23,7
2024/25;ST;vg 2;Sandefjord videregående skole;230;226;9,1%;8,1;40,8
2024/25;TP;vg 2;Sandefjord videregående skole;32;29;5,8%;5,6;28,2
2024/25;Alle utdanningsprogram;vg 2;Sandefjord videregående skole;632;618;8,3%;8,3;36,6
2024/25;EL;vg 3;Sandefjord videregående skole;10;9;2,7%;4,4;3,9
2024/25;FD;vg 3;Sandefjord videregående skole;21;19;13,8%;19,6;34,3
2024/25;HS;vg 3;Sandefjord videregående skole;17;15;15,5%;19,2;52,9
2024/25;ID;vg 3;Sandefjord videregående skole;32;31;7,1%;6,0;38,8
2024/25;KD;vg 3;Sandefjord videregående skole;24;24;9,8%;9,4;48,0
2024/25;MD;vg 3;Sandefjord videregående skole;46;45;6,2%;1,4;53,7
2024/25;PB;vg 3;Sandefjord videregående skole;78;75;11,0%;10,3;44,2
2024/25;ST;vg 3;Sandefjord videregående skole;278;272;8,8%;9,1;33,4
2024/25;Alle utdanningsprogram;vg 3;Sandefjord videregående skole;506;490;9,1%;9,0;38,1
2024/25;EL;Totalt;Sande videregående skole;44;43;5,2%;5,2;24,1
2024/25;HS;Totalt;Sande videregående skole;78;73;9,7%;13,4;25,7
2024/25;ID;Totalt;Sande videregående skole;65;64;8,0%;8,8;32,7
2024/25;PB;Totalt;Sande videregående skole;11;11;9,1%;10,6;29,1
2024/25;ST;Totalt;Sande videregående skole;126;124;7,3%;9,1;21,2
2024/25;TP;Totalt;Sande videregående skole;46;44;12,0%;16,3;33,3
2024/25;Alle utdanningsprogram;Totalt;Sande videregående skole;370;359;8,3%;10,4;26,2
2024/25;EL;vg 1;Sande videregående skole;28;27;6,6%;6,1;33,3
2024/25;HS;vg 1;Sande videregående skole;53;49;9,6%;13,0;27,1
2024/25;ID;vg 1;Sande videregående skole;30;30;7,1%;8,6;25,5
2024/25;ST;vg 1;Sande videregående skole;31;30;5,2%;7,5;10,9
2024/25;TP;vg 1;Sande videregående skole;27;26;14,1%;19,0;40,3
2024/25;Alle utdanningsprogram;vg 1;Sande videregående skole;169;162;8,6%;11,0;27,0
2024/25;EL;vg 2;Sande videregående skole;16;16;2,8%;3,6;8,7
2024/25;HS;vg 2;Sande videregående skole;25;24;9,8%;14,3;22,8
2024/25;ID;vg 2;Sande videregående skole;15;15;9,2%;11,3;32,2
2024/25;ST;vg 2;Sande videregående skole;57;56;8,8%;10,7;26,9
2024/25;TP;vg 2;Sande videregående skole;19;18;8,9%;12,4;23,2
2024/25;Alle utdanningsprogram;vg 2;Sande videregående skole;132;129;8,3%;10,8;24,0
2024/25;ID;vg 3;Sande videregående skole;20;19;8,3%;7,1;44,6
2024/25;PB;vg 3;Sande videregående skole;11;11;9,1%;10,6;29,1
2024/25;ST;vg 3;Sande videregående skole;38;38;6,7%;7,9;20,8
2024/25;Alle utdanningsprogram;vg 3;Sande videregående skole;69;68;7,5%;8,1;28,8
2024/25;BA;Totalt;Re videregående skole;151;146;4,8%;5,4;19,4
2024/25;HS;Totalt;Re videregående skole;128;127;6,5%;8,4;20,7
2024/25;ID;Totalt;Re videregående skole;168;168;5,3%;5,2;25,3
2024/25;PB;Totalt;Re videregående skole;32;32;6,9%;7,2;26,0
2024/25;ST;Totalt;Re videregående skole;286;282;6,9%;7,3;25,3
2024/25;Alle utdanningsprogram;Totalt;Re videregående skole;765;755;6,1%;6,7;23,4
2024/25;BA;vg 1;Re videregående skole;80;79;5,3%;7,5;12,8
2024/25;HS;vg 1;Re videregående skole;74;74;6,1%;7,7;20,5
2024/25;ID;vg 1;Re videregående skole;60;60;4,4%;4,6;19,0
2024/25;ST;vg 1;Re videregående skole;121;119;6,7%;7,7;22,3
2024/25;Alle utdanningsprogram;vg 1;Re videregående skole;335;332;5,8%;7,1;19,0
2024/25;BA;vg 2;Re videregående skole;71;67;4,3%;2,9;27,2
2024/25;HS;vg 2;Re videregående skole;54;53;7,1%;9,5;21,0
2024/25;ID;vg 2;Re videregående skole;53;53;5,8%;6,2;25,5
2024/25;ST;vg 2;Re videregående skole;84;83;7,8%;7,8;31,0
2024/25;Alle utdanningsprogram;vg 2;Re videregående skole;262;256;6,3%;6,5;26,8
2024/25;ID;vg 3;Re videregående skole;55;55;5,9%;4,9;32,1
2024/25;PB;vg 3;Re videregående skole;32;32;6,9%;7,2;26,0
2024/25;ST;vg 3;Re videregående skole;81;80;6,2%;6,4;23,8
2024/25;Alle utdanningsprogram;vg 3;Re videregående skole;168;167;6,2%;6,0;27,0
2024/25;HS;Totalt;Nøtterøy videregående skole;106;98;10,5%;13,4;33,8
2024/25;PB;Totalt;Nøtterøy videregående skole;14;13;7,0%;9,3;17,4
2024/25;ST;Totalt;Nøtterøy videregående skole;438;430;8,8%;8,4;36,9
2024/25;Alle utdanningsprogram;Totalt;Nøtterøy videregående skole;558;541;9,1%;9,3;35,9
2024/25;HS;vg 1;Nøtterøy videregående skole;55;51;11,2%;14,6;33,8
2024/25;ST;vg 1;Nøtterøy videregående skole;144;141;9,3%;8,5;40,5
2024/25;Alle utdanningsprogram;vg 1;Nøtterøy videregående skole;199;192;9,8%;10,1;38,7
2024/25;HS;vg 2;Nøtterøy videregående skole;45;41;9,8%;11,7;35,7
2024/25;ST;vg 2;Nøtterøy videregående skole;133;130;7,9%;8,2;30,2
2024/25;Alle utdanningsprogram;vg 2;Nøtterøy videregående skole;178;171;8,4%;9,0;31,5
2024/25;HS;vg 3;Nøtterøy videregående skole;6;6;10,0%;15,2;20,2
2024/25;PB;vg 3;Nøtterøy videregående skole;14;13;7,0%;9,3;17,4
2024/25;ST;vg 3;Nøtterøy videregående skole;161;159;9,2%;8,5;39,3
2024/25;Alle utdanningsprogram;vg 3;Nøtterøy videregående skole;181;178;9,0%;8,8;37,0
2024/25;ME;Totalt;Melsom videregående skole;21;20;16,5%;14,1;89,2
2024/25;NA;Totalt;Melsom videregående skole;94;92;9,7%;11,1;37,3
2024/25;PB;Totalt;Melsom videregående skole;24;24;9,2%;10,9;27,8
2024/25;SR;Totalt;Melsom videregående skole;17;14;12,9%;16,4;42,5
2024/25;ST;Totalt;Melsom videregående skole;41;41;11,0%;10,6;45,7
2024/25;Alle utdanningsprogram;Totalt;Melsom videregående skole;197;191;10,8%;11,7;43,7
2024/25;ME;vg 1;Melsom videregående skole;9;8;31,0%;22,8;186,5
2024/25;NA;vg 1;Melsom videregående skole;42;41;9,8%;8,6;51,9
2024/25;SR;vg 1;Melsom videregående skole;17;14;12,9%;16,4;42,5
2024/25;ST;vg 1;Melsom videregående skole;20;20;4,7%;5,0;18,0
2024/25;Alle utdanningsprogram;vg 1;Melsom videregående skole;88;83;11,1%;10,4;55,1
2024/25;ME;vg 2;Melsom videregående skole;7;7;8,5%;10,6;28,9
2024/25;NA;vg 2;Melsom videregående skole;43;43;10,2%;14,2;27,0
2024/25;ST;vg 2;Melsom videregående skole;13;13;14,7%;11,9;70,8
2024/25;Alle utdanningsprogram;vg 2;Melsom videregående skole;63;63;11,0%;13,3;36,3
2024/25;ME;vg 3;Melsom videregående skole;5;5;4,5%;5,0;18,0
2024/25;NA;vg 3;Melsom videregående skole;9;8;5,9%;7,8;17,6
2024/25;PB;vg 3;Melsom videregående skole;24;24;9,2%;10,9;27,8
2024/25;ST;vg 3;Melsom videregående skole;8;8;20,6%;22,4;74,1
2024/25;Alle utdanningsprogram;vg 3;Melsom videregående skole;46;45;10,1%;11,7;33,1
2024/25;HS;Totalt;Karriere- og Kompetansesenteret i Vestfold;1;0;0,0%;0,0;0,0
2024/25;Alle utdanningsprogram;Totalt;Karriere- og Kompetansesenteret i Vestfold;1;0;0,0%;0,0;0,0
2024/25;HS;vg 3;Karriere- og Kompetansesenteret i Vestfold;1;0;0,0%;0,0;0,0
2024/25;Alle utdanningsprogram;vg 3;Karriere- og Kompetansesenteret i Vestfold;1;0;0,0%;0,0;0,0
2024/25;EL;Totalt;Horten videregående skole;78;77;4,1%;4,5;17,5
2024/25;FD;Totalt;Horten videregående skole;51;46;9,7%;14,6;19,8
2024/25;HS;Totalt;Horten videregående skole;139;136;10,4%;13,7;30,9
2024/25;ID;Totalt;Horten videregående skole;87;85;8,1%;8,5;35,8
2024/25;IM;Totalt;Horten videregående skole;27;25;9,2%;11,0;33,6
2024/25;ME;Totalt;Horten videregående skole;75;74;9,0%;10,9;31,8
2024/25;PB;Totalt;Horten videregående skole;58;57;11,5%;13,0;39,2
2024/25;SR;Totalt;Horten videregående skole;37;35;10,1%;11,3;40,3
2024/25;ST;Totalt;Horten videregående skole;431;424;7,0%;8,2;22,3
2024/25;TP;Totalt;Horten videregående skole;38;36;7,7%;7,4;38,0
2024/25;Alle utdanningsprogram;Totalt;Horten videregående skole;1 021;995;8,0%;9,6;27,3
2024/25;EL;vg 1;Horten videregående skole;32;31;3,9%;4,7;13,5
2024/25;FD;vg 1;Horten videregående skole;35;31;6,7%;9,8;15,5
2024/25;HS;vg 1;Horten videregående skole;78;76;11,0%;15,1;30,1
2024/25;ID;vg 1;Horten videregående skole;30;30;5,9%;7,4;20,1
2024/25;IM;vg 1;Horten videregående skole;16;14;12,1%;19,5;17,8
2024/25;ME;vg 1;Horten videregående skole;29;28;10,0%;11,7;37,6
2024/25;SR;vg 1;Horten videregående skole;19;17;10,3%;12,9;34,5
2024/25;ST;vg 1;Horten videregående skole;143;142;5,0%;6,5;13,6
2024/25;TP;vg 1;Horten videregående skole;23;22;8,1%;7,5;40,8
2024/25;Alle utdanningsprogram;vg 1;Horten videregående skole;405;391;7,3%;9,5;21,8
2024/25;EL;vg 2;Horten videregående skole;33;33;5,0%;4,2;27,4
2024/25;FD;vg 2;Horten videregående skole;16;15;15,8%;24,5;28,7
2024/25;HS;vg 2;Horten videregående skole;61;60;9,6%;12,0;31,9
2024/25;ID;vg 2;Horten videregående skole;29;27;10,4%;9,9;50,3
2024/25;IM;vg 2;Horten videregående skole;11;11;5,5%;0,1;53,7
2024/25;ME;vg 2;Horten videregående skole;25;25;7,7%;8,9;29,5
2024/25;SR;vg 2;Horten videregående skole;18;18;9,9%;9,9;45,7
2024/25;ST;vg 2;Horten videregående skole;144;142;7,6%;8,5;25,9
2024/25;TP;vg 2;Horten videregående skole;15;14;7,2%;7,2;33,6
2024/25;Alle utdanningsprogram;vg 2;Horten videregående skole;352;345;8,3%;9,3;31,6
2024/25;EL;vg 3;Horten videregående skole;13;13;2,7%;4,8;1,8
2024/25;ID;vg 3;Horten videregående skole;28;28;8,3%;8,4;38,5
2024/25;ME;vg 3;Horten videregående skole;21;21;9,1%;12,1;26,8
2024/25;PB;vg 3;Horten videregående skole;58;57;11,5%;13,0;39,2
2024/25;ST;vg 3;Horten videregående skole;144;140;8,4%;9,8;27,5
2024/25;Alle utdanningsprogram;vg 3;Horten videregående skole;264;259;8,9%;10,3;29,9
2024/25;HS;Totalt;Holmestrand videregående skole;43;37;12,6%;18,2;29,6
2024/25;PB;Totalt;Holmestrand videregående skole;27;25;15,3%;19,3;42,7
2024/25;RM;Totalt;Holmestrand videregående skole;17;16;10,5%;6,6;69,0
2024/25;ST;Totalt;Holmestrand videregående skole;113;107;11,0%;12,4;37,8
2024/25;TP;Totalt;Holmestrand videregående skole;31;28;13,3%;17,5;40,1
2024/25;Alle utdanningsprogram;Totalt;Holmestrand videregående skole;231;213;12,0%;14,4;39,6
2024/25;HS;vg 1;Holmestrand videregående skole;31;26;12,4%;17,5;31,2
2024/25;RM;vg 1;Holmestrand videregående skole;9;8;10,1%;6,9;63,3
2024/25;ST;vg 1;Holmestrand videregående skole;49;46;11,1%;9,7;50,1
2024/25;TP;vg 1;Holmestrand videregående skole;31;28;13,3%;17,5;40,1
2024/25;Alle utdanningsprogram;vg 1;Holmestrand videregående skole;120;108;11,9%;13,4;43,9
2024/25;HS;vg 2;Holmestrand videregående skole;12;11;13,0%;19,7;25,9
2024/25;RM;vg 2;Holmestrand videregående skole;8;8;11,0%;6,4;74,8
2024/25;ST;vg 2;Holmestrand videregående skole;32;31;10,7%;13,2;31,8
2024/25;Alle utdanningsprogram;vg 2;Holmestrand videregående skole;52;50;11,3%;13,5;37,4
2024/25;PB;vg 3;Holmestrand videregående skole;27;25;15,3%;19,3;42,7
2024/25;ST;vg 3;Holmestrand videregående skole;32;30;11,2%;15,6;25,0
2024/25;Alle utdanningsprogram;vg 3;Holmestrand videregående skole;59;55;13,0%;17,3;33,0
2024/25;IM;Totalt;Greveskogen videregående skole;63;61;5,9%;5,2;31,5
2024/25;MD;Totalt;Greveskogen videregående skole;72;72;8,8%;9,5;37,5
2024/25;RM;Totalt;Greveskogen videregående skole;62;57;9,2%;7,8;50,2
2024/25;SR;Totalt;Greveskogen videregående skole;78;75;16,9%;20,5;59,5
2024/25;ST;Totalt;Greveskogen videregående skole;567;561;9,2%;9,1;37,6
2024/25;Alle utdanningsprogram;Totalt;Greveskogen videregående skole;842;826;9,6%;9,8;40,0
2024/25;IM;vg 1;Greveskogen videregående skole;31;31;7,7%;4,6;51,3
2024/25;MD;vg 1;Greveskogen videregående skole;31;31;8,0%;8,6;34,3
2024/25;RM;vg 1;Greveskogen videregående skole;36;32;11,6%;6,8;78,7
2024/25;SR;vg 1;Greveskogen videregående skole;46;45;18,0%;20,8;68,9
2024/25;ST;vg 1;Greveskogen videregående skole;185;181;7,5%;7,7;29,2
2024/25;Alle utdanningsprogram;vg 1;Greveskogen videregående skole;329;320;9,5%;9,2;42,4
2024/25;IM;vg 2;Greveskogen videregående skole;32;30;4,2%;5,8;11,1
2024/25;MD;vg 2;Greveskogen videregående skole;21;21;9,9%;12,0;35,0
2024/25;RM;vg 2;Greveskogen videregående skole;26;25;6,1%;9,0;13,7
2024/25;SR;vg 2;Greveskogen videregående skole;32;30;15,2%;20,1;45,3
2024/25;ST;vg 2;Greveskogen videregående skole;195;194;9,2%;7,9;42,2
2024/25;Alle utdanningsprogram;vg 2;Greveskogen videregående skole;306;300;9,1%;9,3;36,5
2024/25;MD;vg 3;Greveskogen videregående skole;20;20;8,9%;8,2;45,2
2024/25;ST;vg 3;Greveskogen videregående skole;187;186;11,0%;11,6;40,9
2024/25;Alle utdanningsprogram;vg 3;Greveskogen videregående skole;207;206;10,8%;11,3;41,3
2024/25;BA;Totalt;Færder videregående skole;135;125;6,2%;7,5;21,5
2024/25;EL;Totalt;Færder videregående skole;124;121;5,3%;7,2;14,5
2024/25;KD;Totalt;Færder videregående skole;99;97;7,9%;10,0;25,5
2024/25;PB;Totalt;Færder videregående skole;145;137;8,0%;10,9;17,1
2024/25;TP;Totalt;Færder videregående skole;162;150;6,6%;9,7;15,1
2024/25;Alle utdanningsprogram;Totalt;Færder videregående skole;665;630;6,8%;9,1;18,3
2024/25;BA;vg 1;Færder videregående skole;73;67;5,9%;7,0;21,5
