ProgramomraadeNivaa;Utdanningsprogramvariantkode;Programomraadekode;UtdanningsprogramvariantNavn;ProgramomraadeNavn;Andel;År;Opplæringstype
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;5,6;2018-19;Fagopplæring i skole
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;7,3;2019-20;Fagopplæring i skole
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;2,5;2020-21;Fagopplæring i skole
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;6;2021-22;Fagopplæring i skole
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;5,5;2022-23;Fagopplæring i skole
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;4,4;2023-24;Fagopplæring i skole
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;4,5;2024-25;Fagopplæring i skole
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;6,9;2017-18;Lærekandidat
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;5,3;2018-19;Lærekandidat
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;4,6;2019-20;Lærekandidat
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;4;2020-21;Lærekandidat
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;4,2;2021-22;Lærekandidat
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;3,9;2022-23;Lærekandidat
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;6;2023-24;Lærekandidat
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;6,4;2024-25;Lærekandidat
