Skoleår;Utdanningsprogram;Nivå;Skole;B;H;I;M;S
2023/24;Alle utdanningsprogram;Totalt;Vestfold fylkeskommune Privatisteksamen;0;4;0;0;0
2023/24;EL;Totalt;Vestfold fylkeskommune Privatisteksamen;0;1;0;0;0
2023/24;FD;Totalt;Vestfold fylkeskommune Privatisteksamen;0;1;0;0;0
2023/24;PB;Totalt;Vestfold fylkeskommune Privatisteksamen;0;1;0;0;0
2023/24;TP;Totalt;Vestfold fylkeskommune Privatisteksamen;0;1;0;0;0
2023/24;Alle utdanningsprogram;vg 3;Vestfold fylkeskommune Privatisteksamen;0;4;0;0;0
2023/24;EL;vg 3;Vestfold fylkeskommune Privatisteksamen;0;1;0;0;0
2023/24;FD;vg 3;Vestfold fylkeskommune Privatisteksamen;0;1;0;0;0
2023/24;PB;vg 3;Vestfold fylkeskommune Privatisteksamen;0;1;0;0;0
2023/24;TP;vg 3;Vestfold fylkeskommune Privatisteksamen;0;1;0;0;0
2023/24;Alle utdanningsprogram;Totalt;Vestfold;6 612;273;357;414;263
2023/24;BA;Totalt;Vestfold;300;21;20;18;27
2023/24;EL;Totalt;Vestfold;354;20;21;9;5
2023/24;FD;Totalt;Vestfold;101;5;6;19;22
2023/24;HS;Totalt;Vestfold;638;41;45;44;45
2023/24;ID;Totalt;Vestfold;545;5;21;17;7
2023/24;IM;Totalt;Vestfold;137;5;3;5;4
2023/24;KD;Totalt;Vestfold;143;17;12;12;9
2023/24;MD;Totalt;Vestfold;224;15;5;14;10
2023/24;ME;Totalt;Vestfold;139;11;10;7;7
2023/24;NA;Totalt;Vestfold;67;4;1;4;1
2023/24;PB;Totalt;Vestfold;386;15;24;24;20
2023/24;RM;Totalt;Vestfold;91;5;7;21;15
2023/24;SR;Totalt;Vestfold;287;7;7;29;20
2023/24;ST;Totalt;Vestfold;2 855;67;160;149;41
2023/24;TP;Totalt;Vestfold;345;35;15;42;30
2023/24;Alle utdanningsprogram;vg 1;Vestfold;2 478;151;124;160;152
2023/24;BA;vg 1;Vestfold;159;14;12;12;18
2023/24;EL;vg 1;Vestfold;173;13;9;5;2
2023/24;FD;vg 1;Vestfold;42;2;5;10;14
2023/24;HS;vg 1;Vestfold;315;28;28;24;30
2023/24;ID;vg 1;Vestfold;187;4;5;4;2
2023/24;IM;vg 1;Vestfold;67;3;2;3;3
2023/24;KD;vg 1;Vestfold;41;9;3;3;5
2023/24;MD;vg 1;Vestfold;75;4;1;6;8
2023/24;ME;vg 1;Vestfold;50;9;1;3;3
2023/24;NA;vg 1;Vestfold;37;3;0;1;1
2023/24;RM;vg 1;Vestfold;52;5;3;14;11
