Skoleår;Skole;Utdanningstype;Utdanningsprogram;Nivå;Fagkode;Fag;Antall elever;Karaktersnitt årsslutt;Avvik Stp-Eks
2017/18;Færder videregående skole;YF;BA;vg 2;BYG2002;Bransjelære;24;4,48;-
2017/18;Færder videregående skole;YF;BA;vg 2;KEM2002;Bransjelære;8;-;-
2017/18;Færder videregående skole;YF;BA;vg 1;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;4;-;-0,67
2017/18;Færder videregående skole;YF;BA;vg 1;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;57;4,63;-
2017/18;Færder videregående skole;YF;BA;vg 2;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;32;4,83;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1155;Grunnleggende norsk for språklige minoriteter, nivå 2, vg1 yrkesfaglige utdanningsprogram;2;-;-
2017/18;Færder videregående skole;YF;BA;vg 2;NOR1155;Grunnleggende norsk for språklige minoriteter, nivå 2, vg1 yrkesfaglige utdanningsprogram;1;-;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1159;Grunnleggende norsk for språklige minoriteter, nivå 3, vg1 yrkesfaglige utdanningsprogram;2;-;-
2017/18;Færder videregående skole;YF;BA;vg 1;KRO1004;Kroppsøving vg1;55;3,84;-
2017/18;Færder videregående skole;YF;BA;vg 2;KRO1005;Kroppsøving vg2;32;3,13;-
2017/18;Færder videregående skole;YF;BA;vg 1;MAT1001;Matematikk 1P-Y;57;3,36;-0,08
2017/18;Færder videregående skole;YF;BA;vg 1;MAT1013;Matematikk 1T;4;-;-
2017/18;Færder videregående skole;YF;BA;vg 1;NAT1002;Naturfag, vg1 studieforberedende utdanningsprogram;4;4,57;-
2017/18;Færder videregående skole;YF;BA;vg 1;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;56;3,84;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1407;Norsk for elever i vgo med kort botid i Norge, vg1 yrkesfaglige utdanningsprogram;6;-;-
2017/18;Færder videregående skole;YF;BA;vg 2;NOR1407;Norsk for elever i vgo med kort botid i Norge, vg1 yrkesfaglige utdanningsprogram;3;3,89;-
2017/18;Færder videregående skole;YF;BA;vg 2;NOR1408;Norsk for elever i vgo med kort botid i Norge, vg2 yrkesfaglige utdanningsprogram;1;-;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1201;Norsk hovedmål, vg1 studieforberedende utdanningsprogram, skriftlig;4;4,86;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1202;Norsk sidemål, vg1 studieforberedende utdanningsprogram, skriftlig;4;3,67;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1203;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;4;-;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;51;3,30;-
2017/18;Færder videregående skole;YF;BA;vg 2;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;30;4,23;-
2017/18;Færder videregående skole;YF;BA;vg 1;BAT1001;Produksjon;60;3,88;2,00
2017/18;Færder videregående skole;YF;BA;vg 2;BYG2001;Produksjon;24;3,42;-
2017/18;Færder videregående skole;YF;BA;vg 2;KEM2001;Produksjon;8;-;-
2017/18;Færder videregående skole;YF;BA;vg 2;SAF1001;Samfunnsfag;32;4,00;-
2017/18;Færder videregående skole;YF;BA;vg 1;BAT1002;Tegning og bransjelære;60;4,44;-
2017/18;Færder videregående skole;YF;BA;vg 2;BYG2003;Tverrfaglig eksamen byggteknikk;21;4,28;-
2017/18;Færder videregående skole;YF;BA;vg 2;KEM2003;Tverrfaglig eksamen klima-, energi- og miljøteknikk;7;3,44;-
2017/18;Færder videregående skole;YF;BA;vg 1;YFF4106;Yrkesfaglig fordypning vg1;60;4,43;-
2017/18;Færder videregående skole;YF;BA;vg 2;YFF4209;Yrkesfaglig fordypning vg2;31;4,19;-
2017/18;Færder videregående skole;YF;DH;vg 2;DTE2002;Design og produktutvikling;9;-;-
2017/18;Færder videregående skole;YF;DH;vg 1;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;22;3,44;-
2017/18;Færder videregående skole;YF;DH;vg 2;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;22;4,73;-2,08
2017/18;Færder videregående skole;YF;DH;vg 3;INT3001;Interiørarbeid;6;5,25;-
2017/18;Færder videregående skole;YF;DH;vg 1;KRO1004;Kroppsøving vg1;22;-;-
2017/18;Færder videregående skole;YF;DH;vg 2;KRO1005;Kroppsøving vg2;22;2,70;-
2017/18;Færder videregående skole;YF;DH;vg 3;KRO1006;Kroppsøving vg3;6;4,75;-
2017/18;Færder videregående skole;YF;DH;vg 1;DHV1002;Kvalitet og dokumentasjon;23;3,06;-
2017/18;Færder videregående skole;YF;DH;vg 1;MAT1001;Matematikk 1P-Y;22;5,13;-
2017/18;Færder videregående skole;YF;DH;vg 2;REA3022;Matematikk R1;1;-;-
2017/18;Færder videregående skole;YF;DH;vg 1;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;22;4,09;-
2017/18;Færder videregående skole;YF;DH;vg 1;NOR1407;Norsk for elever i vgo med kort botid i Norge, vg1 yrkesfaglige utdanningsprogram;2;-;-
2017/18;Færder videregående skole;YF;DH;vg 2;NOR1407;Norsk for elever i vgo med kort botid i Norge, vg1 yrkesfaglige utdanningsprogram;1;-;-
2017/18;Færder videregående skole;YF;DH;vg 2;NOR1408;Norsk for elever i vgo med kort botid i Norge, vg2 yrkesfaglige utdanningsprogram;1;-;-
2017/18;Færder videregående skole;YF;DH;vg 1;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;21;3,31;-
2017/18;Færder videregående skole;YF;DH;vg 2;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;22;4,33;-
2017/18;Færder videregående skole;YF;DH;vg 3;INT3002;Presentasjon;6;2,00;-
2017/18;Færder videregående skole;YF;DH;vg 1;DHV1001;Produksjon;23;4,11;-
2017/18;Færder videregående skole;YF;DH;vg 2;IUD2001;Produksjon;13;4,70;-
2017/18;Færder videregående skole;YF;DH;vg 2;DTE2001;Produksjon og materialer;9;4,41;-
2017/18;Færder videregående skole;YF;DH;vg 2;IUD2002;Produktdesign;13;4,20;-
2017/18;Færder videregående skole;YF;DH;vg 2;SAF1001;Samfunnsfag;22;3,43;-
2017/18;Færder videregående skole;YF;DH;vg 2;DTE2003;Tverrfaglig eksamen design og tekstil;8;3,13;-
2017/18;Færder videregående skole;YF;DH;vg 3;INT3003;Tverrfaglig eksamen interiør;5;3,67;-
2017/18;Færder videregående skole;YF;DH;vg 2;IUD2003;Tverrfaglig eksamen interiør og utstillingsdesign;13;4,13;-
2017/18;Færder videregående skole;YF;DH;vg 1;YFF4106;Yrkesfaglig fordypning vg1;23;3,75;-
2017/18;Færder videregående skole;YF;DH;vg 2;YFF4209;Yrkesfaglig fordypning vg2;22;3,50;-
2017/18;Færder videregående skole;YF;EL;vg 1;ELE1003;Automatiseringssystemer;49;4,22;-
2017/18;Færder videregående skole;YF;EL;vg 2;ELE2002;Automatiseringssystemer;32;4,11;-
2017/18;Færder videregående skole;YF;EL;vg 3;MEL3003;Automatiserte systemer;16;3,27;-
2017/18;Færder videregående skole;YF;EL;vg 1;ELE1001;Data- og elektronikksystemer;49;3,44;-
2017/18;Færder videregående skole;YF;EL;vg 2;DEL2001;Data- og elektronikksystemer;11;-;-
2017/18;Færder videregående skole;YF;EL;vg 2;ELE2003;Data- og elektronikksystemer;32;3,40;-
2017/18;Færder videregående skole;YF;EL;vg 3;ELE3002;Elektrikerfaget, skriftlig;15;4,48;-
2017/18;Færder videregående skole;YF;EL;vg 2;DEL2002;Elektronisk infrastruktur;11;4,52;-
2017/18;Færder videregående skole;YF;EL;vg 2;KVT2002;Elenergi- og automatiseringssystemer;7;3,92;-
2017/18;Færder videregående skole;YF;EL;vg 1;ELE1002;Elenergisystemer;49;4,39;-
2017/18;Færder videregående skole;YF;EL;vg 2;ELE2001;Elenergisystemer;32;4,08;-
2017/18;Færder videregående skole;YF;EL;vg 3;MEL3001;Elenergisystemer;16;3,57;-
2017/18;Færder videregående skole;YF;EL;vg 1;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;1;-;-1,00
2017/18;Færder videregående skole;YF;EL;vg 1;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;48;4,67;-
2017/18;Færder videregående skole;YF;EL;vg 2;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;50;4,18;-
2017/18;Færder videregående skole;YF;EL;vg 1;KRO1004;Kroppsøving vg1;48;3,96;-
2017/18;Færder videregående skole;YF;EL;vg 2;KRO1005;Kroppsøving vg2;50;4,12;-
2017/18;Færder videregående skole;YF;EL;vg 3;KRO1006;Kroppsøving vg3;16;3,50;-
2017/18;Færder videregående skole;YF;EL;vg 2;KVT2001;Kulde- og varmepumpesystemer;7;-;-
2017/18;Færder videregående skole;YF;EL;vg 1;MAT1001;Matematikk 1P-Y;43;4,04;-
2017/18;Færder videregående skole;YF;EL;vg 3;MAT1001;Matematikk 1P-Y;1;-;-
2017/18;Færder videregående skole;YF;EL;vg 1;MAT1013;Matematikk 1T;7;-;-
2017/18;Færder videregående skole;YF;EL;vg 2;REA3022;Matematikk R1;7;4,54;-
2017/18;Færder videregående skole;YF;EL;vg 1;NAT1002;Naturfag, vg1 studieforberedende utdanningsprogram;1;-;-
2017/18;Færder videregående skole;YF;EL;vg 1;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;48;3,76;-
2017/18;Færder videregående skole;YF;EL;vg 1;NOR1407;Norsk for elever i vgo med kort botid i Norge, vg1 yrkesfaglige utdanningsprogram;1;-;-
2017/18;Færder videregående skole;YF;EL;vg 1;NOR1201;Norsk hovedmål, vg1 studieforberedende utdanningsprogram, skriftlig;1;4,43;-
2017/18;Færder videregående skole;YF;EL;vg 1;NOR1202;Norsk sidemål, vg1 studieforberedende utdanningsprogram, skriftlig;1;-;-
2017/18;Færder videregående skole;YF;EL;vg 1;NOR1203;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;1;-;-
2017/18;Færder videregående skole;YF;EL;vg 1;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;47;4,48;-
2017/18;Færder videregående skole;YF;EL;vg 2;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;50;4,20;-0,47
2017/18;Færder videregående skole;YF;EL;vg 3;MEL3004;Organisasjon og ledelse;16;-;-
2017/18;Færder videregående skole;YF;EL;vg 2;SAF1001;Samfunnsfag;50;4,21;-
2017/18;Færder videregående skole;YF;EL;vg 3;MEL3002;Tele-, data- og sikkerhetssystemer;16;3,44;-
2017/18;Færder videregående skole;YF;EL;vg 3;MEL3005;Tverrfaglig eksamen;15;3,82;-
2017/18;Færder videregående skole;YF;EL;vg 2;ELE2004;Tverrfaglig eksamen elenergi;32;4,27;-
2017/18;Færder videregående skole;YF;EL;vg 2;DEL2003;Tverrfaglig eksamen i data og elektronikk;10;4,56;-
2017/18;Færder videregående skole;YF;EL;vg 2;KVT2003;Tverrfaglig eksamen i kulde- og varmepumpeteknikk;6;-;-
2017/18;Færder videregående skole;YF;EL;vg 1;YFF4106;Yrkesfaglig fordypning vg1;48;3,50;-
2017/18;Færder videregående skole;YF;EL;vg 3;YFF4106;Yrkesfaglig fordypning vg1;1;-;-
2017/18;Færder videregående skole;YF;EL;vg 2;YFF4209;Yrkesfaglig fordypning vg2;50;4,11;-
2017/18;Færder videregående skole;SF;KD;vg 1;KDA2004;Design og arkitektur 1;32;4,36;-
2017/18;Færder videregående skole;SF;KD;vg 2;KDA2005;Design og arkitektur 2;26;4,27;-
2017/18;Færder videregående skole;SF;KD;vg 1;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;32;4,32;-1,10
2017/18;Færder videregående skole;SF;KD;vg 2;KDA3004;Foto og grafikk 1;11;3,46;-
2017/18;Færder videregående skole;SF;KD;vg 1;FSP5022;Fransk II, 1. år;4;-;-
2017/18;Færder videregående skole;SF;KD;vg 2;GEO1001;Geografi;26;5,15;-
2017/18;Færder videregående skole;SF;KD;vg 2;HIS1001;Historie vg2 studieforberedende utdanningsprogram;26;4,09;-
2017/18;Færder videregående skole;SF;KD;vg 1;KRO1004;Kroppsøving vg1;32;3,91;-
2017/18;Færder videregående skole;SF;KD;vg 2;KRO1005;Kroppsøving vg2;26;4,85;-
2017/18;Færder videregående skole;SF;KD;vg 2;KDA3001;Kunst og skapende arbeid;15;-;-
2017/18;Færder videregående skole;SF;KD;vg 1;KDA2001;Kunst og visuelle virkemidler 1;32;4,10;-
2017/18;Færder videregående skole;SF;KD;vg 2;KDA2002;Kunst og visuelle virkemidler 2;26;4,30;-
2017/18;Færder videregående skole;SF;KD;vg 1;MAT1011;Matematikk 1P;26;3,88;-
2017/18;Færder videregående skole;SF;KD;vg 1;MAT1013;Matematikk 1T;16;4,60;-
2017/18;Færder videregående skole;SF;KD;vg 2;MAT1015;Matematikk 2P;23;4,23;-
2017/18;Færder videregående skole;SF;KD;vg 2;REA3022;Matematikk R1;4;-;-
2017/18;Færder videregående skole;SF;KD;vg 1;NAT1002;Naturfag, vg1 studieforberedende utdanningsprogram;32;3,55;-
2017/18;Færder videregående skole;SF;KD;vg 1;NOR1201;Norsk hovedmål, vg1 studieforberedende utdanningsprogram, skriftlig;32;3,65;-
2017/18;Færder videregående skole;SF;KD;vg 2;NOR1208;Norsk hovedmål, vg2 studieforberedende utdanningsprogram, skriftlig;26;4,59;-
2017/18;Færder videregående skole;SF;KD;vg 1;NOR1202;Norsk sidemål, vg1 studieforberedende utdanningsprogram, skriftlig;32;3,58;-
2017/18;Færder videregående skole;SF;KD;vg 2;NOR1209;Norsk sidemål, vg2 studieforberedende utdanningsprogram, skriftlig;26;4,46;-
2017/18;Færder videregående skole;SF;KD;vg 1;NOR1203;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;32;3,97;-
2017/18;Færder videregående skole;SF;KD;vg 2;NOR1210;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;26;4,33;-
2017/18;Færder videregående skole;SF;KD;vg 2;SAF1001;Samfunnsfag;26;3,50;-
2017/18;Færder videregående skole;SF;KD;vg 2;FSP5092;Spansk I;2;-;-2,00
2017/18;Færder videregående skole;SF;KD;vg 1;FSP5091;Spansk I, 1. år;9;3,82;-
2017/18;Færder videregående skole;SF;KD;vg 1;FSP5096;Spansk I+II, 1. år;5;-;-
2017/18;Færder videregående skole;SF;KD;vg 2;FSP5097;Spansk I+II, 2. år;2;-;-
2017/18;Færder videregående skole;SF;KD;vg 2;FSP5095;Spansk II;7;5,46;-1,43
2017/18;Færder videregående skole;SF;KD;vg 1;FSP5094;Spansk II, 1. år;4;-;-
2017/18;Færder videregående skole;SF;KD;vg 2;REA3018;Teknologi og forskningslære 1;1;-;-
2017/18;Færder videregående skole;SF;KD;vg 2;FOR3003;Trykk og foto;11;4,50;-
2017/18;Færder videregående skole;SF;KD;vg 2;FSP5119;Tysk I;9;-;-1,13
2017/18;Færder videregående skole;SF;KD;vg 1;FSP5118;Tysk I, 1. år;7;3,60;-
2017/18;Færder videregående skole;SF;KD;vg 1;FSP5123;Tysk I+II, 1. år;1;-;-
2017/18;Færder videregående skole;SF;KD;vg 2;FSP5124;Tysk I+II, 2. år;3;-;-
2017/18;Færder videregående skole;SF;KD;vg 2;FSP5122;Tysk II;2;4,62;-0,50
2017/18;Færder videregående skole;PB;PB;vg 3;CNC3011;CNC-maskineringsfaget;1;2,67;-
2017/18;Færder videregående skole;PB;PB;vg 3;SAM3028;Entreprenørskap og bedriftsutvikling 1;25;3,49;-
2017/18;Færder videregående skole;PB;PB;vg 3;REA3004;Fysikk 1;12;-;-
2017/18;Færder videregående skole;PB;PB;vg 3;HIS1003;Historie vg3 påbygging til generell studiekompetanse;163;3,43;-
2017/18;Færder videregående skole;PB;PB;vg 3;ISF3001;IKT-servicefaget;1;-;-
2017/18;Færder videregående skole;PB;PB;vg 3;IKO3001;Institusjonskokkfaget;1;-;-
2017/18;Færder videregående skole;PB;PB;vg 3;KAD3001;Kontor- og administrasjonsfaget;1;-;-
2017/18;Færder videregående skole;PB;PB;vg 3;KRO1005;Kroppsøving vg2;1;-;-
2017/18;Færder videregående skole;PB;PB;vg 3;KRO1006;Kroppsøving vg3;59;2,83;-
2017/18;Færder videregående skole;PB;PB;vg 3;MAT1015;Matematikk 2P;3;-;-1,00
2017/18;Færder videregående skole;PB;PB;vg 3;MAT1005;Matematikk 2P-Y;153;3,57;-0,58
2017/18;Færder videregående skole;PB;PB;vg 3;MAT1105;Matematikk 2P-Y, muntlig;19;4,33;-
2017/18;Færder videregående skole;PB;PB;vg 3;REA3022;Matematikk R1;10;4,83;-0,71
2017/18;Færder videregående skole;PB;PB;vg 3;REA3024;Matematikk R2;11;2,94;-1,83
2017/18;Færder videregående skole;PB;PB;vg 3;MGR3001;Mediegrafikerfaget;1;-;-
2017/18;Færder videregående skole;PB;PB;vg 3;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;1;-;-
2017/18;Færder videregående skole;PB;PB;vg 3;NAT1003;Naturfag, vg3 påbygging til generell studiekompetanse;154;3,44;-
2017/18;Færder videregående skole;PB;PB;vg 3;NOR1411;Norsk for elever i vgo med kort botid i Norge, vg3 påbygging til generell studiekompetanse, muntlig;6;-;-
2017/18;Færder videregående skole;PB;PB;vg 3;NOR1410;Norsk for elever i vgo med kort botid i Norge, vg3 påbygging til generell studiekompetanse, skriftlig;6;-;-0,17
2017/18;Færder videregående skole;PB;PB;vg 3;NOR1231;Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig;154;3,48;-0,69
2017/18;Færder videregående skole;PB;PB;vg 3;NOR1211;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;15;3,33;-0,27
2017/18;Færder videregående skole;PB;PB;vg 3;NOR1212;Norsk sidemål,  vg3 studieforberedende utdanningsprogram, skriftlig;15;3,70;-0,63
2017/18;Færder videregående skole;PB;PB;vg 3;NOR1232;Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig;154;3,53;-0,50
2017/18;Færder videregående skole;PB;PB;vg 3;NOR1233;Norsk, vg3 påbygging til generell studiekompetanse, muntlig;154;3,64;-
2017/18;Færder videregående skole;PB;PB;vg 3;NOR1213;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;15;3,89;-
2017/18;Færder videregående skole;PB;PB;vg 3;PLA3001;Platearbeiderfaget;2;5,00;-
2017/18;Færder videregående skole;PB;PB;vg 3;PRO3001;Produksjonselektronikerfaget;1;-;-
2017/18;Færder videregående skole;PB;PB;vg 3;PIN2002;Reparasjon og vedlikehold;1;-;-
2017/18;Færder videregående skole;PB;PB;vg 3;SLG3001;Salgsfaget;1;-;-
2017/18;Færder videregående skole;PB;PB;vg 3;SAF1001;Samfunnsfag;9;3,33;-
2017/18;Færder videregående skole;PB;PB;vg 3;SPR3011;Samfunnsfaglig engelsk, muntlig;11;3,38;-
2017/18;Færder videregående skole;PB;PB;vg 3;SPR3010;Samfunnsfaglig engelsk, skriftlig;11;-;-1,10
2017/18;Færder videregående skole;PB;PB;vg 3;REA3018;Teknologi og forskningslære 1;18;4,17;-
2017/18;Færder videregående skole;PB;PB;vg 3;FOR3003;Trykk og foto;3;-;-
2017/18;Færder videregående skole;PB;PB;vg 3;TMF3001;Tømrerfaget;3;4,89;-
2017/18;Færder videregående skole;PB;PB;vg 3;YFF4209;Yrkesfaglig fordypning vg2;1;3,17;-
2017/18;Færder videregående skole;SF;ST;vg 3;FOR2006;Design og arkitektur 3;8;-;-
2017/18;Færder videregående skole;SF;ST;vg 3;SAM3028;Entreprenørskap og bedriftsutvikling 1;7;5,00;-
2017/18;Færder videregående skole;SF;ST;vg 3;HIS1002;Historie vg3 studieforberedende utdanningsprogram;8;-;-
2017/18;Færder videregående skole;SF;ST;vg 3;KRO1006;Kroppsøving vg3;8;2,64;-
2017/18;Færder videregående skole;SF;ST;vg 3;NOR1406;Norsk for elever i vgo med kort botid i Norge, vg3 studieforberedende utdanningsprogram, muntlig;1;-;-
2017/18;Færder videregående skole;SF;ST;vg 3;NOR1405;Norsk for elever i vgo med kort botid i Norge, vg3 studieforberedende utdanningsprogram, skriftlig;1;-;-1,00
2017/18;Færder videregående skole;SF;ST;vg 3;NOR1211;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;8;-;0,71
2017/18;Færder videregående skole;SF;ST;vg 3;NOR1212;Norsk sidemål,  vg3 studieforberedende utdanningsprogram, skriftlig;8;4,08;-0,67
2017/18;Færder videregående skole;SF;ST;vg 3;NOR1213;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;8;-;-
2017/18;Færder videregående skole;SF;ST;vg 3;REL1001;Religion og etikk;8;4,17;-
2017/18;Færder videregående skole;SF;ST;vg 3;SPR3011;Samfunnsfaglig engelsk, muntlig;1;-;-
2017/18;Færder videregående skole;SF;ST;vg 3;SPR3010;Samfunnsfaglig engelsk, skriftlig;1;-;-
2017/18;Færder videregående skole;SF;ST;vg 3;FSP5098;Spansk I+II;2;-;-2,00
2017/18;Færder videregående skole;SF;ST;vg 3;REA3018;Teknologi og forskningslære 1;3;-;-
2017/18;Færder videregående skole;SF;ST;vg 3;FOR3003;Trykk og foto;3;-;-
2017/18;Færder videregående skole;SF;ST;vg 3;FOR2003;Visuelle kunstfag 3;8;5,21;-
2017/18;Færder videregående skole;YF;TP;vg 2;MAR2008;Dekk;28;-;-
2017/18;Færder videregående skole;YF;TP;vg 1;TIP1003;Dokumentasjon og kvalitet;69;4,04;-
2017/18;Færder videregående skole;YF;TP;vg 2;BLK2002;Dokumentasjon og kvalitet;12;4,20;-
2017/18;Færder videregående skole;YF;TP;vg 2;KJT2002;Dokumentasjon og kvalitet;31;3,26;-
2017/18;Færder videregående skole;YF;TP;vg 2;MAR2007;Dokumentasjon og kvalitet;30;4,08;-
2017/18;Færder videregående skole;YF;TP;vg 2;PIN2003;Dokumentasjon og kvalitet;15;3,73;-
2017/18;Færder videregående skole;YF;TP;vg 2;MAR2005;Drift og operasjon;30;4,67;-
2017/18;Færder videregående skole;YF;TP;vg 1;ENG0030;Engelsk 10. årstrinn;1;-;-
2017/18;Færder videregående skole;YF;TP;vg 1;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;9;-;-1,00
2017/18;Færder videregående skole;YF;TP;vg 1;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;57;3,30;-
2017/18;Færder videregående skole;YF;TP;vg 1;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;1;-;-
2017/18;Færder videregående skole;YF;TP;vg 2;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;89;3,99;-
2017/18;Færder videregående skole;YF;TP;vg 1;NOR1159;Grunnleggende norsk for språklige minoriteter, nivå 3, vg1 yrkesfaglige utdanningsprogram;1;-;-
2017/18;Færder videregående skole;YF;TP;vg 2;BLK2001;Karosseri- og lakkteknikk;12;3,44;-
2017/18;Færder videregående skole;YF;TP;vg 1;KRO1004;Kroppsøving vg1;57;3,73;-
2017/18;Færder videregående skole;YF;TP;vg 2;KRO1005;Kroppsøving vg2;89;3,28;-
2017/18;Færder videregående skole;YF;TP;vg 2;MAR2009;Maskin;28;4,27;-
2017/18;Færder videregående skole;YF;TP;vg 1;MAT1011;Matematikk 1P;2;-;-
2017/18;Færder videregående skole;YF;TP;vg 1;MAT1001;Matematikk 1P-Y;58;3,61;-0,33
2017/18;Færder videregående skole;YF;TP;vg 1;MAT1013;Matematikk 1T;9;5,00;-
2017/18;Færder videregående skole;YF;TP;vg 1;NAT1002;Naturfag, vg1 studieforberedende utdanningsprogram;9;4,86;-
2017/18;Færder videregående skole;YF;TP;vg 1;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;58;3,33;-
2017/18;Færder videregående skole;YF;TP;vg 1;NOR1407;Norsk for elever i vgo med kort botid i Norge, vg1 yrkesfaglige utdanningsprogram;4;-;-
2017/18;Færder videregående skole;YF;TP;vg 2;NOR1408;Norsk for elever i vgo med kort botid i Norge, vg2 yrkesfaglige utdanningsprogram;5;3,67;-
2017/18;Færder videregående skole;YF;TP;vg 1;NOR1201;Norsk hovedmål, vg1 studieforberedende utdanningsprogram, skriftlig;9;-;-
2017/18;Færder videregående skole;YF;TP;vg 1;NOR1202;Norsk sidemål, vg1 studieforberedende utdanningsprogram, skriftlig;9;-;-
2017/18;Færder videregående skole;YF;TP;vg 1;NOR1203;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;9;-;-
2017/18;Færder videregående skole;YF;TP;vg 1;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;55;3,15;-
2017/18;Færder videregående skole;YF;TP;vg 2;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;85;3,97;-
2017/18;Færder videregående skole;YF;TP;vg 1;TIP1001;Produksjon;69;3,92;-
2017/18;Færder videregående skole;YF;TP;vg 2;PIN2001;Produksjon;15;-;-
2017/18;Færder videregående skole;YF;TP;vg 2;PIN2002;Reparasjon og vedlikehold;15;3,80;-
2017/18;Færder videregående skole;YF;TP;vg 2;SAF1001;Samfunnsfag;89;3,42;-
2017/18;Færder videregående skole;YF;TP;vg 2;MAR2006;Skipstekniske tjenester;30;3,36;-
2017/18;Færder videregående skole;YF;TP;vg 1;TIP1002;Tekniske tjenester;69;3,56;-
2017/18;Færder videregående skole;YF;TP;vg 2;BLK2003;Tverrfaglig eksamen bilskade, lakk og karosseri;12;3,79;-
2017/18;Færder videregående skole;YF;TP;vg 2;PIN2004;Tverrfaglig eksamen industriteknologi;13;-;-
2017/18;Færder videregående skole;YF;TP;vg 2;KJT2003;Tverrfaglig eksamen kjøretøy;25;3,39;-
2017/18;Færder videregående skole;YF;TP;vg 2;MAR2010;Tverrfaglig eksamen maritime fag, dekk;16;4,45;-
2017/18;Færder videregående skole;YF;TP;vg 2;MAR2011;Tverrfaglig eksamen maritime fag, maskin;13;-;-
2017/18;Færder videregående skole;YF;TP;vg 2;KJT2001;Verkstedarbeid;31;4,21;-
2017/18;Færder videregående skole;YF;TP;vg 1;YFF4106;Yrkesfaglig fordypning vg1;69;3,61;-
2017/18;Færder videregående skole;YF;TP;vg 2;YFF4209;Yrkesfaglig fordypning vg2;89;3,99;-
2017/18;Greveskogen videregående skole;SF;MD;vg 1;MDD3001;Bevegelse;16;4,56;-
2017/18;Greveskogen videregående skole;SF;MD;vg 3;DRA2009;Drama og samfunn;12;4,21;-
2017/18;Greveskogen videregående skole;SF;MD;vg 1;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;30;3,88;-
2017/18;Greveskogen videregående skole;SF;MD;vg 2;MUS2001;Ergonomi og bevegelse 1;17;4,45;-
2017/18;Greveskogen videregående skole;SF;MD;vg 3;MUS2002;Ergonomi og bevegelse 2;16;3,85;-
2017/18;Greveskogen videregående skole;SF;MD;vg 2;FSP5020;Fransk I;4;-;-
2017/18;Greveskogen videregående skole;SF;MD;vg 1;FSP5019;Fransk I, 1. år;4;3,00;-
2017/18;Greveskogen videregående skole;SF;MD;vg 2;FSP5023;Fransk II;8;-;-
2017/18;Greveskogen videregående skole;SF;MD;vg 1;FSP5022;Fransk II, 1. år;3;-;-
2017/18;Greveskogen videregående skole;SF;MD;vg 2;FSP5027;Fransk II, muntlig;3;-;-
2017/18;Greveskogen videregående skole;SF;MD;vg 2;GEO1001;Geografi;33;4,07;-
2017/18;Greveskogen videregående skole;SF;MD;vg 2;HIS1001;Historie vg2 studieforberedende utdanningsprogram;33;3,91;-
