Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever 2023/24;Elevgrunnlag for totalfravær 2023/24;Totalfravær (%) i 2023/24;Antall fraværsdager i 2023/24;Antall fraværtimer i 2023/24
2023/24;FD;vg1;Horten videregående skole;31;22;11,9%;13,5;45,7
2023/24;FD;vg1;Sandefjord videregående skole;42;37;15,4%;16,1;66,5
2023/24;FD;vg2;Vestfold;60;52;10,4%;11,7;40,1
2023/24;FD;vg2;Horten videregående skole;14;14;17,8%;27,7;29,3
2023/24;FD;vg2;Sandefjord videregående skole;46;38;7,6%;5,8;44,1
2023/24;FD;vg3;Vestfold;20;19;7,1%;10,5;14,8
2023/24;FD;vg3;Eksamenskontoret i Vestfold;1;0;0,0%;0,0;0,0
2023/24;FD;vg3;Sandefjord videregående skole;19;19;7,1%;10,5;14,8
2023/24;HS;Totalt;Vestfold;813;768;9,9%;12,3;32,2
2023/24;HS;vg1;Vestfold;425;395;9,8%;12,5;30,4
2023/24;HS;vg1;Holmestrand videregående skole;18;17;15,8%;19,3;53,5
2023/24;HS;vg1;Horten videregående skole;78;78;9,3%;12,4;26,0
2023/24;HS;vg1;Nøtterøy videregående skole;48;41;11,6%;15,0;34,7
2023/24;HS;vg1;Re videregående skole;74;73;8,1%;10,6;24,4
2023/24;HS;vg1;Sande videregående skole;37;31;11,3%;16,0;27,0
2023/24;HS;vg1;Sandefjord videregående skole;109;96;10,7%;12,5;39,5
2023/24;HS;vg1;Thor Heyerdahl videregående skole;61;59;7,4%;9,9;21,2
2023/24;HS;vg2;Vestfold;346;332;9,8%;11,6;35,2
2023/24;HS;vg2;Holmestrand videregående skole;13;12;11,0%;12,0;45,3
2023/24;HS;vg2;Horten videregående skole;57;54;10,8%;13,2;36,1
2023/24;HS;vg2;Nøtterøy videregående skole;46;42;8,2%;8,9;33,9
2023/24;HS;vg2;Re videregående skole;64;63;7,7%;10,0;22,8
2023/24;HS;vg2;Sande videregående skole;20;19;6,6%;9,1;17,7
2023/24;HS;vg2;Sandefjord videregående skole;89;85;14,4%;15,4;60,7
2023/24;HS;vg2;Thor Heyerdahl videregående skole;57;57;6,3%;9,0;14,7
2023/24;HS;vg3;Vestfold;42;41;10,6%;15,3;24,2
2023/24;HS;vg3;Nøtterøy videregående skole;15;15;8,4%;12,9;15,0
2023/24;HS;vg3;Sandefjord videregående skole;27;26;11,9%;16,7;29,5
2023/24;ID;Totalt;Vestfold;595;588;5,8%;5,5;27,4
2023/24;ID;vg1;Vestfold;202;200;5,4%;5,6;23,6
2023/24;ID;vg1;Horten videregående skole;29;29;6,5%;5,1;36,9
2023/24;ID;vg1;Re videregående skole;58;58;4,3%;4,9;16,3
2023/24;ID;vg1;Sande videregående skole;23;21;9,5%;11,1;34,9
2023/24;ID;vg1;Sandefjord videregående skole;32;32;3,7%;4,1;14,9
2023/24;ID;vg1;Thor Heyerdahl videregående skole;60;60;5,4%;5,4;24,8
2023/24;ID;vg2;Vestfold;199;198;6,6%;5,9;33,3
2023/24;ID;vg2;Horten videregående skole;30;30;7,8%;7,9;35,0
2023/24;ID;vg2;Re videregående skole;58;57;4,8%;3,2;29,8
2023/24;ID;vg2;Sande videregående skole;21;21;9,0%;8,5;43,9
2023/24;ID;vg2;Sandefjord videregående skole;30;30;7,6%;7,5;35,7
2023/24;ID;vg2;Thor Heyerdahl videregående skole;60;60;6,3%;5,9;30,9
2023/24;ID;vg3;Vestfold;194;190;5,3%;5,0;25,3
2023/24;ID;vg3;Horten videregående skole;31;30;5,2%;5,3;23,3
2023/24;ID;vg3;Re videregående skole;58;57;5,1%;5,1;23,0
2023/24;ID;vg3;Sande videregående skole;19;18;8,0%;10,5;23,4
2023/24;ID;vg3;Sandefjord videregående skole;31;31;3,3%;3,9;11,7
2023/24;ID;vg3;Thor Heyerdahl videregående skole;55;54;5,7%;3,5;37,4
2023/24;IM;Totalt;Vestfold;154;150;6,3%;6,7;26,3
2023/24;IM;vg1;Vestfold;78;75;5,5%;6,2;21,2
2023/24;IM;vg1;Greveskogen videregående skole;31;30;6,4%;9,5;13,3
2023/24;IM;vg1;Horten videregående skole;15;13;4,2%;5,0;14,5
2023/24;IM;vg1;Sandefjord videregående skole;32;32;5,1%;3,5;31,3
2023/24;IM;vg2;Vestfold;76;75;7,0%;7,2;31,4
2023/24;IM;vg2;Greveskogen videregående skole;32;32;7,1%;4,3;47,5
2023/24;IM;vg2;Horten videregående skole;16;16;8,4%;12,4;17,1
2023/24;IM;vg2;Sandefjord videregående skole;28;27;6,2%;7,6;20,9
2023/24;KD;Totalt;Vestfold;193;184;9,4%;11,1;33,7
2023/24;KD;vg1;Vestfold;61;56;8,5%;11,3;24,3
2023/24;KD;vg1;Færder videregående skole;32;30;5,5%;7,1;17,0
2023/24;KD;vg1;Sandefjord videregående skole;29;26;12,0%;16,2;32,7
2023/24;KD;vg2;Vestfold;72;68;8,2%;8,2;37,6
2023/24;KD;vg2;Færder videregående skole;47;45;8,0%;10,1;25,2
2023/24;KD;vg2;Sandefjord videregående skole;25;23;8,7%;4,5;61,7
2023/24;KD;vg3;Vestfold;60;60;11,5%;14,3;38,0
2023/24;KD;vg3;Færder videregående skole;31;31;9,2%;11,7;28,7
2023/24;KD;vg3;Sandefjord videregående skole;29;29;14,0%;17,1;47,8
2023/24;MD;Totalt;Vestfold;269;259;7,6%;6,9;38,1
2023/24;MD;vg1;Vestfold;95;87;5,9%;5,3;30,4
2023/24;MD;vg1;Greveskogen videregående skole;28;23;7,5%;7,3;35,3
2023/24;MD;vg1;Sandefjord videregående skole;40;38;4,5%;3,7;24,1
2023/24;MD;vg1;Thor Heyerdahl videregående skole;27;26;6,7%;5,8;35,3
2023/24;MD;vg2;Vestfold;87;85;8,2%;7,5;41,4
2023/24;MD;vg2;Greveskogen videregående skole;20;19;11,6%;11,4;54,2
2023/24;MD;vg2;Sandefjord videregående skole;43;42;6,2%;4,1;39,0
2023/24;MD;vg2;Thor Heyerdahl videregående skole;24;24;9,1%;10,2;35,3
2023/24;MD;vg3;Vestfold;87;87;8,5%;7,8;42,7
2023/24;MD;vg3;Greveskogen videregående skole;27;27;12,4%;15,1;42,1
2023/24;MD;vg3;Sandefjord videregående skole;42;42;7,7%;4,7;51,1
2023/24;MD;vg3;Thor Heyerdahl videregående skole;18;18;4,6%;4,0;24,1
2023/24;ME;Totalt;Vestfold;174;167;9,0%;11,2;29,4
