Skoleår;Skole;Nivå;Utdanningsprogram;Ant. fraværsdager;Ant. fraværstimer;Totalfravær (%)
2018/19;Thor Heyerdahl videregående skole;vg 2;Idrettsfag;4,3;21,8;4,5%
2019/20;Thor Heyerdahl videregående skole;vg 2;Idrettsfag;2,4;14,9;2,8%
2020/21;Thor Heyerdahl videregående skole;vg 2;Idrettsfag;1,2;16,3;2,3%
2021/22;Thor Heyerdahl videregående skole;vg 2;Idrettsfag;2,5;23,4;3,7%
2022/23;Thor Heyerdahl videregående skole;vg 2;Idrettsfag;5,0;27,7;5,5%
2023/24;Thor Heyerdahl videregående skole;vg 2;Idrettsfag;3,0;11,6;2,8%
2017/18;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;2,6;19,4;3,3%
2018/19;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;4,0;16,4;3,8%
2019/20;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;2,7;20,3;3,5%
2020/21;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;1,4;25,5;3,3%
2021/22;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;1,5;22,7;3,1%
2022/23;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;8,6;31,8;7,9%
2023/24;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;2,4;17,4;3,1%
2017/18;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;5,3;19,3;4,8%
2018/19;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;4,9;10,4;3,7%
2019/20;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;3,5;12,1;3,1%
2020/21;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;0,8;10,8;1,5%
2021/22;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;5,1;20,6;4,8%
2022/23;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;5,4;18,6;4,8%
2023/24;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;4,0;20,1;4,2%
2017/18;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;9,5;24,1;7,6%
2018/19;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;3,6;15,9;3,6%
2019/20;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;2,6;17,7;3,2%
2020/21;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;1,7;37,4;4,7%
2021/22;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;2,0;20,6;3,2%
2022/23;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;3,6;27,6;4,7%
2023/24;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;4,6;13,0;3,8%
2017/18;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;12,9;36,8;10,6%
2018/19;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;6,8;32,1;6,9%
2019/20;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;4,3;24,7;4,8%
2020/21;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;1,3;16,3;2,4%
2021/22;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;4,8;32,7;5,9%
2022/23;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;5,7;28,3;6,0%
2023/24;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;4,3;19,0;4,3%
2017/18;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;4,4;19,1;4,3%
2018/19;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;4,5;21,3;4,6%
2019/20;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;3,5;10,7;3,0%
2020/21;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;0,7;14,6;1,9%
2021/22;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;1,5;22,5;3,1%
2022/23;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;8,1;20,8;6,5%
2023/24;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;2,4;7,4;2,0%
2017/18;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;5,7;18,1;4,9%
2018/19;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;5,2;25,4;5,4%
2019/20;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;3,9;19,9;4,1%
2020/21;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;3,3;16,4;3,4%
2021/22;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;1,3;22,0;2,9%
2022/23;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;1,7;24,4;3,4%
2023/24;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;5,8;18,6;5,0%
2017/18;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;8,0;34,1;7,8%
2018/19;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;4,6;24,6;5,0%
2019/20;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;6,1;14,8;4,8%
2020/21;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;0,7;22,9;2,7%
2021/22;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;1,6;20,5;2,9%
2022/23;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;11,9;31,3;9,6%
2023/24;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;1,9;15,4;2,6%
2017/18;Thor Heyerdahl videregående skole;vg 3;Påbygging;7,2;17,6;5,9%
2018/19;Thor Heyerdahl videregående skole;vg 3;Påbygging;9,1;18,6;6,9%
2019/20;Thor Heyerdahl videregående skole;vg 3;Påbygging;4,6;21,5;4,6%
2020/21;Thor Heyerdahl videregående skole;vg 3;Påbygging;4,2;32,6;5,6%
2021/22;Thor Heyerdahl videregående skole;vg 3;Påbygging;1,3;37,5;4,5%
2022/23;Thor Heyerdahl videregående skole;vg 3;Påbygging;7,8;50,6;9,4%
2023/24;Thor Heyerdahl videregående skole;vg 3;Påbygging;8,3;28,1;7,3%
2017/18;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;7,9;6,8;4,9%
2018/19;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;5,4;9,9;3,9%
2019/20;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;6,4;13,8;4,8%
2020/21;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;9,2;29,9;8,0%
2021/22;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;4,9;8,9;3,5%
2022/23;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;9,2;40,6;9,0%
2023/24;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;7,3;15,8;5,5%
2017/18;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;3,4;15,1;3,4%
2018/19;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;11,7;13,9;7,7%
2019/20;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;3,9;6,3;2,7%
2020/21;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;5,8;18,0;4,9%
2021/22;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;2,4;30,6;4,4%
2022/23;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;10,4;10,8;6,6%
2023/24;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;4,6;4,1;2,9%
2020/21;Thor Heyerdahl videregående skole;vg 1;Salg, service og reiseliv;5,5;23,0;5,3%
2021/22;Thor Heyerdahl videregående skole;vg 1;Salg, service og reiseliv;3,6;29,2;4,9%
2022/23;Thor Heyerdahl videregående skole;vg 1;Salg, service og reiseliv;10,3;37,3;9,3%
2023/24;Thor Heyerdahl videregående skole;vg 1;Salg, service og reiseliv;3,5;14,9;3,4%
2021/22;Thor Heyerdahl videregående skole;vg 2;Salg, service og reiseliv;1,0;22,2;2,8%
2022/23;Thor Heyerdahl videregående skole;vg 2;Salg, service og reiseliv;10,0;43,8;9,8%
2023/24;Thor Heyerdahl videregående skole;vg 2;Salg, service og reiseliv;4,9;21,9;4,8%
2017/18;Thor Heyerdahl videregående skole;vg 1;Service og samferdsel;5,4;20,5;5,0%
2018/19;Thor Heyerdahl videregående skole;vg 1;Service og samferdsel;6,4;23,0;5,8%
2019/20;Thor Heyerdahl videregående skole;vg 1;Service og samferdsel;9,6;20,8;7,3%
2017/18;Thor Heyerdahl videregående skole;vg 2;Service og samferdsel;7,9;18,6;6,1%
2018/19;Thor Heyerdahl videregående skole;vg 2;Service og samferdsel;7,1;15,1;5,4%
2019/20;Thor Heyerdahl videregående skole;vg 2;Service og samferdsel;6,7;9,4;4,5%
2020/21;Thor Heyerdahl videregående skole;vg 2;Service og samferdsel;4,1;48,0;7,1%
2017/18;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;2,8;11,5;2,9%
2018/19;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;2,6;11,9;2,8%
2019/20;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;1,0;3,7;1,0%
2020/21;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;0,6;7,4;1,2%
2021/22;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;0,9;8,6;1,5%
2022/23;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;4,6;16,1;4,4%
2023/24;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;2,7;8,7;2,5%
2017/18;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;2,9;14,2;3,2%
2018/19;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;2,5;17,2;3,4%
2019/20;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;1,8;12,6;2,4%
2020/21;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;0,7;13,2;1,9%
2021/22;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;2,4;24,4;4,2%
2022/23;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;4,6;30,1;6,0%
2023/24;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;2,2;15,0;3,0%
2017/18;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;3,5;16,9;3,9%
2018/19;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;3,4;20,9;4,3%
2019/20;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;3,3;15,8;3,6%
2020/21;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;0,8;14,6;2,2%
2021/22;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;1,9;19,9;3,4%
2022/23;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;6,6;36,3;7,8%
2023/24;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;2,7;17,2;3,5%
2017/18;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;8,4;15,3;6,0%
2018/19;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;4,5;8,5;3,3%
2019/20;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;3,3;15,1;3,3%
2020/21;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;2,8;16,4;3,2%
2021/22;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;0,7;34,4;3,9%
2022/23;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;2,5;32,6;4,7%
2023/24;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;0,7;31,1;3,5%
2017/18;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;2,0;16,1;2,7%
2018/19;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;2,4;26,0;3,9%
2019/20;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;1,9;9,1;2,0%
2020/21;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;3,7;24,8;4,5%
2021/22;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;1,1;12,0;1,8%
2022/23;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;2,6;17,2;3,1%
2023/24;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;2,3;9,7;2,2%
