ProgramomraadeNivaa;Kontraktstype;Fylke;Utdanningsprogramvariantkode;Programomraadekode;UtdanningsprogramvariantNavn;ProgramomraadeNavn;Attributt;Verdi
0;Lærekontrakt;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;2024-25;2 209
0;Fagopplæring i skole;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;2024-25;56
0;Fagbrev på jobb;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;2024-25;62
0;Opplæringskontrakt;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;2024-25;147
2;Lærekontrakt;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;2024-25;639
2;Lærekontrakt;Vestfold;DH;DH;Design og håndverk;Alle programområder;2024-25;3
2;Lærekontrakt;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;2024-25;343
2;Lærekontrakt;Vestfold;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;2024-25;43
2;Lærekontrakt;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;2024-25;299
2;Lærekontrakt;Vestfold;DT;DT;Håndverk, design og produktutvikling;Alle programområder;2024-25;6
2;Lærekontrakt;Vestfold;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;2024-25;81
2;Lærekontrakt;Vestfold;NA;NA;Naturbruk;Alle programområder;2024-25;27
2;Lærekontrakt;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;2024-25;110
2;Lærekontrakt;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;2024-25;163
2;Lærekontrakt;Vestfold;SS;SS;Service og samferdsel;Alle programområder;2024-25;4
2;Lærekontrakt;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;2024-25;491
2;Fagopplæring i skole;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;2024-25;1
2;Fagopplæring i skole;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;2024-25;14
2;Fagopplæring i skole;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;2024-25;29
2;Fagopplæring i skole;Vestfold;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;2024-25;6
2;Fagopplæring i skole;Vestfold;NA;NA;Naturbruk;Alle programområder;2024-25;3
2;Fagopplæring i skole;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;2024-25;0
2;Fagopplæring i skole;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;2024-25;3
2;Fagopplæring i skole;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;2024-25;0
2;Fagbrev på jobb;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;2024-25;15
2;Fagbrev på jobb;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;2024-25;5
2;Fagbrev på jobb;Vestfold;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;2024-25;1
2;Fagbrev på jobb;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;2024-25;17
2;Fagbrev på jobb;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;2024-25;15
2;Fagbrev på jobb;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;2024-25;1
2;Fagbrev på jobb;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;2024-25;8
