Geografi;År;Kjønn;Alder;Utdanningsnivå;andel (prosent);FLAGG
Hele landet;2017;kjønn samlet;25 år +;grunnskole;21.7935619159316;
Hele landet;2017;kjønn samlet;25-29 år;grunnskole;22.3074107659867;
Hele landet;2017;kjønn samlet;30-39 år;grunnskole;19.7923053450788;
Hele landet;2017;kjønn samlet;40-44 år;grunnskole;15.0732482537264;
Hele landet;2017;kjønn samlet;45-74 år;grunnskole;20.8249452214971;
Hele landet;2017;kjønn samlet;75 år +;grunnskole;36.1505551186874;
Hele landet;2017;menn;25 år +;grunnskole;21.617765952675;
Hele landet;2017;menn;25-29 år;grunnskole;25.4124883005749;
Hele landet;2017;menn;30-39 år;grunnskole;22.3946268209523;
Hele landet;2017;menn;40-44 år;grunnskole;15.9437027540781;
Hele landet;2017;menn;45-74 år;grunnskole;20.3017613163143;
Hele landet;2017;menn;75 år +;grunnskole;29.8179487179487;
Hele landet;2017;kvinner;25 år +;grunnskole;21.9690396796839;
Hele landet;2017;kvinner;25-29 år;grunnskole;19.0665453469613;
Hele landet;2017;kvinner;30-39 år;grunnskole;17.0403771625384;
Hele landet;2017;kvinner;40-44 år;grunnskole;14.1508715840755;
Hele landet;2017;kvinner;45-74 år;grunnskole;21.3607404344811;
Hele landet;2017;kvinner;75 år +;grunnskole;40.6584681375345;
Hele landet;2018;kjønn samlet;25 år +;grunnskole;21.5338187467337;
Hele landet;2018;kjønn samlet;25-29 år;grunnskole;22.1175402718693;
Hele landet;2018;kjønn samlet;30-39 år;grunnskole;20.0163083431681;
Hele landet;2018;kjønn samlet;40-44 år;grunnskole;15.7825246516551;
Hele landet;2018;kjønn samlet;45-74 år;grunnskole;20.3864368973839;
Hele landet;2018;kjønn samlet;75 år +;grunnskole;34.5347635047816;
Hele landet;2018;menn;25 år +;grunnskole;21.4923943570513;
Hele landet;2018;menn;25-29 år;grunnskole;25.2279147406266;
Hele landet;2018;menn;30-39 år;grunnskole;22.694201433156;
Hele landet;2018;menn;40-44 år;grunnskole;16.8858371790851;
Hele landet;2018;menn;45-74 år;grunnskole;19.9693360683188;
Hele landet;2018;menn;75 år +;grunnskole;28.4983500374155;
