EnhetNivaa;Nasjonaltkode;Fylkekode;Kommunekode;Organisasjonsnummer;Nasjonalt;Fylke;Kommune;EnhetNavn;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5
4;I;39;3903;931338854;Hele landet;Vestfold;Holmestrand;Klokkerjordet skole;;;;;;;;;;;;;;;;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;48;1,4;109;4,6;27,5;44;19,3;4,6;47;1,4;88;3,4;38,6;44,3;11,4;2,3
3;I;39;3901;3901;Hele landet;Vestfold;Horten;Alle skoler;49;1;306;12,1;15,7;42,8;22,2;7,2;47;1,1;292;15,8;23,6;34,6;20,5;5,5;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;49;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;331;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;9,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;23,3;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;43,2;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;16;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;7,9;46;1,1;302;19,2;26,2;32,5;16,2;6;48;1;302;12,6;24,8;38,7;19,5;4,3
4;I;39;3901;973566911;Hele landet;Vestfold;Horten;Bakkeåsen skole;;;;;;;;;;;0;;;;;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;;;;;;;;;;;;;;;;
4;I;39;3901;974605759;Hele landet;Vestfold;Horten;Borre ungdomsskole;51;1,6;104;5,8;12,5;46,2;27,9;7,7;47;1,8;101;14,9;24,8;36,6;19,8;4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;50;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;1,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;112;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;9,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;18,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;41,1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;20,5;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;9,8;48;1,8;90;12,2;24,4;42,2;15,6;5,6;47;1,7;113;14,2;24,8;38,1;20,4;2,7
4;I;39;3901;974605686;Hele landet;Vestfold;Horten;Holtan ungdomsskole;46;1,9;105;21,9;14,3;42,9;15,2;5,7;48;2;120;18,3;20;33,3;20;8,3;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;47;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;1,4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;127;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;11;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;27,6;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;44,1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;11,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;5,5;45;1,5;134;20,9;27,6;34,3;14,2;3;48;1,6;118;11,9;26,3;39,8;16,1;5,9
4;I;39;3901;974605694;Hele landet;Vestfold;Horten;Orerønningen ungdomsskole;49;1,8;97;8,2;20,6;39,2;23,7;8,2;47;2,1;71;12,7;28,2;33,8;22,5;2,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;46;2,7;78;24,4;25,6;17,9;20,5;11,5;49;2;71;11,3;22,5;38;23,9;4,2
3;I;39;3909;3909;Hele landet;Vestfold;Larvik;Alle skoler;49;0,8;499;10,4;18;42,3;20,8;8,4;49;0,8;557;9,7;22,4;40,4;18,5;9;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;50;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;0,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;550;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;8,5;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;23,6;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;38,4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;18;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;11,5;48;0,8;550;16,2;23,8;35,5;17,3;7,3;48;0,8;515;12,6;23,7;41,4;16,3;6
4;I;39;3909;974584697;Hele landet;Vestfold;Larvik;Brunla ungdomsskole;49;2,4;68;11,8;20,6;33,8;25;8,8;46;1,8;78;15,4;19,2;48,7;11,5;5,1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;50;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;2,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;65;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;10,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;20;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;35,4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;16,9;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;16,9;50;2,2;69;8,7;20,3;44,9;14,5;11,6;49;2,1;69;10,1;27,5;36,2;18,8;7,2
4;I;39;3909;974702444;Hele landet;Vestfold;Larvik;Frøy skole;;;;;;;;;*;*;*;*;*;*;*;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;*;*;*;;;;;;;;*;;;;;
4;I;39;3909;974584700;Hele landet;Vestfold;Larvik;Hedrum ungdomsskole;48;1,5;116;12,9;16,4;46,6;19,8;4,3;48;1,5;127;6,3;29,9;41,7;15;7,1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;48;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;1,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;111;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;12,6;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;24,3;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;39,6;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;17,1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;6,3;45;1,6;136;22,8;25;34,6;14,7;2,9;47;1,6;121;19,8;22,3;36,4;14,9;6,6
4;I;39;3909;915225713;Hele landet;Vestfold;Larvik;Kongshaugen Kristne grunnskole;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;47;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;2,5;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;17;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
4;I;39;3909;974584778;Hele landet;Vestfold;Larvik;Kvelde skole;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;49;2,5;38;2,6;28,9;47,4;15,8;5,3;47;2,1;34;*;29,4;55,9;8,8;*
4;I;39;3909;975271366;Hele landet;Vestfold;Larvik;Lardal skole;*;*;*;*;*;*;*;*;47;3,6;32;15,6;37,5;15,6;21,9;9,4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;49;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;3,4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;25;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;48;3,1;36;*;*;*;*;*;*;*;*;*;*;*;*;*
4;I;39;3909;974584743;Hele landet;Vestfold;Larvik;Mellomhagen ungdomsskole;49;1,9;73;9,6;15,1;47,9;21,9;5,5;50;2,2;69;10,1;15,9;40,6;24,6;8,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;49;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;1,9;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;77;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;6,5;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;24,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;44,2;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;19,5;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;5,2;45;2,1;67;20,9;26,9;38,8;10,4;3;49;1,7;74;5,4;18,9;54,1;16,2;5,4
4;I;39;3909;913998766;Hele landet;Vestfold;Larvik;Mesterfjellet skole;46;2,6;48;14,6;27,1;39,6;12,5;6,3;47;2,7;43;11,6;34,9;37,2;11,6;4,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;48;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;2,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;51;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;9,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;43,1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;23,5;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;13,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;9,8;*;*;*;*;*;*;*;*;44;2,6;42;28,6;21,4;38,1;9,5;2,4
4;I;39;3909;985090254;Hele landet;Vestfold;Larvik;Ra ungdomsskole;50;2;99;11,1;18,2;40,4;19,2;11,1;51;1,7;126;8,7;13,5;39,7;25,4;12,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;52;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;1,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;118;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;4,2;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;16,9;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;39;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;21,2;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;18,6;48;2,1;99;19,2;19,2;30,3;24,2;7,1;48;1,8;88;10,2;22,7;45,5;17;4,5
4;I;39;3909;974584662;Hele landet;Vestfold;Larvik;Tjodalyng skole;52;2,7;49;4,1;10,2;40,8;26,5;18,4;50;2,8;50;8;20;44;14;14;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;51;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;2,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;64;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;10,9;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;17,2;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;34,4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;21,9;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;15,6;51;2,7;42;4,8;23,8;38,1;21,4;11,9;50;2,5;54;7,4;22,2;35,2;24,1;11,1
3;I;39;3907;3907;Hele landet;Vestfold;Sandefjord;Alle skoler;50;0,7;719;10,4;16,6;42,4;20,3;10,3;50;0,7;737;10;16,4;39,9;23,1;10,6;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;51;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;0,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;766;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;11,4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;18,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;32,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;22,5;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;14,6;49;0,7;772;13,5;21,8;37,4;18,1;9,2;50;0,7;758;9,6;17,7;40,5;23,6;8,6
