Geografi;År;Kjønn;Alder;Utdanningsnivå;leveår;FLAGG
Tønsberg;2016-2022;menn;30 år;alle utdanningsnivåer;81.8433;
Tønsberg;2016-2022;menn;30 år;grunnskole;77.549118;
Tønsberg;2016-2022;menn;30 år;videregående eller høyere;83.623016;
Tønsberg;2016-2022;kvinner;30 år;alle utdanningsnivåer;85.02681;
Tønsberg;2016-2022;kvinner;30 år;grunnskole;81.910835;
Tønsberg;2016-2022;kvinner;30 år;videregående eller høyere;86.719254;
Tønsberg;2017-2023;kjønn samlet;30 år;alle utdanningsnivåer;83.6175;
Tønsberg;2017-2023;kjønn samlet;30 år;grunnskole;79.985062;
Tønsberg;2017-2023;kjønn samlet;30 år;videregående eller høyere;85.351013;
Tønsberg;2017-2023;menn;30 år;alle utdanningsnivåer;82.02739;
Tønsberg;2017-2023;menn;30 år;grunnskole;77.838257;
Tønsberg;2017-2023;menn;30 år;videregående eller høyere;83.76046;
Tønsberg;2017-2023;kvinner;30 år;alle utdanningsnivåer;85.207611;
Tønsberg;2017-2023;kvinner;30 år;grunnskole;82.131866;
Tønsberg;2017-2023;kvinner;30 år;videregående eller høyere;86.941566;
Tønsberg;2018-2024;kjønn samlet;30 år;alle utdanningsnivåer;83.681595;
Tønsberg;2018-2024;kjønn samlet;30 år;grunnskole;79.962959;
Tønsberg;2018-2024;kjønn samlet;30 år;videregående eller høyere;85.419991;
Tønsberg;2018-2024;menn;30 år;alle utdanningsnivåer;82.193817;
Tønsberg;2018-2024;menn;30 år;grunnskole;77.9048;
Tønsberg;2018-2024;menn;30 år;videregående eller høyere;83.92598;
Tønsberg;2018-2024;kvinner;30 år;alle utdanningsnivåer;85.169373;
Tønsberg;2018-2024;kvinner;30 år;grunnskole;82.021118;
Tønsberg;2018-2024;kvinner;30 år;videregående eller høyere;86.914001;
Sandefjord;2010-2016;kjønn samlet;30 år;alle utdanningsnivåer;82.098389;
Sandefjord;2010-2016;kjønn samlet;30 år;grunnskole;79.096649;
Sandefjord;2010-2016;kjønn samlet;30 år;videregående eller høyere;84.266037;
Sandefjord;2010-2016;menn;30 år;alle utdanningsnivåer;80.272957;
Sandefjord;2010-2016;menn;30 år;grunnskole;76.909302;
Sandefjord;2010-2016;menn;30 år;videregående eller høyere;82.281609;
Sandefjord;2010-2016;kvinner;30 år;alle utdanningsnivåer;83.923813;
Sandefjord;2010-2016;kvinner;30 år;grunnskole;81.283989;
Sandefjord;2010-2016;kvinner;30 år;videregående eller høyere;86.250473;
Sandefjord;2011-2017;kjønn samlet;30 år;alle utdanningsnivåer;82.257957;
Sandefjord;2011-2017;kjønn samlet;30 år;grunnskole;79.317017;
Sandefjord;2011-2017;kjønn samlet;30 år;videregående eller høyere;84.388458;
Sandefjord;2011-2017;menn;30 år;alle utdanningsnivåer;80.499161;
Sandefjord;2011-2017;menn;30 år;grunnskole;77.216133;
Sandefjord;2011-2017;menn;30 år;videregående eller høyere;82.523888;
Sandefjord;2011-2017;kvinner;30 år;alle utdanningsnivåer;84.016754;
Sandefjord;2011-2017;kvinner;30 år;grunnskole;81.417892;
Sandefjord;2011-2017;kvinner;30 år;videregående eller høyere;86.253021;
Sandefjord;2012-2018;kjønn samlet;30 år;alle utdanningsnivåer;82.530434;
Sandefjord;2012-2018;kjønn samlet;30 år;grunnskole;79.31179;
Sandefjord;2012-2018;kjønn samlet;30 år;videregående eller høyere;84.758118;
Sandefjord;2012-2018;menn;30 år;alle utdanningsnivåer;80.888962;
Sandefjord;2012-2018;menn;30 år;grunnskole;77.459167;
Sandefjord;2012-2018;menn;30 år;videregående eller høyere;82.928268;
Sandefjord;2012-2018;kvinner;30 år;alle utdanningsnivåer;84.171906;
Sandefjord;2012-2018;kvinner;30 år;grunnskole;81.164413;
Sandefjord;2012-2018;kvinner;30 år;videregående eller høyere;86.587959;
Sandefjord;2013-2019;kjønn samlet;30 år;alle utdanningsnivåer;82.78476;
Sandefjord;2013-2019;kjønn samlet;30 år;grunnskole;79.397644;
Sandefjord;2013-2019;kjønn samlet;30 år;videregående eller høyere;85.004166;
Sandefjord;2013-2019;menn;30 år;alle utdanningsnivåer;81.277573;
Sandefjord;2013-2019;menn;30 år;grunnskole;77.801422;
Sandefjord;2013-2019;menn;30 år;videregående eller høyere;83.258911;
Sandefjord;2013-2019;kvinner;30 år;alle utdanningsnivåer;84.291954;
Sandefjord;2013-2019;kvinner;30 år;grunnskole;80.993858;
Sandefjord;2013-2019;kvinner;30 år;videregående eller høyere;86.749413;
Sandefjord;2014-2020;kjønn samlet;30 år;alle utdanningsnivåer;83.120987;
Sandefjord;2014-2020;kjønn samlet;30 år;grunnskole;79.821373;
Sandefjord;2014-2020;kjønn samlet;30 år;videregående eller høyere;85.222015;
Sandefjord;2014-2020;menn;30 år;alle utdanningsnivåer;81.685684;
Sandefjord;2014-2020;menn;30 år;grunnskole;77.887436;
Sandefjord;2014-2020;menn;30 år;videregående eller høyere;83.713501;
Sandefjord;2014-2020;kvinner;30 år;alle utdanningsnivåer;84.55629;
Sandefjord;2014-2020;kvinner;30 år;grunnskole;81.75531;
Sandefjord;2014-2020;kvinner;30 år;videregående eller høyere;86.73053;
Sandefjord;2015-2021;kjønn samlet;30 år;alle utdanningsnivåer;83.304276;
Sandefjord;2015-2021;kjønn samlet;30 år;grunnskole;79.7789;
Sandefjord;2015-2021;kjønn samlet;30 år;videregående eller høyere;85.470642;
Sandefjord;2015-2021;menn;30 år;alle utdanningsnivåer;81.827209;
Sandefjord;2015-2021;menn;30 år;grunnskole;77.829407;
Sandefjord;2015-2021;menn;30 år;videregående eller høyere;83.868561;
Sandefjord;2015-2021;kvinner;30 år;alle utdanningsnivåer;84.781334;
Sandefjord;2015-2021;kvinner;30 år;grunnskole;81.728394;
Sandefjord;2015-2021;kvinner;30 år;videregående eller høyere;87.072739;
Sandefjord;2016-2022;kjønn samlet;30 år;alle utdanningsnivåer;83.407982;
Sandefjord;2016-2022;kjønn samlet;30 år;grunnskole;80.062103;
Sandefjord;2016-2022;kjønn samlet;30 år;videregående eller høyere;85.430077;
Sandefjord;2016-2022;menn;30 år;alle utdanningsnivåer;82.032227;
Sandefjord;2016-2022;menn;30 år;grunnskole;78.671021;
Sandefjord;2016-2022;menn;30 år;videregående eller høyere;83.876198;
Sandefjord;2016-2022;kvinner;30 år;alle utdanningsnivåer;84.783737;
Sandefjord;2016-2022;kvinner;30 år;grunnskole;81.453186;
Sandefjord;2016-2022;kvinner;30 år;videregående eller høyere;86.983955;
Sandefjord;2017-2023;kjønn samlet;30 år;alle utdanningsnivåer;83.458931;
Sandefjord;2017-2023;kjønn samlet;30 år;grunnskole;80.180763;
Sandefjord;2017-2023;kjønn samlet;30 år;videregående eller høyere;85.398071;
Sandefjord;2017-2023;menn;30 år;alle utdanningsnivåer;81.944496;
Sandefjord;2017-2023;menn;30 år;grunnskole;78.592178;
Sandefjord;2017-2023;menn;30 år;videregående eller høyere;83.787201;
Sandefjord;2017-2023;kvinner;30 år;alle utdanningsnivåer;84.973366;
Sandefjord;2017-2023;kvinner;30 år;grunnskole;81.769348;
Sandefjord;2017-2023;kvinner;30 år;videregående eller høyere;87.008949;
Sandefjord;2018-2024;kjønn samlet;30 år;alle utdanningsnivåer;83.572067;
Sandefjord;2018-2024;kjønn samlet;30 år;grunnskole;80.083389;
Sandefjord;2018-2024;kjønn samlet;30 år;videregående eller høyere;85.488998;
Sandefjord;2018-2024;menn;30 år;alle utdanningsnivåer;82.043381;
Sandefjord;2018-2024;menn;30 år;grunnskole;78.524765;
Sandefjord;2018-2024;menn;30 år;videregående eller høyere;83.755814;
Sandefjord;2018-2024;kvinner;30 år;alle utdanningsnivåer;85.100754;
Sandefjord;2018-2024;kvinner;30 år;grunnskole;81.642006;
Sandefjord;2018-2024;kvinner;30 år;videregående eller høyere;87.222183;
Larvik;2010-2016;kjønn samlet;30 år;alle utdanningsnivåer;82.514954;
Larvik;2010-2016;kjønn samlet;30 år;grunnskole;79.934998;
Larvik;2010-2016;kjønn samlet;30 år;videregående eller høyere;84.710693;
Larvik;2010-2016;menn;30 år;alle utdanningsnivåer;80.720543;
Larvik;2010-2016;menn;30 år;grunnskole;78.340004;
Larvik;2010-2016;menn;30 år;videregående eller høyere;82.627136;
Larvik;2010-2016;kvinner;30 år;alle utdanningsnivåer;84.309372;
Larvik;2010-2016;kvinner;30 år;grunnskole;81.529984;
Larvik;2010-2016;kvinner;30 år;videregående eller høyere;86.79425;
Larvik;2011-2017;kjønn samlet;30 år;alle utdanningsnivåer;82.702599;
Larvik;2011-2017;kjønn samlet;30 år;grunnskole;80.001205;
Larvik;2011-2017;kjønn samlet;30 år;videregående eller høyere;84.802979;
Larvik;2011-2017;menn;30 år;alle utdanningsnivåer;80.935318;
Larvik;2011-2017;menn;30 år;grunnskole;78.040359;
Larvik;2011-2017;menn;30 år;videregående eller høyere;82.867203;
Larvik;2011-2017;kvinner;30 år;alle utdanningsnivåer;84.469879;
Larvik;2011-2017;kvinner;30 år;grunnskole;81.962044;
Larvik;2011-2017;kvinner;30 år;videregående eller høyere;86.738754;
Larvik;2012-2018;kjønn samlet;30 år;alle utdanningsnivåer;82.6987;
Larvik;2012-2018;kjønn samlet;30 år;grunnskole;79.613037;
Larvik;2012-2018;kjønn samlet;30 år;videregående eller høyere;84.836121;
Larvik;2012-2018;menn;30 år;alle utdanningsnivåer;81.015869;
Larvik;2012-2018;menn;30 år;grunnskole;77.89209;
Larvik;2012-2018;menn;30 år;videregående eller høyere;82.906693;
Larvik;2012-2018;kvinner;30 år;alle utdanningsnivåer;84.381538;
Larvik;2012-2018;kvinner;30 år;grunnskole;81.333984;
Larvik;2012-2018;kvinner;30 år;videregående eller høyere;86.765556;
Larvik;2013-2019;kjønn samlet;30 år;alle utdanningsnivåer;83.110817;
Larvik;2013-2019;kjønn samlet;30 år;grunnskole;79.921349;
Larvik;2013-2019;kjønn samlet;30 år;videregående eller høyere;85.23291;
Larvik;2013-2019;menn;30 år;alle utdanningsnivåer;81.479767;
Larvik;2013-2019;menn;30 år;grunnskole;78.103943;
Larvik;2013-2019;menn;30 år;videregående eller høyere;83.481033;
Larvik;2013-2019;kvinner;30 år;alle utdanningsnivåer;84.741867;
Larvik;2013-2019;kvinner;30 år;grunnskole;81.738754;
Larvik;2013-2019;kvinner;30 år;videregående eller høyere;86.984795;
Larvik;2014-2020;kjønn samlet;30 år;alle utdanningsnivåer;83.395729;
Larvik;2014-2020;kjønn samlet;30 år;grunnskole;79.918999;
Larvik;2014-2020;kjønn samlet;30 år;videregående eller høyere;85.526031;
Larvik;2014-2020;menn;30 år;alle utdanningsnivåer;81.975845;
Larvik;2014-2020;menn;30 år;grunnskole;78.38884;
Larvik;2014-2020;menn;30 år;videregående eller høyere;83.96814;
Larvik;2014-2020;kvinner;30 år;alle utdanningsnivåer;84.815613;
Larvik;2014-2020;kvinner;30 år;grunnskole;81.449158;
Larvik;2014-2020;kvinner;30 år;videregående eller høyere;87.083931;
Larvik;2015-2021;kjønn samlet;30 år;alle utdanningsnivåer;83.440521;
Larvik;2015-2021;kjønn samlet;30 år;grunnskole;79.695023;
Larvik;2015-2021;kjønn samlet;30 år;videregående eller høyere;85.707397;
Larvik;2015-2021;menn;30 år;alle utdanningsnivåer;81.947098;
Larvik;2015-2021;menn;30 år;grunnskole;78.279587;
Larvik;2015-2021;menn;30 år;videregående eller høyere;84.061104;
Larvik;2015-2021;kvinner;30 år;alle utdanningsnivåer;84.933952;
Larvik;2015-2021;kvinner;30 år;grunnskole;81.110458;
Larvik;2015-2021;kvinner;30 år;videregående eller høyere;87.353691;
Larvik;2016-2022;kjønn samlet;30 år;alle utdanningsnivåer;83.397461;
Larvik;2016-2022;kjønn samlet;30 år;grunnskole;79.598938;
Larvik;2016-2022;kjønn samlet;30 år;videregående eller høyere;85.582718;
Larvik;2016-2022;menn;30 år;alle utdanningsnivåer;81.838905;
Larvik;2016-2022;menn;30 år;grunnskole;77.945343;
Larvik;2016-2022;menn;30 år;videregående eller høyere;84.026184;
Larvik;2016-2022;kvinner;30 år;alle utdanningsnivåer;84.956009;
Larvik;2016-2022;kvinner;30 år;grunnskole;81.252533;
Larvik;2016-2022;kvinner;30 år;videregående eller høyere;87.139244;
Larvik;2017-2023;kjønn samlet;30 år;alle utdanningsnivåer;83.561935;
Larvik;2017-2023;kjønn samlet;30 år;grunnskole;79.761185;
Larvik;2017-2023;kjønn samlet;30 år;videregående eller høyere;85.714729;
Larvik;2017-2023;menn;30 år;alle utdanningsnivåer;82.083328;
Larvik;2017-2023;menn;30 år;grunnskole;78.453827;
Larvik;2017-2023;menn;30 år;videregående eller høyere;84.086319;
Larvik;2017-2023;kvinner;30 år;alle utdanningsnivåer;85.040535;
Larvik;2017-2023;kvinner;30 år;grunnskole;81.06855;
Larvik;2017-2023;kvinner;30 år;videregående eller høyere;87.343132;
Larvik;2018-2024;kjønn samlet;30 år;alle utdanningsnivåer;83.637634;
Larvik;2018-2024;kjønn samlet;30 år;grunnskole;80.036987;
Larvik;2018-2024;kjønn samlet;30 år;videregående eller høyere;85.773048;
Larvik;2018-2024;menn;30 år;alle utdanningsnivåer;82.414383;
Larvik;2018-2024;menn;30 år;grunnskole;79.092255;
Larvik;2018-2024;menn;30 år;videregående eller høyere;84.267242;
Larvik;2018-2024;kvinner;30 år;alle utdanningsnivåer;84.860878;
Larvik;2018-2024;kvinner;30 år;grunnskole;80.98172;
Larvik;2018-2024;kvinner;30 år;videregående eller høyere;87.278854;
Færder;2010-2016;kjønn samlet;30 år;alle utdanningsnivåer;82.547501;
Færder;2010-2016;kjønn samlet;30 år;grunnskole;79.366974;
Færder;2010-2016;kjønn samlet;30 år;videregående eller høyere;84.052605;
Færder;2010-2016;menn;30 år;alle utdanningsnivåer;80.399887;
Færder;2010-2016;menn;30 år;grunnskole;77.07946;
Færder;2010-2016;menn;30 år;videregående eller høyere;81.668877;
Færder;2010-2016;kvinner;30 år;alle utdanningsnivåer;84.695114;
Færder;2010-2016;kvinner;30 år;grunnskole;81.654495;
Færder;2010-2016;kvinner;30 år;videregående eller høyere;86.43634;
Færder;2011-2017;kjønn samlet;30 år;alle utdanningsnivåer;82.861664;
Færder;2011-2017;kjønn samlet;30 år;grunnskole;79.518356;
Færder;2011-2017;kjønn samlet;30 år;videregående eller høyere;84.349388;
Færder;2011-2017;menn;30 år;alle utdanningsnivåer;80.936234;
Færder;2011-2017;menn;30 år;grunnskole;77.365997;
Færder;2011-2017;menn;30 år;videregående eller høyere;82.267242;
Færder;2011-2017;kvinner;30 år;alle utdanningsnivåer;84.787094;
Færder;2011-2017;kvinner;30 år;grunnskole;81.670715;
Færder;2011-2017;kvinner;30 år;videregående eller høyere;86.431541;
Færder;2012-2018;kjønn samlet;30 år;alle utdanningsnivåer;83.184631;
Færder;2012-2018;kjønn samlet;30 år;grunnskole;79.81221;
Færder;2012-2018;kjønn samlet;30 år;videregående eller høyere;84.654037;
Færder;2012-2018;menn;30 år;alle utdanningsnivåer;81.432426;
Færder;2012-2018;menn;30 år;grunnskole;77.818954;
Færder;2012-2018;menn;30 år;videregående eller høyere;82.782097;
Færder;2012-2018;kvinner;30 år;alle utdanningsnivåer;84.936844;
Færder;2012-2018;kvinner;30 år;grunnskole;81.805466;
Færder;2012-2018;kvinner;30 år;videregående eller høyere;86.52597;
Færder;2013-2019;kjønn samlet;30 år;alle utdanningsnivåer;83.435814;
Færder;2013-2019;kjønn samlet;30 år;grunnskole;79.623749;
Færder;2013-2019;kjønn samlet;30 år;videregående eller høyere;85.031647;
Færder;2013-2019;menn;30 år;alle utdanningsnivåer;81.74379;
Færder;2013-2019;menn;30 år;grunnskole;77.531494;
Færder;2013-2019;menn;30 år;videregående eller høyere;83.171165;
Færder;2013-2019;kvinner;30 år;alle utdanningsnivåer;85.127838;
Færder;2013-2019;kvinner;30 år;grunnskole;81.716003;
Færder;2013-2019;kvinner;30 år;videregående eller høyere;86.892128;
Færder;2014-2020;kjønn samlet;30 år;alle utdanningsnivåer;83.641556;
Færder;2014-2020;kjønn samlet;30 år;grunnskole;79.612045;
Færder;2014-2020;kjønn samlet;30 år;videregående eller høyere;85.265381;
Færder;2014-2020;menn;30 år;alle utdanningsnivåer;82.070755;
Færder;2014-2020;menn;30 år;grunnskole;77.518761;
Færder;2014-2020;menn;30 år;videregående eller høyere;83.536804;
Færder;2014-2020;kvinner;30 år;alle utdanningsnivåer;85.212349;
Færder;2014-2020;kvinner;30 år;grunnskole;81.705322;
Færder;2014-2020;kvinner;30 år;videregående eller høyere;86.993958;
Færder;2015-2021;kjønn samlet;30 år;alle utdanningsnivåer;83.729782;
Færder;2015-2021;kjønn samlet;30 år;grunnskole;79.805176;
Færder;2015-2021;kjønn samlet;30 år;videregående eller høyere;85.275208;
Færder;2015-2021;menn;30 år;alle utdanningsnivåer;82.163429;
Færder;2015-2021;menn;30 år;grunnskole;78.11937;
Færder;2015-2021;menn;30 år;videregående eller høyere;83.579346;
Færder;2015-2021;kvinner;30 år;alle utdanningsnivåer;85.296127;
Færder;2015-2021;kvinner;30 år;grunnskole;81.490974;
Færder;2015-2021;kvinner;30 år;videregående eller høyere;86.971069;
Færder;2016-2022;kjønn samlet;30 år;alle utdanningsnivåer;83.854073;
Færder;2016-2022;kjønn samlet;30 år;grunnskole;79.773247;
Færder;2016-2022;kjønn samlet;30 år;videregående eller høyere;85.421097;
Færder;2016-2022;menn;30 år;alle utdanningsnivåer;82.287674;
Færder;2016-2022;menn;30 år;grunnskole;77.97496;
Færder;2016-2022;menn;30 år;videregående eller høyere;83.749146;
Færder;2016-2022;kvinner;30 år;alle utdanningsnivåer;85.420471;
Færder;2016-2022;kvinner;30 år;grunnskole;81.571533;
Færder;2016-2022;kvinner;30 år;videregående eller høyere;87.093048;
Færder;2017-2023;kjønn samlet;30 år;alle utdanningsnivåer;84.026031;
Færder;2017-2023;kjønn samlet;30 år;grunnskole;79.87278;
Færder;2017-2023;kjønn samlet;30 år;videregående eller høyere;85.580193;
Færder;2017-2023;menn;30 år;alle utdanningsnivåer;82.584091;
Færder;2017-2023;menn;30 år;grunnskole;78.28241;
Færder;2017-2023;menn;30 år;videregående eller høyere;83.998306;
Færder;2017-2023;kvinner;30 år;alle utdanningsnivåer;85.467979;
Færder;2017-2023;kvinner;30 år;grunnskole;81.46315;
Færder;2017-2023;kvinner;30 år;videregående eller høyere;87.162079;
Færder;2018-2024;kjønn samlet;30 år;alle utdanningsnivåer;84.153076;
Færder;2018-2024;kjønn samlet;30 år;grunnskole;79.734512;
Færder;2018-2024;kjønn samlet;30 år;videregående eller høyere;85.804581;
Færder;2018-2024;menn;30 år;alle utdanningsnivåer;82.757568;
Færder;2018-2024;menn;30 år;grunnskole;78.115944;
Færder;2018-2024;menn;30 år;videregående eller høyere;84.208069;
Færder;2018-2024;kvinner;30 år;alle utdanningsnivåer;85.548584;
Færder;2018-2024;kvinner;30 år;grunnskole;81.353081;
Færder;2018-2024;kvinner;30 år;videregående eller høyere;87.401108;
