Geografi;År;Kjønn;Alder;Utdanningsnivå;leveår;FLAGG
Hele landet;2018-2024;menn;30 år;alle utdanningsnivåer;82.110863;
Hele landet;2018-2024;menn;30 år;grunnskole;78.439529;
Hele landet;2018-2024;menn;30 år;videregående eller høyere;83.846786;
Hele landet;2018-2024;kvinner;30 år;alle utdanningsnivåer;85.033768;
Hele landet;2018-2024;kvinner;30 år;grunnskole;81.933708;
Hele landet;2018-2024;kvinner;30 år;videregående eller høyere;86.937363;
Vestfold;2010-2016;kjønn samlet;30 år;alle utdanningsnivåer;82.253166;
Vestfold;2010-2016;kjønn samlet;30 år;grunnskole;79.019669;
Vestfold;2010-2016;kjønn samlet;30 år;videregående eller høyere;84.291901;
Vestfold;2010-2016;menn;30 år;alle utdanningsnivåer;80.421516;
Vestfold;2010-2016;menn;30 år;grunnskole;76.980026;
Vestfold;2010-2016;menn;30 år;videregående eller høyere;82.196777;
Vestfold;2010-2016;kvinner;30 år;alle utdanningsnivåer;84.084816;
Vestfold;2010-2016;kvinner;30 år;grunnskole;81.059303;
Vestfold;2010-2016;kvinner;30 år;videregående eller høyere;86.387032;
Vestfold;2011-2017;kjønn samlet;30 år;alle utdanningsnivåer;82.406586;
Vestfold;2011-2017;kjønn samlet;30 år;grunnskole;79.208588;
Vestfold;2011-2017;kjønn samlet;30 år;videregående eller høyere;84.398804;
Vestfold;2011-2017;menn;30 år;alle utdanningsnivåer;80.612755;
Vestfold;2011-2017;menn;30 år;grunnskole;77.092392;
Vestfold;2011-2017;menn;30 år;videregående eller høyere;82.435051;
Vestfold;2011-2017;kvinner;30 år;alle utdanningsnivåer;84.200424;
Vestfold;2011-2017;kvinner;30 år;grunnskole;81.324791;
Vestfold;2011-2017;kvinner;30 år;videregående eller høyere;86.362556;
Vestfold;2012-2018;kjønn samlet;30 år;alle utdanningsnivåer;82.625092;
Vestfold;2012-2018;kjønn samlet;30 år;grunnskole;79.354362;
Vestfold;2012-2018;kjønn samlet;30 år;videregående eller høyere;84.599052;
Vestfold;2012-2018;menn;30 år;alle utdanningsnivåer;80.97226;
Vestfold;2012-2018;menn;30 år;grunnskole;77.541084;
Vestfold;2012-2018;menn;30 år;videregående eller høyere;82.756866;
Vestfold;2012-2018;kvinner;30 år;alle utdanningsnivåer;84.277924;
Vestfold;2012-2018;kvinner;30 år;grunnskole;81.167641;
Vestfold;2012-2018;kvinner;30 år;videregående eller høyere;86.441238;
Vestfold;2013-2019;kjønn samlet;30 år;alle utdanningsnivåer;82.909866;
Vestfold;2013-2019;kjønn samlet;30 år;grunnskole;79.552139;
Vestfold;2013-2019;kjønn samlet;30 år;videregående eller høyere;84.863312;
Vestfold;2013-2019;menn;30 år;alle utdanningsnivåer;81.273766;
Vestfold;2013-2019;menn;30 år;grunnskole;77.778366;
Vestfold;2013-2019;menn;30 år;videregående eller høyere;83.037476;
Vestfold;2013-2019;kvinner;30 år;alle utdanningsnivåer;84.545959;
Vestfold;2013-2019;kvinner;30 år;grunnskole;81.325905;
Vestfold;2013-2019;kvinner;30 år;videregående eller høyere;86.689163;
Vestfold;2014-2020;kjønn samlet;30 år;alle utdanningsnivåer;83.167961;
Vestfold;2014-2020;kjønn samlet;30 år;grunnskole;79.816551;
Vestfold;2014-2020;kjønn samlet;30 år;videregående eller høyere;85.07872;
Vestfold;2014-2020;menn;30 år;alle utdanningsnivåer;81.614059;
Vestfold;2014-2020;menn;30 år;grunnskole;78.055817;
Vestfold;2014-2020;menn;30 år;videregående eller høyere;83.390404;
Vestfold;2014-2020;kvinner;30 år;alle utdanningsnivåer;84.721863;
Vestfold;2014-2020;kvinner;30 år;grunnskole;81.577286;
Vestfold;2014-2020;kvinner;30 år;videregående eller høyere;86.767044;
Vestfold;2015-2021;kjønn samlet;30 år;alle utdanningsnivåer;83.348251;
Vestfold;2015-2021;kjønn samlet;30 år;grunnskole;79.807274;
Vestfold;2015-2021;kjønn samlet;30 år;videregående eller høyere;85.29451;
Vestfold;2015-2021;menn;30 år;alle utdanningsnivåer;81.821213;
Vestfold;2015-2021;menn;30 år;grunnskole;78.155548;
Vestfold;2015-2021;menn;30 år;videregående eller høyere;83.62999;
Vestfold;2015-2021;kvinner;30 år;alle utdanningsnivåer;84.87529;
Vestfold;2015-2021;kvinner;30 år;grunnskole;81.459;
Vestfold;2015-2021;kvinner;30 år;videregående eller høyere;86.959015;
Vestfold;2016-2022;kjønn samlet;30 år;alle utdanningsnivåer;83.380325;
Vestfold;2016-2022;kjønn samlet;30 år;grunnskole;79.832474;
Vestfold;2016-2022;kjønn samlet;30 år;videregående eller høyere;85.277634;
Vestfold;2016-2022;menn;30 år;alle utdanningsnivåer;81.874718;
Vestfold;2016-2022;menn;30 år;grunnskole;78.164825;
Vestfold;2016-2022;menn;30 år;videregående eller høyere;83.676147;
Vestfold;2016-2022;kvinner;30 år;alle utdanningsnivåer;84.885941;
Vestfold;2016-2022;kvinner;30 år;grunnskole;81.500122;
Vestfold;2016-2022;kvinner;30 år;videregående eller høyere;86.87912;
Vestfold;2017-2023;kjønn samlet;30 år;alle utdanningsnivåer;83.52272;
Vestfold;2017-2023;kjønn samlet;30 år;grunnskole;79.994087;
Vestfold;2017-2023;kjønn samlet;30 år;videregående eller høyere;85.392731;
Vestfold;2017-2023;menn;30 år;alle utdanningsnivåer;82.021423;
Vestfold;2017-2023;menn;30 år;grunnskole;78.410629;
Vestfold;2017-2023;menn;30 år;videregående eller høyere;83.774712;
Vestfold;2017-2023;kvinner;30 år;alle utdanningsnivåer;85.024025;
Vestfold;2017-2023;kvinner;30 år;grunnskole;81.577545;
Vestfold;2017-2023;kvinner;30 år;videregående eller høyere;87.010742;
Vestfold;2018-2024;kjønn samlet;30 år;alle utdanningsnivåer;83.626556;
Vestfold;2018-2024;kjønn samlet;30 år;grunnskole;80.00116;
Vestfold;2018-2024;kjønn samlet;30 år;videregående eller høyere;85.513412;
Vestfold;2018-2024;menn;30 år;alle utdanningsnivåer;82.196625;
Vestfold;2018-2024;menn;30 år;grunnskole;78.482094;
Vestfold;2018-2024;menn;30 år;videregående eller høyere;83.917412;
Vestfold;2018-2024;kvinner;30 år;alle utdanningsnivåer;85.056488;
Vestfold;2018-2024;kvinner;30 år;grunnskole;81.520233;
Vestfold;2018-2024;kvinner;30 år;videregående eller høyere;87.109406;
Horten;2010-2016;kjønn samlet;30 år;alle utdanningsnivåer;81.721382;
Horten;2010-2016;kjønn samlet;30 år;grunnskole;78.070213;
Horten;2010-2016;kjønn samlet;30 år;videregående eller høyere;83.562958;
Horten;2010-2016;menn;30 år;alle utdanningsnivåer;79.633499;
Horten;2010-2016;menn;30 år;grunnskole;75.626984;
Horten;2010-2016;menn;30 år;videregående eller høyere;81.139252;
Horten;2010-2016;kvinner;30 år;alle utdanningsnivåer;83.809265;
Horten;2010-2016;kvinner;30 år;grunnskole;80.513443;
Horten;2010-2016;kvinner;30 år;videregående eller høyere;85.986656;
Horten;2011-2017;kjønn samlet;30 år;alle utdanningsnivåer;81.94416;
Horten;2011-2017;kjønn samlet;30 år;grunnskole;78.217468;
Horten;2011-2017;kjønn samlet;30 år;videregående eller høyere;83.87336;
Horten;2011-2017;menn;30 år;alle utdanningsnivåer;79.898727;
Horten;2011-2017;menn;30 år;grunnskole;75.754356;
Horten;2011-2017;menn;30 år;videregående eller høyere;81.594452;
Horten;2011-2017;kvinner;30 år;alle utdanningsnivåer;83.989594;
Horten;2011-2017;kvinner;30 år;grunnskole;80.680588;
Horten;2011-2017;kvinner;30 år;videregående eller høyere;86.152267;
Horten;2012-2018;kjønn samlet;30 år;alle utdanningsnivåer;82.144981;
Horten;2012-2018;kjønn samlet;30 år;grunnskole;78.780891;
Horten;2012-2018;kjønn samlet;30 år;videregående eller høyere;83.962029;
Horten;2012-2018;menn;30 år;alle utdanningsnivåer;80.379532;
Horten;2012-2018;menn;30 år;grunnskole;76.911484;
Horten;2012-2018;menn;30 år;videregående eller høyere;81.85128;
Horten;2012-2018;kvinner;30 år;alle utdanningsnivåer;83.910431;
Horten;2012-2018;kvinner;30 år;grunnskole;80.650299;
Horten;2012-2018;kvinner;30 år;videregående eller høyere;86.072777;
Horten;2013-2019;kjønn samlet;30 år;alle utdanningsnivåer;82.277878;
Horten;2013-2019;kjønn samlet;30 år;grunnskole;78.860001;
Horten;2013-2019;kjønn samlet;30 år;videregående eller høyere;84.125198;
Horten;2013-2019;menn;30 år;alle utdanningsnivåer;80.50605;
Horten;2013-2019;menn;30 år;grunnskole;76.984848;
Horten;2013-2019;menn;30 år;videregående eller høyere;81.877106;
Horten;2013-2019;kvinner;30 år;alle utdanningsnivåer;84.049713;
Horten;2013-2019;kvinner;30 år;grunnskole;80.735153;
Horten;2013-2019;kvinner;30 år;videregående eller høyere;86.373291;
Horten;2014-2020;kjønn samlet;30 år;alle utdanningsnivåer;82.645271;
Horten;2014-2020;kjønn samlet;30 år;grunnskole;79.835121;
Horten;2014-2020;kjønn samlet;30 år;videregående eller høyere;84.437103;
Horten;2014-2020;menn;30 år;alle utdanningsnivåer;80.834091;
Horten;2014-2020;menn;30 år;grunnskole;78.397034;
Horten;2014-2020;menn;30 år;videregående eller høyere;82.092873;
Horten;2014-2020;kvinner;30 år;alle utdanningsnivåer;84.456451;
Horten;2014-2020;kvinner;30 år;grunnskole;81.273209;
Horten;2014-2020;kvinner;30 år;videregående eller høyere;86.781342;
Horten;2015-2021;kjønn samlet;30 år;alle utdanningsnivåer;82.833488;
Horten;2015-2021;kjønn samlet;30 år;grunnskole;79.598747;
Horten;2015-2021;kjønn samlet;30 år;videregående eller høyere;84.782501;
Horten;2015-2021;menn;30 år;alle utdanningsnivåer;81.13575;
Horten;2015-2021;menn;30 år;grunnskole;78.311722;
Horten;2015-2021;menn;30 år;videregående eller høyere;82.548027;
Horten;2015-2021;kvinner;30 år;alle utdanningsnivåer;84.531227;
Horten;2015-2021;kvinner;30 år;grunnskole;80.885773;
Horten;2015-2021;kvinner;30 år;videregående eller høyere;87.016983;
Horten;2016-2022;kjønn samlet;30 år;alle utdanningsnivåer;82.943359;
Horten;2016-2022;kjønn samlet;30 år;grunnskole;79.514709;
Horten;2016-2022;kjønn samlet;30 år;videregående eller høyere;84.840126;
Horten;2016-2022;menn;30 år;alle utdanningsnivåer;81.11068;
Horten;2016-2022;menn;30 år;grunnskole;77.800163;
Horten;2016-2022;menn;30 år;videregående eller høyere;82.677139;
Horten;2016-2022;kvinner;30 år;alle utdanningsnivåer;84.776047;
Horten;2016-2022;kvinner;30 år;grunnskole;81.229263;
Horten;2016-2022;kvinner;30 år;videregående eller høyere;87.003113;
Horten;2017-2023;kjønn samlet;30 år;alle utdanningsnivåer;83.195541;
Horten;2017-2023;kjønn samlet;30 år;grunnskole;79.58429;
Horten;2017-2023;kjønn samlet;30 år;videregående eller høyere;85.023697;
Horten;2017-2023;menn;30 år;alle utdanningsnivåer;81.387596;
Horten;2017-2023;menn;30 år;grunnskole;77.949547;
Horten;2017-2023;menn;30 år;videregående eller høyere;82.987541;
Horten;2017-2023;kvinner;30 år;alle utdanningsnivåer;85.003479;
Horten;2017-2023;kvinner;30 år;grunnskole;81.21904;
Horten;2017-2023;kvinner;30 år;videregående eller høyere;87.059853;
Horten;2018-2024;kjønn samlet;30 år;alle utdanningsnivåer;83.388962;
Horten;2018-2024;kjønn samlet;30 år;grunnskole;79.738373;
Horten;2018-2024;kjønn samlet;30 år;videregående eller høyere;85.159622;
Horten;2018-2024;menn;30 år;alle utdanningsnivåer;81.668427;
Horten;2018-2024;menn;30 år;grunnskole;78.048584;
Horten;2018-2024;menn;30 år;videregående eller høyere;83.26207;
Horten;2018-2024;kvinner;30 år;alle utdanningsnivåer;85.109497;
Horten;2018-2024;kvinner;30 år;grunnskole;81.428154;
Horten;2018-2024;kvinner;30 år;videregående eller høyere;87.057175;
Holmestrand;2010-2016;kjønn samlet;30 år;alle utdanningsnivåer;82.180923;
Holmestrand;2010-2016;kjønn samlet;30 år;grunnskole;78.45179;
Holmestrand;2010-2016;kjønn samlet;30 år;videregående eller høyere;84.509056;
Holmestrand;2010-2016;menn;30 år;alle utdanningsnivåer;79.907379;
Holmestrand;2010-2016;menn;30 år;grunnskole;75.073303;
