EnhetNivaa;Nasjonaltkode;Fylkekode;Kommunekode;Organisasjonsnummer;Nasjonalt;Fylke;Kommune;EnhetNavn;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3903;887232482;Hele landet;Vestfold;Holmestrand;Holmestrand Internasjonale montessoriskole Sti ;;;;;;;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3903;931338854;Hele landet;Vestfold;Holmestrand;Klokkerjordet skole;;;;;;;;;48;1,4;109;4,6;27,5;44;19,3;4,6;47;1,4;88;3,4;38,6;44,3;11,4;2,3;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;I;39;3901;3901;Hele landet;Vestfold;Horten;Alle skoler;49;1;331;9,7;23,3;43,2;16;7,9;46;1,1;302;19,2;26,2;32,5;16,2;6;48;1;302;12,6;24,8;38,7;19,5;4,3;49;1,1;280;9,6;21,4;42,1;20,7;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3901;973566911;Hele landet;Vestfold;Horten;Bakkeåsen skole;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3901;974605759;Hele landet;Vestfold;Horten;Borre ungdomsskole;50;1,8;112;9,8;18,8;41,1;20,5;9,8;48;1,8;90;12,2;24,4;42,2;15,6;5,6;47;1,7;113;14,2;24,8;38,1;20,4;2,7;49;1,5;110;7,3;19,1;49,1;19,1;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3901;974605686;Hele landet;Vestfold;Horten;Holtan ungdomsskole;47;1,4;127;11;27,6;44,1;11,8;5,5;45;1,5;134;20,9;27,6;34,3;14,2;3;48;1,6;118;11,9;26,3;39,8;16,1;5,9;49;2;97;10,3;26,8;30,9;22,7;9,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3901;974605694;Hele landet;Vestfold;Horten;Orerønningen ungdomsskole;*;*;*;*;*;*;*;*;46;2,7;78;24,4;25,6;17,9;20,5;11,5;49;2;71;11,3;22,5;38;23,9;4,2;47;2,2;73;12,3;17,8;46,6;20,5;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;I;39;3909;3909;Hele landet;Vestfold;Larvik;Alle skoler;50;0,8;550;8,5;23,6;38,4;18;11,5;48;0,8;550;16,2;23,8;35,5;17,3;7,3;48;0,8;515;12,6;23,7;41,4;16,3;6;48;0,8;477;10,5;27,9;38,4;15,7;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3909;974584697;Hele landet;Vestfold;Larvik;Brunla ungdomsskole;50;2,8;65;10,8;20;35,4;16,9;16,9;50;2,2;69;8,7;20,3;44,9;14,5;11,6;49;2,1;69;10,1;27,5;36,2;18,8;7,2;48;2,4;65;7,7;33,8;32,3;16,9;9,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3909;974702444;Hele landet;Vestfold;Larvik;Frøy skole;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
