EnhetNivaa;Nasjonaltkode;Fylkekode;Kommunekode;Organisasjonsnummer;Nasjonalt;Fylke;Kommune;EnhetNavn;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3907;974594390;Hele landet;Vestfold;Sandefjord;Breidablikk ungdomsskole;51;1,8;125;6,4;19,2;36;24;14,4;50;1,6;149;8,7;20,1;36,9;21,5;12,8;51;1,7;132;10,6;19,7;31,1;28,8;9,8;50;1,3;156;7,7;18,6;47,4;19,9;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3907;974594404;Hele landet;Vestfold;Sandefjord;Bugården ungdomsskole;50;2;113;12,4;15,9;41,6;16,8;13,3;46;1,7;120;17,5;25;38,3;15;4,2;49;1,7;102;11,8;17,6;46,1;17,6;6,9;47;1,6;118;18,6;19,5;44,1;14,4;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3907;973915878;Hele landet;Vestfold;Sandefjord;Moe skole;53;5,3;10;*;*;*;*;*;51;4,8;19;*;*;*;*;*;52;5,6;15;*;*;*;*;*;55;4;19;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3907;976207173;Hele landet;Vestfold;Sandefjord;Mokollen skole;49;4,3;10;*;*;*;*;*;*;*;*;*;*;*;*;*;47;6;12;*;*;*;*;*;45;5,2;13;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3907;974594412;Hele landet;Vestfold;Sandefjord;Ranvik ungdomsskole;51;1,9;136;16,9;15,4;25;30,9;11,8;49;1,9;103;10,7;24,3;38,8;15,5;10,7;48;1,8;124;20,2;15,3;38,7;16,9;8,9;47;1,8;115;13,9;26,1;36,5;19,1;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3907;998666783;Hele landet;Vestfold;Sandefjord;Signo Grunn- og videregående skole AS;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3907;973488783;Hele landet;Vestfold;Sandefjord;Skagerak International School Sti ;55;3,4;30;3,3;10;30;26,7;30;*;*;*;*;*;*;*;*;50;3,1;22;*;*;*;*;*;48;2,9;32;18,8;*;34,4;34,4;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3907;975271064;Hele landet;Vestfold;Sandefjord;Stokke ungdomsskole;52;2;106;9,4;18,9;29,2;22,6;19,8;49;1,8;124;14,5;16,9;33,9;23,4;11,3;50;1,6;114;7;20,2;42,1;23,7;7;48;1,8;102;10,8;29,4;36,3;16,7;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3907;974594420;Hele landet;Vestfold;Sandefjord;Varden ungdomsskole;48;1,9;107;15;25,2;33,6;17,8;8,4;49;2,1;97;15,5;22,7;34;15,5;12,4;51;1,5;100;3;15;51;22;9;45;1,7;90;18,9;27,8;38,9;12,2;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3907;918374221;Hele landet;Vestfold;Sandefjord;Wang Ung Sandefjord AS;56;2,5;63;3,2;9,5;31,7;22,2;33,3;50;2,1;62;9,7;14,5;43,5;24,2;8,1;55;1,8;64;*;*;40,6;32,8;17,2;53;1,9;66;3;10,6;36,4;39,4;10,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;I;39;3905;3905;Hele landet;Vestfold;Tønsberg;Alle skoler;51;0,7;647;7,3;16,5;41;24;11,3;48;0,7;688;13,5;23,5;38,4;18;6,5;48;0,7;695;11,5;23,7;40;18,6;6,2;49;0,7;683;10,1;24,2;37,5;19,2;9,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3905;975268683;Hele landet;Vestfold;Tønsberg;Byskogen Kombinerte skole;48;2,5;63;11,1;27;31,7;22,2;7,9;44;2,3;66;30,3;24,2;25,8;16,7;3;46;2,1;70;17,1;21,4;38,6;21,4;1,4;45;2,3;80;22,5;31,3;30;8,8;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3905;975828867;Hele landet;Vestfold;Tønsberg;Elihu Kristne grunnskole;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;52;7;13;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3905;973915908;Hele landet;Vestfold;Tønsberg;Granly skole;53;4,1;26;*;*;*;*;*;46;3,2;26;26,9;*;34,6;19,2;*;51;3,3;26;*;*;*;*;*;49;4,8;23;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3905;975271242;Hele landet;Vestfold;Tønsberg;Kongseik ungdomsskole;52;1,9;70;1,4;10;55,7;20;12,9;48;1,7;104;10,6;28,8;38,5;18,3;3,8;49;1,7;82;7,3;23,2;43,9;23,2;2,4;48;2;81;13,6;29,6;33,3;17,3;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3905;975271145;Hele landet;Vestfold;Tønsberg;Presterød ungdomsskole;54;1,7;115;2,6;10,4;36,5;31,3;19,1;49;1,6;125;8,8;22,4;43,2;19,2;6,4;48;1,4;144;12,5;25;36,8;21,5;4,2;51;1,6;134;6;19,4;38,8;26,1;9,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3905;975270998;Hele landet;Vestfold;Tønsberg;Revetal ungdomsskole;48;1,6;122;12,3;25,4;35,2;20,5;6,6;45;1,8;114;20,2;25,4;36,8;12,3;5,3;46;1,7;105;16,2;29,5;37,1;12,4;4,8;47;1,7;96;14,6;27,1;39,6;15,6;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3905;975295826;Hele landet;Vestfold;Tønsberg;Ringshaug ungdomsskole;53;1,9;94;6,4;12,8;39,4;29,8;11,7;50;2;86;8,1;20,9;40,7;19,8;10,5;50;1,6;109;5,5;24,8;36,7;23,9;9,2;51;1,6;107;4,7;18,7;41,1;26,2;9,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3905;829325942;Hele landet;Vestfold;Tønsberg;Skagerak International School, Tønsberg AS;51;4,6;18;*;*;*;*;*;52;3,7;23;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3905;973131621;Hele landet;Vestfold;Tønsberg;Tønsberg Montessori skole Sti ;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;50;5,4;13;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3905;975294811;Hele landet;Vestfold;Tønsberg;Vear skole;48;2,3;61;14,8;26,2;31,1;23;4,9;48;2;64;7,8;28,1;40,6;15,6;7,8;44;2,4;56;28,6;25;39,3;3,6;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3905;933935701;Hele landet;Vestfold;Tønsberg;Vear ungdomsskole ;;;;;;;;;;;;;;;;;;;;;;;;;45;2;55;16,4;36,4;38,2;5,5;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3905;995354071;Hele landet;Vestfold;Tønsberg;Wang Tønsberg AS;53;1,8;63;1,6;4,8;61,9;20,6;11,1;50;2,3;62;8,1;21;37,1;22,6;11,3;51;1,9;64;3,1;14,1;53,1;17,2;12,5;54;1,9;64;*;*;40,6;31,3;15,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;I;38;0000;38;Hele landet;Vestfold og Telemark (2020 - 2023);Alle kommuner;Vestfold og Telemark;50;0,3;4 738;9,6;21,1;38,7;20,2;10,4;48;0,3;4 831;13,8;23,6;37,5;18,3;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;I;38;3811;3811;Hele landet;Vestfold og Telemark (2020 - 2023);Færder (2020 - 2023);Færder;50;1,1;307;7,8;20,5;39,4;21,2;11,1;47;1;310;13,9;24,8;40,3;14,8;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3811;975271250;Hele landet;Vestfold og Telemark (2020 - 2023);Færder (2020 - 2023);Borgheim ungdomsskole;50;1,6;151;7,9;23,2;37,1;23,2;8,6;46;1,5;155;18,1;25,2;36,1;17,4;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3811;973141791;Hele landet;Vestfold og Telemark (2020 - 2023);Færder (2020 - 2023);Steinerskolen i Vestfold;49;2,6;23;*;*;*;*;*;47;3,8;22;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3811;975271358;Hele landet;Vestfold og Telemark (2020 - 2023);Færder (2020 - 2023);Teigar ungdomsskole;50;1,9;92;8,7;17,4;40,2;19,6;14,1;49;1,7;103;7,8;19,4;48,5;15,5;8,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3811;874607592;Hele landet;Vestfold og Telemark (2020 - 2023);Færder (2020 - 2023);Tjøme ungdomsskole;51;3,3;41;*;*;*;*;*;46;3,5;30;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;I;38;3802;3802;Hele landet;Vestfold og Telemark (2020 - 2023);Holmestrand (2020 - 2023);Holmestrand;50;1;300;8;24;38;21,3;8,7;48;1;282;11;25,2;44;15,6;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3802;974542714;Hele landet;Vestfold og Telemark (2020 - 2023);Holmestrand (2020 - 2023);Gjøklep ungdomsskole;48;1,4;134;*;*;*;*;*;47;1,6;135;18,5;22,2;41,5;14,1;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3802;975268799;Hele landet;Vestfold og Telemark (2020 - 2023);Holmestrand (2020 - 2023);Hof skole;50;3,4;29;*;*;*;*;*;49;2,4;38;2,6;28,9;52,6;10,5;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3802;931338854;Hele landet;Vestfold og Telemark (2020 - 2023);Holmestrand (2020 - 2023);Klokkerjordet skole;;;;;;;;;48;1,4;109;4,6;27,5;44;19,3;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3802;975268780;Hele landet;Vestfold og Telemark (2020 - 2023);Holmestrand (2020 - 2023);Sande ungdomsskole;51;1,5;137;7,3;17,5;39,4;25,5;10,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;I;38;3801;3801;Hele landet;Vestfold og Telemark (2020 - 2023);Horten (2020 - 2023);Horten;49;1;331;9,7;23,3;43,2;16;7,9;46;1,1;302;19,2;26,2;32,5;16,2;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3801;973566911;Hele landet;Vestfold og Telemark (2020 - 2023);Horten (2020 - 2023);Bakkeåsen skole;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3801;974605759;Hele landet;Vestfold og Telemark (2020 - 2023);Horten (2020 - 2023);Borre ungdomsskole;50;1,8;112;9,8;18,8;41,1;20,5;9,8;48;1,8;90;12,2;24,4;42,2;15,6;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3801;974605686;Hele landet;Vestfold og Telemark (2020 - 2023);Horten (2020 - 2023);Holtan ungdomsskole;47;1,4;127;11;27,6;44,1;11,8;5,5;45;1,5;134;20,9;27,6;34,3;14,2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3801;974605694;Hele landet;Vestfold og Telemark (2020 - 2023);Horten (2020 - 2023);Orerønningen ungdomsskole;*;*;*;*;*;*;*;*;46;2,7;78;24,4;25,6;17,9;20,5;11,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;I;38;3805;3805;Hele landet;Vestfold og Telemark (2020 - 2023);Larvik (2020 - 2023);Larvik;50;0,8;550;8,5;23,6;38,4;18;11,5;48;0,8;550;16,2;23,8;35,5;17,3;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3805;974584697;Hele landet;Vestfold og Telemark (2020 - 2023);Larvik (2020 - 2023);Brunla ungdomsskole;50;2,8;65;10,8;20;35,4;16,9;16,9;50;2,2;69;8,7;20,3;44,9;14,5;11,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3805;974702444;Hele landet;Vestfold og Telemark (2020 - 2023);Larvik (2020 - 2023);Frøy skole;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3805;974584700;Hele landet;Vestfold og Telemark (2020 - 2023);Larvik (2020 - 2023);Hedrum ungdomsskole;48;1,7;111;12,6;24,3;39,6;17,1;6,3;45;1,6;136;22,8;25;34,6;14,7;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3805;915225713;Hele landet;Vestfold og Telemark (2020 - 2023);Larvik (2020 - 2023);Kongshaugen Kristne grunnskole;47;2,5;17;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3805;974584778;Hele landet;Vestfold og Telemark (2020 - 2023);Larvik (2020 - 2023);Kvelde skole;*;*;*;*;*;*;*;*;49;2,5;38;2,6;28,9;47,4;15,8;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3805;975271366;Hele landet;Vestfold og Telemark (2020 - 2023);Larvik (2020 - 2023);Lardal skole;49;3,4;25;*;*;*;*;*;48;3,1;36;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3805;974584743;Hele landet;Vestfold og Telemark (2020 - 2023);Larvik (2020 - 2023);Mellomhagen ungdomsskole;49;1,9;77;6,5;24,7;44,2;19,5;5,2;45;2,1;67;20,9;26,9;38,8;10,4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3805;913998766;Hele landet;Vestfold og Telemark (2020 - 2023);Larvik (2020 - 2023);Mesterfjellet skole;48;2,7;51;9,8;43,1;23,5;13,7;9,8;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3805;985090254;Hele landet;Vestfold og Telemark (2020 - 2023);Larvik (2020 - 2023);Ra ungdomsskole;52;1,7;118;4,2;16,9;39;21,2;18,6;48;2,1;99;19,2;19,2;30,3;24,2;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3805;974584662;Hele landet;Vestfold og Telemark (2020 - 2023);Larvik (2020 - 2023);Tjodalyng skole;51;2,7;64;10,9;17,2;34,4;21,9;15,6;51;2,7;42;4,8;23,8;38,1;21,4;11,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;I;38;3804;3804;Hele landet;Vestfold og Telemark (2020 - 2023);Sandefjord (2020 - 2023);Sandefjord;51;0,7;766;11,4;18,8;32,8;22,5;14,6;49;0,7;772;13,5;21,8;37,4;18,1;9,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;38;3804;974606984;Hele landet;Vestfold og Telemark (2020 - 2023);Sandefjord (2020 - 2023);Andebu ungdomsskole;46;2,3;66;19,7;30,3;31,8;15,2;3;45;2,1;77;19,5;28,6;39;11,7;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
