Knr,Kommunenavn,Tid,Gruppe,Forbruk (kWh),Antall målere
3901.0,Horten,2024-01-01 00:00:00+01:00,Næring (unntatt industri),11776.25,1045.0
3901.0,Horten,2024-01-01 01:00:00+01:00,Næring (unntatt industri),11507.778,1045.0
3901.0,Horten,2024-01-01 02:00:00+01:00,Næring (unntatt industri),11525.533,1045.0
3901.0,Horten,2024-01-01 03:00:00+01:00,Næring (unntatt industri),11587.142,1045.0
3901.0,Horten,2024-01-01 04:00:00+01:00,Næring (unntatt industri),11801.731,1045.0
3901.0,Horten,2024-01-01 05:00:00+01:00,Næring (unntatt industri),12408.925,1045.0
3901.0,Horten,2024-01-01 06:00:00+01:00,Næring (unntatt industri),13179.198,1045.0
3901.0,Horten,2024-01-01 07:00:00+01:00,Næring (unntatt industri),13760.761,1045.0
3901.0,Horten,2024-01-01 08:00:00+01:00,Næring (unntatt industri),13932.253,1045.0
3901.0,Horten,2024-01-01 09:00:00+01:00,Næring (unntatt industri),13811.38,1045.0
3901.0,Horten,2024-01-01 10:00:00+01:00,Næring (unntatt industri),14673.954,1045.0
3901.0,Horten,2024-01-01 11:00:00+01:00,Næring (unntatt industri),13712.404,1045.0
3901.0,Horten,2024-01-01 12:00:00+01:00,Næring (unntatt industri),13482.939,1045.0
3901.0,Horten,2024-01-01 13:00:00+01:00,Næring (unntatt industri),13627.285,1045.0
3901.0,Horten,2024-01-01 14:00:00+01:00,Næring (unntatt industri),13956.801,1045.0
3901.0,Horten,2024-01-01 15:00:00+01:00,Næring (unntatt industri),13902.046,1045.0
3901.0,Horten,2024-01-01 16:00:00+01:00,Næring (unntatt industri),14942.966,1045.0
3901.0,Horten,2024-01-01 17:00:00+01:00,Næring (unntatt industri),13886.028,1045.0
3901.0,Horten,2024-01-01 18:00:00+01:00,Næring (unntatt industri),13359.793,1045.0
3901.0,Horten,2024-01-01 19:00:00+01:00,Næring (unntatt industri),12928.161,1045.0
3901.0,Horten,2024-01-01 20:00:00+01:00,Næring (unntatt industri),12474.408,1045.0
3901.0,Horten,2024-01-01 21:00:00+01:00,Næring (unntatt industri),13105.66,1045.0
3901.0,Horten,2024-01-01 22:00:00+01:00,Næring (unntatt industri),12884.533,1045.0
3901.0,Horten,2024-01-01 23:00:00+01:00,Næring (unntatt industri),11676.21,1045.0
3901.0,Horten,2024-01-01 00:00:00+01:00,Industri,5819.099,270.0
3901.0,Horten,2024-01-01 01:00:00+01:00,Industri,5808.791,270.0
3901.0,Horten,2024-01-01 02:00:00+01:00,Industri,5822.981,270.0
3901.0,Horten,2024-01-01 03:00:00+01:00,Industri,5865.547,270.0
3901.0,Horten,2024-01-01 04:00:00+01:00,Industri,6022.7,270.0
3901.0,Horten,2024-01-01 05:00:00+01:00,Industri,6452.09,270.0
3901.0,Horten,2024-01-01 06:00:00+01:00,Industri,6977.028,270.0
3901.0,Horten,2024-01-01 07:00:00+01:00,Industri,7396.91,270.0
3901.0,Horten,2024-01-01 08:00:00+01:00,Industri,7474.106,270.0
3901.0,Horten,2024-01-01 09:00:00+01:00,Industri,7521.461,270.0
3901.0,Horten,2024-01-01 10:00:00+01:00,Industri,7475.474,270.0
3901.0,Horten,2024-01-01 11:00:00+01:00,Industri,7482.203,270.0
3901.0,Horten,2024-01-01 12:00:00+01:00,Industri,7546.82,270.0
3901.0,Horten,2024-01-01 13:00:00+01:00,Industri,7534.228,270.0
3901.0,Horten,2024-01-01 14:00:00+01:00,Industri,7677.83,270.0
3901.0,Horten,2024-01-01 15:00:00+01:00,Industri,7683.386,270.0
3901.0,Horten,2024-01-01 16:00:00+01:00,Industri,7705.509,270.0
3901.0,Horten,2024-01-01 17:00:00+01:00,Industri,7451.673,270.0
3901.0,Horten,2024-01-01 18:00:00+01:00,Industri,7163.774,270.0
3901.0,Horten,2024-01-01 19:00:00+01:00,Industri,7061.644,270.0
3901.0,Horten,2024-01-01 20:00:00+01:00,Industri,6857.335,270.0
3901.0,Horten,2024-01-01 21:00:00+01:00,Industri,6507.036,270.0
3901.0,Horten,2024-01-01 22:00:00+01:00,Industri,6353.997,270.0
3901.0,Horten,2024-01-01 23:00:00+01:00,Industri,6141.874,270.0
3901.0,Horten,2024-01-01 00:00:00+01:00,Husholdninger,34135.48,13837.0
3901.0,Horten,2024-01-01 01:00:00+01:00,Husholdninger,34214.66,13837.0
3901.0,Horten,2024-01-01 02:00:00+01:00,Husholdninger,34114.293,13837.0
