Fylke;Kommune;År;Ny_kum;0-20 kW;20-50 kW;50-100 kW;100-1000 kW;>1000 kW;Total
Vestfold;Holmestrand;2017;Kum;35;0;0;0;0;35
Vestfold;Holmestrand;2018;Kum;77;0;0;0;0;77
Vestfold;Holmestrand;2019;Kum;252;55;0;0;0;307
Vestfold;Holmestrand;2020;Kum;478;76;0;0;0;554
Vestfold;Holmestrand;2021;Kum;636;141;100;1486;0;2363
Vestfold;Holmestrand;2022;Kum;1052;309;432;1486;0;3279
Vestfold;Holmestrand;2023;Kum;1992;711;1366;2841;0;6910
Vestfold;Holmestrand;2024;Kum;2429;1062;1546;3472;0;8509
Vestfold;Holmestrand;2025;Kum;2583;1101;1645;3472;0;8801
Vestfold;Horten;Total;Kum;2 223;871;1 119;1 605;0;5 818
Vestfold;Horten;2015;Kum;0;0;0;0;0;0
Vestfold;Horten;2016;Kum;0;0;0;0;0;0
Vestfold;Horten;2017;Kum;23;30;0;0;0;53
Vestfold;Horten;2018;Kum;85;30;0;382;0;497
Vestfold;Horten;2019;Kum;256;55;158;1187;0;1656
Vestfold;Horten;2020;Kum;399;55;219;1187;0;1860
Vestfold;Horten;2021;Kum;537;93;219;1187;0;2036
Vestfold;Horten;2022;Kum;1030;298;339;1455;0;3122
Vestfold;Horten;2023;Kum;1909;679;759;1455;0;4802
Vestfold;Horten;2024;Kum;2113;808;1119;1605;0;5645
Vestfold;Horten;2025;Kum;2223;871;1119;1605;0;5818
Vestfold;Larvik;Total;Kum;4 435;2 224;1 889;2 832;4 400;15 780
Vestfold;Larvik;2015;Kum;0;0;0;0;0;0
Vestfold;Larvik;2016;Kum;23;0;0;0;0;23
Vestfold;Larvik;2017;Kum;46;0;0;0;0;46
Vestfold;Larvik;2018;Kum;74;73;0;0;0;147
Vestfold;Larvik;2019;Kum;417;152;0;0;0;569
Vestfold;Larvik;2020;Kum;639;229;0;300;0;1168
Vestfold;Larvik;2021;Kum;891;443;257;300;0;1891
Vestfold;Larvik;2022;Kum;2021;1017;772;866;0;4676
Vestfold;Larvik;2023;Kum;3915;1874;1296;1317;0;8402
Vestfold;Larvik;2024;Kum;4336;2178;1829;2712;4400;15455
Vestfold;Larvik;2025;Kum;4435;2224;1889;2832;4400;15780
Vestfold;Sandefjord;Total;Kum;6 928;2 796;3 687;6 147;0;19 558
Vestfold;Sandefjord;2015;Kum;7;0;0;0;0;7
Vestfold;Sandefjord;2016;Kum;7;25;0;0;0;32
Vestfold;Sandefjord;2017;Kum;66;25;0;0;0;91
Vestfold;Sandefjord;2018;Kum;245;25;0;0;0;270
Vestfold;Sandefjord;2019;Kum;664;224;100;851;0;1839
Vestfold;Sandefjord;2020;Kum;941;296;100;851;0;2188
Vestfold;Sandefjord;2021;Kum;1311;372;300;1101;0;3084
Vestfold;Sandefjord;2022;Kum;3564;1184;752;1301;0;6801
Vestfold;Sandefjord;2023;Kum;6281;2381;2281;2851;0;13794
Vestfold;Sandefjord;2024;Kum;6784;2721;3181;5088;0;17774
Vestfold;Sandefjord;2025;Kum;6928;2796;3687;6147;0;19558
Vestfold;Tønsberg;Total;Kum;4 457;2 952;3 035;3 034;0;13 478
Vestfold;Tønsberg;2015;Kum;0;0;0;0;0;0
Vestfold;Tønsberg;2016;Kum;17;0;0;0;0;17
Vestfold;Tønsberg;2017;Kum;42;0;0;0;0;42
Vestfold;Tønsberg;2018;Kum;95;0;0;0;0;95
Vestfold;Tønsberg;2019;Kum;303;132;68;0;0;503
Vestfold;Tønsberg;2020;Kum;566;272;197;0;0;1035
Vestfold;Tønsberg;2021;Kum;721;341;445;0;0;1507
Vestfold;Tønsberg;2022;Kum;1916;742;977;1042;0;4677
Vestfold;Tønsberg;2023;Kum;3540;2389;2517;2858;0;11304
Vestfold;Tønsberg;2024;Kum;4175;2804;2835;3034;0;12848
Vestfold;Tønsberg;2025;Kum;4457;2952;3035;3034;0;13478
