2022;
Sted;Avsluttet eller avbrutt intro for ett år siden
Viken;71
Trøndelag;68
Nordland;67
Norge;65
Troms og Finnmark;65
Møre og Romsdal;64
Vestland;64
Rogaland;63
Innlandet;63
Vestfold og Telemark;63
Oslo;61
Agder;59
